source,translated,question,answer
"କରନା ମର୍‍ଡି","COVID - 19 Prevention Teaching Tool (community version - India)",,
"","",,
"COVID-19 PANDEMIC ","",,
"","COVID - 19 Prevention Teaching Tool ",,
"","Thanks to all the contributors in the internet and the friends who have contributed especially for my doctor friends who have given their input. Medical Technical advise: Dr. Viju John, EHA Editor Ms. Eleanor Mcalpine, SIL Compiled and written by Herald Rajan, SIL 15 April 2020 Version 1.01  Disclaimer: The content of this booklet, such as graphics, images, text and all other materials, is provided for reference and educational purposes only. The content is not meant to be complete or exhaustive or to be applicable to any specific individual's medical condition. ",,
"","Thanks to all the contributors in the internet and the friends who have contributed especially for my doctor friends who have given their input. Medical Technical advise: Dr. Viju John, EHA Editor Ms. Eleanor Mcalpine, SIL Compiled and written by Herald Rajan, SIL 15 April 2020 Version 1.01  Disclaimer: The content of this booklet, such as graphics, images, text and all other materials, is provided for reference and educational purposes only. The content is not meant to be complete or exhaustive or to be applicable to any specific individual's medical condition.",,
"","https://www.who.int/ https://www.cdc.gov/ https://www.mygov.in/covid-19 https://www.unicef.org/coronavirus/how-teachers-can-talk-children-about-coronavirus-disease-covid-19",,
"","                                                                Instructionsfor facilitators 1. Make sure to listen to group members’ concerns and answer their questions. 2. Emphasize that members can do a lot to keep themselves and others safe. For example, introduce the concept of social distancing, and focus on good health behaviours, such as covering coughs and sneezes with the elbow and washing hands. 3. Encourage members to confront and prevent stigma. Discuss the reactions they may experience around discrimination, and explain that these are normal reactions in emergency situations. Encourage them to express and communicate their feelings, but also explain that fear and stigma make a difficult situation worse. Words matter, and using language that perpetuates existing stereotypes can drive people away from taking the actions they need to protect themselves.  4. Dicuss after reading the booklet: Read some do’s and don’ts for how to talk about the coronavirus. 5. Remind members that they can share healthy behaviours with their families. Be a leader in keeping themsleves, their family, their village and their community healthy. ",,
"ଏ ରଗ୍‍ନୁ ବିସୟ୍‍ରେ ବେସି ବୁତଙ୍ଗ୍‍ ଲାୟ୍‍  ଦର୍‍କାର୍‍ ଉରା।","",,
"କରନା ମର୍‍ଡି ଡିଡିକ୍‍ନୁ ରଗ୍‍ ଚିନ୍ ଦେସ୍ ମିୟ’ ବିନ୍‍ବିନ୍ ଦେସ୍‍ ଉଜିନୁ କେତ୍‍ଟା ଲକ୍‍ନୁ ଡିକ୍‍ ଭାରତ୍‍ ଦେସ୍‍ବ’ କରନା ମର୍‍ଡି ପିଙ୍ଗି । ମାୟ୍‍ନେନୁ ବୁଡମ୍ ମିସେୟଗୁନୁ ଭାରତ୍‍ନୁ ଲକ୍‍ନେନୁ ଡିକ୍ ଗୁଲାୟ୍‍ କୁରୁଙ୍ଗ୍ ନାୟ୍‍ନୁ ଦେସ୍‍ନୁ ଲକ୍‍ନେନଲାୟ୍‌ସା ଏ ମର୍‍ଡି ଡେଙ୍ଗୁନି । ଏ କରନା ମର୍‍ଡିବ’ ପାକାପାକି ମିର’ ଲାକ୍‍ ଡିକ୍‍ ଗାଟିୟ ଲକ୍‍ ଗୟ୍‍ଗୁଉଜିନେନ୍‍ ମାତର୍ ନାୟ୍ ଜାଗ୍‍ରତ୍‍ରେ ସପା ସୁତର୍‍  ଡୁଗୁନା ଏ କରନା ମର୍‍ଡି  ଡିକ୍‍ ରକିଆ ପାଏୟ୍‍  ଡେଲେଙ୍ଗ୍‌ ।","A pandemic disease caused by Corona virus started in China and spread to other countrires from there.  It came to India from these infected people who came to India from other countires, later they brought this disease unknowingly and spread it to others. Thus, Corona spread rapidly through infected people in different parts of India.Government of India is taking all necessary steps to face the challenge and threat posed by the growing pandemic of COVID-19 the Corona Virus with active support of the people of India. More than a lakh died around the world  due to COVID-19. But, If we are careful and keep hygienic habits, we can stay away from this disease and save others from infection.",,
"କରନା ମର୍‍ଡି  ମର୍‍ପିପିଙ୍ଗ୍ ପୁଲାୟ୍‍ ନାୟ୍‍ ମାଙ୍ଗ୍‍ଟା ଡେଡେମ୍ ଡୁତୁ ?","What do we need to do to protect ourselves from COVID-19?",,
"ତର୍‍କେ ତର୍ ସାବୁନ୍ ବୁଡ଼ମ୍ ତିତି ଗୁୟତିଗୁସୁ ସପା ସୁତୁରା ଡେମନେନ୍‍ ।","",,
"ସାବୁନ୍ ବୁଡମ୍ ତିତି’ ୮ ପର୍‍କାର୍‍ ତର୍‍କେ ତର୍‍ ଗୁଇତି ଡୁତୁ । କାମ୍ ଡେମ’ନୁ ତିର୍‍ଗି ତିତି’ ଗୁଇତିଗୁସୁ ସପା ସୁତର୍‍ ଡୁ ଦର୍‍କାର୍‍ । ସରଙ୍ଗ୍‍ ସିରିଙ୍ଗ୍ ଡୁଗୁନୁ ଲକ୍‍ନୁବ’ ଉଜିସୁ ଆଣ୍ଡେୟ୍‍ଗୁ ପିଙ୍ଗିନା ପିଙ୍ଗିନୁ ଦପ୍‍ରେ ତିତି’ ଗୁଇତିଗୁ ଡା’ କିମାନ୍‍ଗୁସୁ ଡିଏନ୍’ବ ଗାଗାୟ୍ ଦର୍‍କାର୍  ।","Wash your hands 8 ways with soap as shown in the picture. After doing an outdoor job, wash your hands. If you visit people with a fever, you have to wash your hands or preferably take a bath before you enter your house. (Please do a demo of washing hands infront your group)",,
" ନଜିର୍‍ନୁ ତୁମ’ ମି ମିୟ’ ମ’ବ ଆର୍‍ତାରାମ୍ ଗୁନେନ୍। ","",,
"ନିଜର୍‍ନୁ ତୁମ‘, ମି‘ ମିୟ’ ମ’ବ ଇମାର୍‍ ତିତି ବୁଡମ୍‍ ଆରତାରାମ୍‍ଗୁନେନ୍‍ । ନକ୍‍ଲାୟ୍‍ ନିମାନ୍‌ ବାବ୍‍ରେ ଗ’ନେନ୍‍ ।","Avoid touching your face, mouth, nose and eyes since COVID-19 could, in fact, be spread through your unwsahed hands. Keep your nails short and trim them often.",,
"କୁକଲ୍ ମୟି’ ଆକ୍‍ସିଙ୍ଗ୍ ବେଲା ତୁମବ ମିୟ’ ମି’ବ ରୁମାଲ୍‍, ପଟୋୟ ଉରାନା କପର ବୁଡ଼ମ୍ ଚୁଟେୟ୍‍ଗୁସୁ କୁକ୍ ଡମ୍ଆନେନ୍ ","",,
"କକlଲ୍‌  ମୟି’ ଆସିଙ୍ଗ୍‍ ବେଲା ତୁମବ’ ମିୟ’ ମି’ବ ରୁମାଲ୍‍ ଉରାନା କପର୍‍ ବୁଡ଼ମ୍ ଚୁଟେୟ୍‍ଗୁସୁ  କୁ‘ଡମ୍‍ଆନେନ୍‍ ।","If you cough or sneeze, cover your face with a handkerchief or cough or sneeze into your upper sleeve, not your hands.",,
"ରୁଅଁ, କକଲ୍ ଉରାନା ଆକ୍‍ସିଙ୍ଗ୍ ଡେଡେମ୍‍ନୁ ଲକ୍‍ନୁ ଡିକ୍‍ ଚ ଆତ୍ ସୁଲଙ୍ଗ ଡୁ ଦର୍‍କାର୍‍ । ","",,
"ଲକ୍‍ନେନୁ ବୁଡମ୍‍ ସାର୍‍ଲଙ୍ଗୁନୁ ବେଲା ଚ ପୁଟୁ ସୁଲଙ୍ଗ୍ ଡୁ ଦର୍‍କାର୍ ।","When you speak to people, keep 6 feet distance.",,
"ବିନ୍ ଲକ ନୁ ବୁଡ଼ମ୍ ତିତି ଆର ମିସାଅରନନ୍  । ","",,
" ବିନ୍ ଲକ୍‍ନୁ ବୁଡ଼ମ୍ ତିତି ଆର୍‍ମିସାଅନେନ୍  । ସୁଲଙ୍ଗ୍‍ବ’ ଡୁଗୁସୁ ଲକ୍‍ନେନ୍‍ଲାୟ୍‍ ଜୁଆର୍ ଡେମ‘ସୁ ସାର୍‍ଲଙ୍ଗ୍‍ଆନେନ୍‍ ।","Don’t give a handshake to known or unknown people. Keep a distance and do namaskar.",,
"ବ’ ବ’ ଜାଗାବ ଲକ୍  ରୁନ୍‍ଡେୟ୍‍ତନେନ୍‍ ତୁ  ଇତକାଙ୍ଗ୍‍ ଜାଗା ଡିକ୍ ସୁଲଙ୍ଗ୍ ଡୁକାନେନ୍‍","",,
"ଆଟ୍‍ବ’ ଉରା’ନା ବେସି ଲକ୍‍ନେନ୍‍ ରୁଣ୍ଡେୟ୍‍ଗୁନୁ ମିଟିଙ୍ଗ୍‍ ଡେଡେମ୍‍ନୁ ଜାଗାବ’ ଆରିଗୁନେନ୍ ।","Stay away from marketplaces where people gather in large numbers or any other places people gather and keep your physical distance.",,
"ସବୁବେଲା ଲକ୍‍ନେନ୍ ବ’ବ’ ଜାଗାବ ଲେୟ୍‍ତନେନ୍‍ ତୁ ଜାଗାଏଲ୍‍ ଆର୍‍ବିକ୍‍ତିର’ନେନ୍ । ପାନ୍, ଗୁଡାକୁ ସମ’ସୁ ଏକେ ଅତୁ ଆର୍‍ବିକ୍‍ତିର‘ନେନ୍‍ ।","Don’t spit in the common places. Don’t eat Pan and other tobacco items and then spit everywhere.",,
"ଗଜ୍‍ଗା","",,
" ଜଦିଜଦି ବ’ସା ଲକ୍‍ଲାଲୟ୍ ବେସି ବବ୍‍ ଇସି, ସରଙ୍ଗ୍, କକଲ୍, ସେରା’ ମୁନାଙ୍ଗ୍‍ ଡେଡେମ୍‍ନୁ ଜାନାପାଡ଼େୟ୍’ଗୁନା ମାୟ୍‍ନୁ ଡିକ୍‍ ସୁଲଙ୍ଗ୍ ଡୁ ଦରକାର୍ , ଇତ’କାଙ୍ଗ୍‍ ଲକ୍‍ନେନ୍‍ଲେୟ୍‍ ଆଶା ଦିଦିନୁବ’ ଉରା’ନା ସାର୍‍କାର୍ ମେଡିକାଲ୍‍ବ’ ଉୟ୍‍ପୁଲାୟ୍‍ ସୁନ୍‍ନେନ୍।","If you see a person with high fever or shaking chills, headache, coughing and diarrhea, keep your distance. Inform ASHA DIDI or inform the block medical hospital.",,
"କରନା ମର୍‍ଡି ମିର’ ଲକ୍ ଆକ୍ସିଙ୍ଗୁନା ଉଆର’ନା କକ୍‍ଲେୟ୍‍ ବେଲା ଉପ୍‍ଡେୟ୍‍ଗୁନୁ ଲାଲ୍‌ ଡିକ୍‍ ବିନ୍‍ ଲକ୍ ଲାୟ୍ ପିଙ୍ଗ୍‍ତ । ମିୟ ବିନ୍ ଲକ୍ ପୁନ୍‍ଡେୟ୍‍ଗୁନୁ ଉଲାଲ୍ ଡିକ୍‍ ପିଙ୍ଗ୍‍ତ   କେନା ମର୍‍ଡି ଡେଙ୍ଗୁନୁ ଲକ୍  କକ୍‍ଲେୟ୍‍ଗୁନୁ ବେଲା ବିନ୍‍ବିନ୍ ଦିନ୍‍ସୁ ତପ୍‍ନାଙ୍ଗ୍ ମ’ବ’ ମର୍‍ତୁନାଲ୍‍ନୁ କରବା କୁର୍‍ମି ଉୟ୍‍ତ । ନିମାନ୍‍ ଲକ୍‍ ତୁ ଦିନ୍‍ସୁଲାୟ୍‍ ତାରାମ’ସୁ ତିତିଲାୟ୍ ତୁମ’ବ ଉରାନା ମ’ବ ତାରାମ୍‍ଗୁନା ଆମାୟ୍‍ସା ତୁ ମର୍‍ଡି ପିଙ୍ଗ୍‍ତ ।","People can catch COVID-19 from others who have the virus. The disease can spread from person to person through small droplets from the nose or mouth which are spread when a person with COVID-19 coughs or exhales. These droplets land on objects and surfaces around the person. Other people then catch COVID-19 by touching these objects or surfaces, then touching their eyes, nose or mouth.",,
"ପେନୁ ଜାଗାବ’ କରନା ମର୍‍ଡି ଡୁଗୁନା ଡିଏନ୍‍ନୁ ଦିନ୍‍ସୁନେନ୍‍ଲାୟ୍‍ ଗରଣ୍ଡାବ’ ସାବୁନ୍‍ ସଲସୁ   ସପା ଡେଡେମ୍‍ ଡୁତୁ  ।","If your area is infected with COVID-19, please make Clean and disinfect high-touch surfaces daily in household common areas through soap or bleech (e.g. tables, hard-backed chairs, doorknobs, light switches, phones, tablets, touch screens, remote controls, keyboards, handles, desks, toilets, sinks)  If a separate bathroom is not available, the bathroom should be cleaned and disinfected after each use by an ill person. If this is not possible, the caregiver should wait as long as practical after use by an ill person to clean and disinfect the high-touch surfaces ",,
"ଡିଏନ୍‍ ଡିକେ ତୁର୍‍ଗୁନା ମିୟ’ ଉମ୍‍ବ’ ଉଜିନାସା ଉର୍‍ମାଲ୍ ଉରା’ନା ମେଡିକାଲ୍ ମାସ୍‍ ତଲ୍‍ଗୁସୁ ଉୟ୍‍ ଡୁଡୁ । ଡିଏନ୍‍ବ’ ଆଣ୍ଡେୟ୍‍ଗୁନୁ ଦାପ୍‍ରେ ନିମାନ୍‍ ଡେମ’ ତିତି ଗୁତିଆନେନ୍‍ । ମାଲାୟ୍‍ ସାବୁନ୍‍ ବୁଡମ୍‍ ସପା ଡେଡେମ୍‍ ଡୁତୁ ମିୟ ନାନାବ’ ଉସର୍ ଡୁତୁ । ମୟ ନିଙ୍ଗ୍ ମାସ୍ ତଲ୍‍ଗୁନିଙ୍ଗ୍ ଡୁତୁ ଡିୟସୁ ଲକ୍‍ନେନୁ ବୁନ୍ଦେ ଉୟ୍‍ ଆର୍‍ଡେମା ।","If you go out of the house, make sure to wear a mask or tie a handkerchief to cover your face. Wash your mask and dry it every day. The cloth face cover is not a substitute for social distancing.",,
"ନାୟ୍‍ନୁ ନେରିବ’ ସକ୍ତି ମିଲେୟ୍ ପୁଲାୟ୍ ବୁରନ୍‍କାଙ୍ଗ୍ ମା’ନେନ୍ , ପଲ୍ମୁଲ୍ ମିୟ ଆ’ଡଙ୍ଗ୍‍ ମିୟ ଗିସିଙ୍ଗ୍ ସେଲି ସସମ୍ ଡୁତୁ । ମିୟ ଡ’ସା ନିମାନ୍ ଇଡି ଡୁତୁ ।  ଏ ସବୁ ମା’ନେନ୍‍ଲାୟ ଆଟ୍‍ଡିକା ରିଅଁନୁ ଦପ୍‍ରେ ମିର’ ଗାମ୍‍ଲାବ ଡା’ ରିଅଁ ଦୁଇ ସାମ୍‍ସା ବିତିକ୍‍ ମିସାସୁ ମା’ଲାୟ୍ କଡେ ମିନିଟ୍‍ ଜବାଲେଅସୁ ଗୁଇଡା  ଡୁତୁ ।","Proper nutrition and hydration are vital. People who eat a well-balanced diet tend to be healthier with stronger immune systems and lower risk of chronic illnesses and infectious diseases like COVID-19. So you should eat a variety of fresh and unprocessed foods every day to get the vitamins, minerals, dietary fibre, protein and antioxidants your body needs. Drink enough water. It is advisable to soak fruits and vegetables in warm water that has one or two teaspoons of salt for twenty minutes or soak them with a solution of vinegar and water for 20 minutes.",,
