source,translated,question,answer
"Xkomon esil chi rix li kaqi yajel","",,
"","",,
"Xjolomil li Tzolok re Watemaal Xna'il Xjolomil li Tzolok sa' Ka'paay chi Aatinob'aal","",,
"","Adapted from original copy 'Learn about the coronavirus, coloring book' by St. Jude Children's Research Hospital  ebook layout by: Education for Life SIL PNG",,
"","Coordinación:  Emilio Ajquejay, Justo Magzul y Sophia Maldonado. Contextualización:  Elías Caal Oxom. Edición:  Roberto Coc Caz y Hermelindo Quim.",,
"","Adapted from original copy 'Learn about the coronavirus, coloring book' by St. Jude Children's Research Hospital https://together.stjude.org",,
"978-9929-794-28-3","978-9929-794-28-3",,
"","",,
"Maare ak xawab'i naab'al li poyanam chi aatinak chi rix li kaqi yajel. A'an jun li yajel naruuk naketok aawe.","",,
"Junqaq poyanam nake' xye COVI-19 re    A'an li junjunq chi tz'iib' nak'utb'esink re xk'ab'a' li kaqi yajel","",,
"Li kaqi yajel a'an jun li aatin xchalk rik'in li aatin "Corona" sa' kaxlan aatin, sa' xk'ab'a' naq nake'ril li k'anjelob'aal re ilok mitz' aj xul kama' ta wi' chik jun li punit.","",,
"Naab'al chi poyanam sa' chi xjunil li ruuchich'och' xe'yajerk. Sa' xk'ab'a' naq li kaqi yajel jwal sa naq taataw rik'in junaq chik li poyanam.","",,
"Li kaqi yajel nab'eek chi ru li iq' sa' jun paat naq na'at'ism'ak junaq.  Jo' aj wi' nanume'k naq junaq li poyanam naxch'e' k'a' ru aq.    ","",,
"Li poyanam li nake'tawe'k xb'aan li yajel naxk'e xtiqeb', naruuk nake'reek'a naq yo li xtiqeb', nake' ta'e' xb'aan li ojb'il, naru naxk'e xmay xsa'eb' malaj inka' chik jwal sa nake'musiq'ak.  Chi xjunil li poyanam nake' yajer naru NAKE'K'IRAAK CHI JUN PAAT.  Kama' b'ayaq naq yooq aatiq malaj aake.","",,
"Wankeb' li poyanam jwal kaw nake'k'anjelak  Re naq chi xjunil te'xkol rib' ut kawaqeb'.  Eb' laj k'anjel chi rix li kawilal, yookeb' xyalb'al xq'e chi rix li kaqi yajel.  Yookeb' xkawresinkil li na'ajej choq' reheb' li poyanam te'yajeerq.  Ab'an wan ajwi' li na'leb' b'ar wi' naru nakoo'okenk wi' laa'o re naq ink'a' tpukanq li kaqi yajel.  Wi' laa'o tqakol qib', nakootenq'ank re naq ink'a'  tapukanq li yajel a'in.","",,
"Jwal aajel ru naq taach'aj laawuq'b' chi kok' xsa'.","",,
"Joq'e naruuk taach'aj laawuq'b' rik'in xab'on","",,
