source,translated,question,answer
"Остерегайтесь﻿Covid-19","Epuka Korona",,
"","",,
"Иллюстрации: Ари и Элейн Витикайнен Информация была взята с веб-сайтов Всемирной Организации Здравоохранения, таких как https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public Версия 27.3.2020 ","",,
"﻿Advocacy and Alliance Building SIL Africa SIL LEAD","",,
"Дарья Давидовская","",,
"Регулярно мойте руки с мылом и водой, или очищайте их средством для рук на спиртовой основе.","",,
"Избегайте прикосновений к глазам, носу и рту.","",,
"Прикрывайте рот и нос согнутым локтем или платком, когда вы кашляете или чихаете. Немедленно утилизируйте использованный платок.","",,
"Сохраняйте дистанцию 2 метра между собой и другими. Избегайте ненужных поездок и держитесь подальше от больших групп людей.","",,
"Если вы плохо себя чувствуете, оставайтесь дома. Если у вас жар, кашель и затрудненное дыхание, сразу же обратитесь за медицинской помощью.","",,
"Будьте в курсе последних новостей и событий о COVID-19. Следуйте советам вашей медицинской организации.","",,
"Остерегайтесь﻿Covid-19    Остерегайтесь﻿Covid-19 Иллюстрации: Ари и Элейн Витикайнен Информация была взята с веб-сайтов Всемирной Организации Здравоохранения, таких как https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public Версия 27.3.2020  ﻿Advocacy and Alliance Building SIL Africa SIL LEAD Дарья Давидовская   Регулярно мойте руки с мылом и водой, или очищайте их средством для рук на спиртовой основе. Избегайте прикосновений к глазам, носу и рту. Прикрывайте рот и нос согнутым локтем или платком, когда вы кашляете или чихаете. Немедленно утилизируйте использованный платок. Сохраняйте дистанцию 2 метра между собой и другими. Избегайте ненужных поездок и держитесь подальше от больших групп людей. Если вы плохо себя чувствуете, оставайтесь дома. Если у вас жар, кашель и затрудненное дыхание, сразу же обратитесь за медицинской помощью. Будьте в курсе последних новостей и событий о COVID-19. Следуйте советам вашей медицинской организации.  ","Epuka Korona    Epuka Korona             ",,
