source,translated,question,answer
"ပဝ်သတာ ဝေၚ်ပါဲယဲကဝ်ရဝ်နာ","",,
"","",,
"မာံရတန ကၠာဲလဝ်ဘာသာမန် ရောၚ်။","",,
"","Mehm Rattna",,
"","Adapted by Paul Frank from original, Copyright © 2020, Illustrations by Elaine Vitikainen https://ev-visuals.com/",,
"","Illustrations:  Ari and Elaine Vitikainen Information was taken from WHO websites such as https://www.who.int/emer gencies/diseases/novel-coronavir us-2019/advice-for-public Version 27.3.2020 Literacy for Women in Africa",,
"","",,
"","",,
"","",,
"","",,
"ကြာတ်တဲ နကဵု ဍာ် ကေုာံ ဗံၚ် လၟေၚ်ၚ်ညိ။ (ဟွံသေၚ်မ္ဂး) ကြာတ်တဲသ္အး နကဵု ဍာ်ကြာတ်တဲ မကၠောန်လဝ် နကဵုအေလ်ဂိုလ်ဟိုလ် ညိ။","",,
"လ္ပရပ်ဝေၚ် မတ်၊ မုဟ်၊ ကေုာံ ပါၚ် တအ်ညိ။","",,
"အကြာ မၞး ကေုာံ ညးတၞဟ်ဂှ် မၞးမံၚ်သ္ၚောဲခြာ ဗၞတ် (၂) မဳတာညိ။","",,
"ဝေၚ်ပါဲယဲကဝ်ရဝ်နာ","",,
"မၚ်ကလၚ်ဒၟံၚ်ပရိုၚ် စပ်ကဵုအကာဲအရာ ပရူပရာယဲကဝ်ရဝ်နာ ညိ။ ဒ္ဂေတ်ဗက်အတိုၚ် ကသပ်လညာတ် ညးမမၚ်မွဲလွဳလွတ်ဇကု (အ္စာသဝ်ဝန်) ညိ။","",,
"အခိၚ်ကာလ ခ္ဍက် (ဝါ) ထအှ် မ္ဂး ဂြောပ်ကၟာတ် မုဟ်၊ ပါၚ် နကဵုပ္ၚံက်တၚ်တဲ (ဝါ) ယာတ်တေသ်ရှူ ညိ။ ယာတ်တေသ်ရှူ မရပ်စကာ လဝ်တုဲဂှ် ဗိုတ်ကၠဟ်စုတ် အပ္ဍဲနခၟိက် ပြဟ်ဟ်ညိ။","",,
"ယဝ်ရ မၞးမံၚ်စဟွံမိပ်မ္ဂး ဇူဒၟံၚ်အပ္ဍဲသ္ၚိညိ။ ယဝ်ရ မၞးဂမ္တူတိုန်၊ ခ္ဍက်၊ ကေုာံ ယီုဝါတ် (ယီုဂြေက်) ဒှ်ကၠုၚ်မ္ဂး အာစမ်ၜတ်စၟဳစၟတ်ယဲ ပြဟ်ဟ်ညိ။","",,
"ပဝ်သတာ ဝေၚ်ပါဲယဲကဝ်ရဝ်နာ  မာံရတန ကၠာဲလဝ်ဘာသာမန် ရောၚ်။    ပဝ်သတာ ဝေၚ်ပါဲယဲကဝ်ရဝ်နာ            ကြာတ်တဲ နကဵု ဍာ် ကေုာံ ဗံၚ် လၟေၚ်ၚ်ညိ။ (ဟွံသေၚ်မ္ဂး) ကြာတ်တဲသ္အး နကဵု ဍာ်ကြာတ်တဲ မကၠောန်လဝ် နကဵုအေလ်ဂိုလ်ဟိုလ် ညိ။   လ္ပရပ်ဝေၚ် မတ်၊ မုဟ်၊ ကေုာံ ပါၚ် တအ်ညိ။    အကြာ မၞး ကေုာံ ညးတၞဟ်ဂှ် မၞးမံၚ်သ္ၚောဲခြာ ဗၞတ် (၂) မဳတာညိ။  ဝေၚ်ပါဲယဲကဝ်ရဝ်နာ   မၚ်ကလၚ်ဒၟံၚ်ပရိုၚ် စပ်ကဵုအကာဲအရာ ပရူပရာယဲကဝ်ရဝ်နာ ညိ။ ဒ္ဂေတ်ဗက်အတိုၚ် ကသပ်လညာတ် ညးမမၚ်မွဲလွဳလွတ်ဇကု (အ္စာသဝ်ဝန်) ညိ။    အခိၚ်ကာလ ခ္ဍက် (ဝါ) ထအှ် မ္ဂး ဂြောပ်ကၟာတ် မုဟ်၊ ပါၚ် နကဵုပ္ၚံက်တၚ်တဲ (ဝါ) ယာတ်တေသ်ရှူ ညိ။ ယာတ်တေသ်ရှူ မရပ်စကာ လဝ်တုဲဂှ် ဗိုတ်ကၠဟ်စုတ် အပ္ဍဲနခၟိက် ပြဟ်ဟ်ညိ။    ယဝ်ရ မၞးမံၚ်စဟွံမိပ်မ္ဂး ဇူဒၟံၚ်အပ္ဍဲသ္ၚိညိ။ ယဝ်ရ မၞးဂမ္တူတိုန်၊ ခ္ဍက်၊ ကေုာံ ယီုဝါတ် (ယီုဂြေက်) ဒှ်ကၠုၚ်မ္ဂး အာစမ်ၜတ်စၟဳစၟတ်ယဲ ပြဟ်ဟ်ညိ။  ","   Mehm Rattna Adapted by Paul Frank from original, Copyright © 2020, Illustrations by Elaine Vitikainen https://ev-visuals.com/   Illustrations:  Ari and Elaine Vitikainen Information was taken from WHO websites such as https://www.who.int/emer gencies/diseases/novel-coronavir us-2019/advice-for-public Version 27.3.2020 Literacy for Women in Africa                                 ",,
