source,translated,question,answer
"Kamakhuwa ke bulwale bwa Korona","Virusi vya Ugonjwa wa Korona",,
"","",,
"","",,
"Okhoya omanye sindu silala khu bulwale bwa Korona","Kuna jambo MOJA tu unalopaswa kuelewa juu ya jinsi virusi vya Korona",,
"NGA BUKENDA ","VINAVYOSAMBAA",,
"Mukhanwa","Mdomoni",,
"Muliolu","Puani",,
"Moni","Machoni",,
"Ne lwingila mu","Vinapokuingia",,
"Mwo omundu okhali omulwale ta","Mtu mwenye Afya",,
"Omundu omulwale ","Mgonjwa wa Korona",,
"Bulwale buno bukenda khubirira luasimulo lwo","Virusi hivi vinasambaa wakati vitone hivi vya mate",,
"Ima asinao. Noli chimita chibili khukhwama khumundu oli ne bulwale liasimulo se lilakhwolakho ta ","Kwenda mbali. Ukiwa umbali wa mita 2 hutafikiwa na vitone vikubwa vya mate.     ",,
"1","1",,
"2m","Mita 2",,
"Achoo!","Achoo!",,
"Ne obona omundu okholola, namwe oasimula mala alwala okhoyela  ","Kwa hivyo, unapoona mtu akikohoa/kwenda chafya/mgonjwa unaweza kuamua: ",,
"Baelesia emaski nyo nebaasimula bandu babandi bakhanyola bulwale buno ta ","Wape barakoa. Waweze kukoholea au kuendea chafya na kuwakinga wote walio karibu",,
"2","2",,
"Wiboe ﻿mumoni ","Vitone vya *kamasi*",,
"Namwe","AU,",,
"Bandu banyala barumikhila emaski/sitambaa mumoni nyo belinde balekhe khunyola bulwale","Pengine yeye si mgonjwa, anajikinga tu",,
"Bandu bali ne bulwale buno banyala bafwana oli bakhali balwale ta, mala khabaambisia bandu babandi ","Watu wenye virusi huenda wasionyeshe ishara zozote, lakini bado wanaweza kuvisambaza",,
"Okhacha mubandu bakali ta, sikila somanya nanu omulwale ta ","Kwa jumla, ni wazo bora kuepuka umati wa watu, maana huwezi kujua kama kuna mtu mgonjwa.",,
"Bisala biekhusikila chinyama ","Vijiti vya kulia ",,
"Omundu okhali omulwale ta ","Mtu mwenye afya",,
"Kimishipi kya matatu namwe emiksi","Vishikilio vya gari",,
"Niye bandu batila nyo elifti enine namwe yiikhe","Vitufe vya lifti ",,
"Chikaratasi che khupangusia kamakhono","Tishu ",,
"Bikombe ","Vikombe ",,
"Chisimu namwe chitableti ","Vifaa vya kidijitali ",,
"Ata enje we chimaski/bitambaa bye khwiboa mumoni","& hata nje ya barakoa ya usoni mwako ",,
"Niyo witilila nyo onine mugorofa","Kingo za ngazi",,
"Notila sikendesio sia ekomputa","Kipanya ",,
"Chikalamu","Kalamu",,
"Kimilyango","Vitasa vya mlango ",,
"Kamakhono kabwe ","Mikononi mwao ",,
"Mumasee kakandi, kamare ko omulwale kanyala katila bindu bikali nga ","Isitoshe, huenda mate ya mtu mgonjwa yakawa kwenye vitu vingine … ",,
"Onyala wa lwala ","nyote mnaweza kuugua.  ",,
"Namwe mumoni mwo omusime wowo ","au umguse mwenzako uso   ",,
"Wasugue chimoni","ujisugue macho ",,
"Notilile bibindu bino nokhamanyile ta, mala witile mumoni namwe ","Ukigusa mojawapo wa vitu hivi kwa bahati mbaya, kisha ujiguse uso, ",,
"Engila enyala birusi bino ebechanga khubisinga nende esabuni namwe nende jik namwe kamalwa ","na njia ya kipekee iliyo bora kuviondoa ni kuviosha kwa sabuni, dawa ya klorini, au kileo.  ",,
"Birusi binyala byekhala mubindu muda kumuleyi sana ","Virusi vinaweza kukaa saa kadhaa juu ya vifaa,",,
"Esabuni ","Sabuni",,
"Khukhwilinda","",,
"Sikila eli bulayi khulonda bindu bino nio wilinde ","Kwa sababu hii ni vizuri pia kuyafuata maelekezo haya",,
"Singa nende esabuni paka wole mukhumbo","Oga kwa ﻿sabuni hadi hapa ",,
"Esabuni ","Sabuni ",,
"Mukhumbo ","Kisugudi",,
"Okhatila mumoni mwowo namwe mwo mundu okundi ta. Nokhoyela otile, singa kamakhono nende esabuni bulayi. ","Usijiguse uso. (Au uuguse uso wa mtu mwingine yeyote.) Iwapo ni lazima ujiguse, kwanza ioshe mikono yako kabisa kwa sabuni.",,
"Ne wenya omanye oli wasingile kamakhono bulayi onyala wemba lulwimbo lwa mwanawamberi chisafari chitaru ","Muda sawa na wa kuimba kifungu cha “Wimbo wa Taifa” ﻿https://youtu.be/a37RnI3krzU ",,
"Mukari mwe kamatere","chini ya kucha  ",,
"khu chisekundi ishirini ","kwa ﻿sekunde 20 ",,
"akarikari we chinjala","katikati mwa vidole ",,
"Singa enyuma we kamakhono","nawa nyuma ya mikono yako ",,
"Onyala wasinga kamakhono bulayi oriena? ","Nini maana ya kuoga kabisa?",,
"Notilile okharenga ta, singa busa kamakhono kowo. ","Iwapo umefanya hivyo, usihofu. Nawa mikono yako kwa sabuni hapo baadaye.",,
"Okhatila enje we emaski/sitambaa sye mumoni tawe ","Pia, usiguse upande wa nje wa barakoa iwapo utaweza. ",,
"Luluasimulo ","vitone vya mate",,
"Buchafu bunyala bwakhurerera bulwale norumikhila bitambaa bye mumoni khu siise siileyi ","*Vijidudu vinavyosababisha magonjwa hukulia ndani ya barakoa unapozivaa kwa muda mrefu",,
"Mwata chimaski/bitambaa bye mumoni. Okhafwara wabira endalo endala ta ","Zitupe barakoa zinapoanza kuwa nzito. Usizivae kwa zaidi ya siku moja! ",,
"Rumikhila sichiko sie khubhukulila byakhulia ","Tumia kijiko cha kupakulia ",,
"Omwana","Mtoto",,
"Papa","Baba",,
"Maayi","Mama",,
"Bulimundu arumikhile etaulo yewe","Kila mtu awe na taulo yake ",,
"Mukharumikhila byakhulia, chisaani, bikombe namwe chitaulo chindala tawe ","Usitumie kwa pamoja vitu kama chakula,vyombo vya jikoni,vikombe,taulo.",,
"Se onyala wa tila mumoni nende ekhukunyu ta, wakhakhaka ","Huwezi kuugusa uso wako kwa kisugudi hata ukijaribu",,
"No onyala, fungula namwe ikala kimilyango nende chikhumbo namwe kamabeka ","Fungua na funga milango kwa kutumia kisugudi au bega badala ya mikono, inapowezekana.",,
"Nochile engo","Nyumbani",,
"Newamile enje ","na unaporudi kutoka kwa umma ",,
"Nio olie ","Kabla hujala ",,
"Singa kamakhono nende esabuni ","Kila wakati nawa mikono yako ukitumia sabuni …",,
"Ne malila ","Hatimaye, ",,
"Esabuni","Sabuni",,
"Murame bulayi bulimundu ","Kaeni salama,  Nyote! ",,
"Murame bulayi bulimundu ","Kaeni salama,  Nyote! ",,
"Newenya khumanya kamakali chilila khusoma niko baandike angaki ano","Soma makala hii ujue zaidi! ",,
""This animation shows how far your sneeze can actually travel" by Chia Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020)",""This animation shows how far your sneeze can actually travel" by Chia Yi Hou and Andrea Schmitz, ﻿in Business Insider (Jan 21, 2020)",,
""The Wuhan Virus: How to stay safe", by Laurie Garrett, in Foreign Policy, Report. (Jan 25, 2020)",""The Wuhan Virus: How to stay safe", by Laurie Garrett, in Foreign Policy, Report. ﻿(Jan 25, 2020)",,
""How to avoid the coronavirus? Wash your hands", by Elizabeth Rosenthal, in the New York Times, Opinion. (Jan 28, 2020)",""How to avoid the coronavirus? Wash your hands", by Elizabeth Rosenthal, in the New York Times, Opinion. (Jan 28, 2020)",,
"Niyo khuamisye kamakhua kano ke muosibitali ","Marejeo zaidi ya habari za kiafya: ",,
