source,translated,question,answer
"Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19","Ebwa ngwo me koʼro é nɛɛ mbɔʼ aŋwan dèʼ yɛ e ma zɔʼrɔ kpe KORONAVIRUS Kà COVID—19 ngɛ",,
"","",,
"","",,
"","",,
"","",,
"","",,
"                                                  SOMMAIRE","Abwa yɛ a mwɔ efwɔ aŋwɛ̀ʼrɛ zɔnɔ ngɛ",,
"- Coronavirus - Personnes vulnérables - Symptômes - Transmission du coronavirus - Comment se protéger? - Que faire en cas de contamination? - Définition des mots difficiles","- Koronavirus - Abɔ̂ byɛ e me la ngɛ - Enɛ̂ ene aŋwan mombwo - Aŋu koronavirus ma zhiri ngɛ - Aŋu ngwo me né kɔʼ ekwa ngwɛ ngɛ - Ebwa é le mala aŋwan zɔnɔ bere awɛ  ",,
"p.2 p.3 p.4 p.5 p.6 p.7 p.8","p.2 p.3 p.4 p.5 p.6 p.8",,
"Le coronavirus, aussi appelé COVID-19, est un nouveau virus. Il a été signalé pour la première fois en Chine le 31 décembre 2019. Il a des symptômes semblables à ceux de la grippe et peut entraîner la mort dans certains cas graves. Il est répandu dans de nombreux pays dans le monde entier. L’origine de la maladie n’est pas encore connue.","Koronavirus yɛ e gɛrɛ ma zɔʼrɔ kpe  COVID-19 ngɛ na aŋwan fé. Â dye zɔ efwɔ abɛ Chaina efwɔ enji 31 efwɔ eta Zɛ̀mba efwɔ anɔm 2019. A yi le enɛ̂ na ezhwàʼ nɔ gɛrɛ me né le abɔ̂ dèʼ byɛ a me kama akwa ángɔ ngɛ e kudu. A yi sɛʼɛ efwɔ ebɛ akɛkɛ efwɔ ese. E ke shi nɛɛ aŋu aŋwan zɔnɔ a klada ngɛ bo.",,
"Personne âgée","Bɔ̂ tɛbɛ",,
"Personne cardiaque ou souffrant de maladie","Ghô wɛ ma gwɔ̀rɔ aŋwan etáa ngɛ",,
"Personnes vulnérables Les personnes de tous âges, y compris les enfants, peuvent être infectées par ce nouveau virus. Les personnes âgées et les personnes souffrant de maladies préexistantes (comme l’asthme, le diabète, les maladies cardiaques, l’hypertension artérielle) semblent plus susceptibles de tomber gravement malades à cause de ce virus.","Abɔ̂ byɛ e me la ngɛ  Aŋwan fé zɔnɔ yi né bère akyɛ bɔ̂ gimkpaʼ. Aŋwan zɔnɔ ya zama bere bɔ̂ tɛbɛ mane abɔ̂ byɛ e shi dye le eŋwan ná azhwɛɛrɛ, aŋwan anɔm namanam, aŋwan efwɔ etáa mane ángɔ byɛ anɔ́m ma kwaʼa ngɛ. ",,
"- Fièvre - Fatigue","Efɔ́ɔ Ekwa twá mane",,
"- Toux sèche - Douleurs musculaires","Akpée zɔmɔ Ngli ma twa mane ekwa twa",,
