source,translated,question,answer
"Mekan ḿme bad bétə́ŋgé abíi ́ayə̄l e awalɛɛ awě béchəgɛɛ bán CORONAVIRUS kéʼɛ COVID-19","What you need to know about CORONAVIRUS or COVID-19",,
"","",,
"Cameroon Association for Bible Translation and Literacy","Cameroon Association for Bible Translation and Literacy",,
"","The information in this booklet is taken from the World Health Organization (WHO) website. https://www.who.int/home",,
"","All pictures belong to CABTAL, except p.2 belongs to Pixabay p.6 (butcher) and p.7 (crowd) belong to Wikimedia Commons p.7 (people watching TV) belongs to United Nations (Photo # 616869 UN Photo/Marco Dormino)   CABTAL contacts  Web: www.cabtal.org Mail: info_cabtal@cabtal.org  Tel: (237) 699 833 535 WhatsApp: (237) 654 439 659  P.O. Box: 16 550 Yaoundé, Cameroon",,
"     NKAPTÉD ŃKÁLAG","                    SUMMARY",,
"  - Coronavirus  - Bad ábe ákóbɛɛ - Éʼchemléd - Ngáne coronavirus ákobtanné - Ngáne bad bétə́ŋgɛ́né yə̌l akəə - Cheé mod átə́ŋgɛ́né abɛl nzé akóbé mɔ́?","- Coronavirus  - Vulnerable people - Symptoms - Transmission of coronavirus - How to protect yourself - What to do in case of contamination? - Definition of some difficult words ",,
"p.2 p.3 p.4 p.5 p.6  p.8 ","p.2 p.3 p.4 p.5 p.6 p.7   p.8",,
"Coronavirus, awalɛɛ awe béchəgɛɛ́ ámpē bán COVID-19, adíi nkole mékɔ̄ɔ̄lē. Ḿme nkole ńsémpé abooted á aloŋ á China á epun 31 á ngɔn e December 2019. Ndíi nkole ḿme nzé ńkóbe mod, mpɛɛne ahéb, ńchede mod yə̌l áte, ḿbɛle yə̌l éwāg mod áte, ńkɔ̄lēʼe mod peme. Ńkábné nkǒŋsē áte ńsyə̄ə̄l. Modmod eébīīʼé wɛ́ɛ ḿme nkole nkóó abíd.","Coronavirus, also known as COVID-19, is a new virus. It was first reported in China on 31 December 2019. It has flu-like symptoms and can cause death in some severe cases. It is widespread in many countries around the world. The origin of the disease is not yet known.",,
"Nchun ḿ mod","Elderly person",,
"Mod awě awóó nkole mé nlém","Person with a heart condition or disease",,
