source,translated,question,answer
"What you need to know about the CORONAVIRUS or COVID-19","Məsəkəŋ heni mə nda i səŋtə a talaŋ KWARAWNAVIRUS, Aka səku, KWAVID-19",,
"","",,
"","Association Camerounaise pour la Traduction de la Bible et l'Alphabétisation",,
"","",,
"","",,
"","",,
"                    SUMMARY","                TALAŊ TƏ MA IYI",,
"- Coronavirus  - Vulnerable people - Symptoms - Transmission of coronavirus - How to protect yourself - What to do in case of contamination? - Definition of some difficult words ","- Kwarawnavirus  - Hedi iyi fuk, məc ta a gula i məlta - Məsəkəŋ mə giz məc iyi ta - Zəv tə məc kwarawnavirus - Ley tak məc ta seh viŋgey? - Əŋgah məc ta kəməlah za seh, hwa nda i ɗal seh viŋgey? - Pəl tə ma mə day fagay iyi ",,
"p.2 p.3 p.4 p.5 p.6 p.7   p.8","p.2 p.3 p.4 p.5 p.6  p.8 p.9",,
"Coronavirus, also known as COVID-19, is a new virus. It was first reported in China on 31 December 2019. It has flu-like symptoms and can cause death in some severe cases. It is widespread in many countries around the world. The origin of the disease is not yet known.","Kwarawnavirus  Kwarawnavirus, baha, i kəɗafaŋ ma KWAVID-19, ar guŋkuɗ tə məc lawayaŋ. A mar ley təɗaha seh əŋ hayak tə Sinewa iyi əŋ waŋ 31 tə ntəra tə mənfaɗ tə va 2019. A kətəɗaha əŋ wucum mənaŋ damar (kərcah) a gula i ja hedi, əŋgah məc ta kəɗal za tə day day. Məc ta, kəwuweɗ əŋ məŋhayak fuk. I kəsəŋ mar tə məc ta səku ndagwa.",,
"Elderly person","Hedi tə abə va",,
"Person with a heart condition or disease","Hedi mə zləŋ takwaŋ tə abə  məc",,
"Vulnerable people People of all ages can become infected with this new virus. The elderly and people with pre-existing conditions (such as asthma, diabetes, heart disease, high blood pressure) seem more likely to become seriously ill from this virus.","Hedi iyi fuk məc ta a məlta za  Hedi səndawl abə mekedek iyi fuk, məc tə guŋkuɗ lawayaŋ ta wa, a məl ta za. Hedi tə abə va iyi liŋ hedi mə nja tə abə məc iyi, mar zlezle (mənaŋ məc mə tak nəp, məc tə sukar tə day əŋ wucum, məc mə dəzl nəf, məc tə məmbəz mə hiy təday əŋ wucum) hedi tə abə məc ta wa əŋ wucum, i dal za madawar madawar məŋgəvday a guŋkuɗ ta wa.",,
"Fever Fatigue","-Wucum kahaw kwak -Təɓəl",,
"Dry cough Muscle aches and pains","-Jənjah wula  hwal muŋgurlum -Dəm tə zli tə wucum iyi",,
"Symptoms The symptoms of a coronavirus infection are similar to those of the flu: fever, dry cough, muscle aches, fatigue. Some patients have pain, nasal congestion, runny nose, sore throat, or diarrhea. Some people, although infected, have no symptoms and feel fine. Most people recover without needing any special treatment.","Məsəkəŋ mə giz məc iyi  Məsəkəŋ mə giz məc tə KWARAWNAVIRUS seh, mənaŋ məc tə damar: wucum kahaw kwak, jənjah wula hwal muŋgurlum, dəm tə zli tə wucum, təɓəl. Hedi mə dal dakayta iyi i kəzlim dəm, tə ŋcur mə hwal, tə ŋcur mə hiyaha, tə muŋgurlum, aka səku, ŋva la. Hedi dakayta iyi, məc ta kəməlta za lawlaw, ama məc ta kətəɗaha kwa məsəkəŋ mə giz məc ta halla, i mə nji lawlaw. Hedi iyi mbeh səku i kəmbəl, kwa i kəɓət mənjivek halla.",,
"Person with a cough","Hedi mə jənjah wula",,
"Transmission of coronavirus COVID-19 is transmitted by people carrying the virus. When a sick person coughs or sneezes, they expel droplets through their nose or mouth. If a person breathes in these droplets, they can become infected with the coronavirus. If a person touches an object infected with these droplets and then touches their eyes, nose or mouth, they can also become infected.","Zəv tə KWARAWNAVIRUS  KWAVID-19 a zəv seh, kar hedi tə abə guŋkuɗ tə KWARAWNAVIRUS. Əŋgah hedi tə abə məc ta, a kəjənjah wula, aka səku, a kəɗal gwele, a kəpir mesleɓ kar pakwam, aka səku, kar ŋcur. Əŋgah mesleɓ ta kətəɗ za əŋ dəməs hedi, mbamba seh, məc ta a zəvaŋ za. Əŋgah hedi kəges za abə məsəkəŋ tə abə mesleɓ tə hedi tə abə məc tə KWARAWNAVIRUS tə a ɗek, abə dawaŋ ta, a ɗef ndəra əŋ nje, əŋ ŋcur, əŋ pakwam, məc ta, a zəvaŋ za.",,
"How to protect yourself","Ley tak məc ta seh viŋgey ?",,
"1. Avoid touching eyes, nose, mouth.","1. Heni mba i ɗef ndəra əŋ nje, əŋ ŋcur, əŋ pakwam səku. ",,
"2. Wash your hands frequently with soap and running water. Then dry them with a clean towel.","2. Hi baŋ ndəra abə yim liŋ abə sapuna (savaŋw). ",,
"3. Cough and sneeze into the crook of your arm. ","3. Hi jənjah wula abə ley ɗal gwele əŋ zəv tə madakw ndəra. ",,
"4. Avoid eating raw meat and touching live animals.","4. Hi mba i ɓam zli sə ndeɓek iyi səku. Hi mba i ges a məsəkəŋ mandaham tə abə nje iyi səku.",,
"5. Keep at least one meter away from a person who is cou- ghing or sneezing. ","5. Hi nja walaŋ zaɗ abə hedi mə jənjah wula liŋ abə hedi mə ɗal gwele. ",,
"6. Avoid shaking hands. Greet each other with a nod or a verbal greeting.","6. Hi mba i ɗal mbele ndəra abə ndəra səku, ama hi ɗal mbele seh abə nje dap liŋ abə ley huɓəl talaŋ.",,
"7. Avoid gatherings. ","7. Hi yak i kwas talaŋ.",,
"8. Restrict movement.","8. Hi yak pik iyi.",,
"9. Keep informed and verify the source of information.","9. Hi zlim Labara lawlaw, ama hi səŋ ndewereŋ tə Labara iyi ta lawlaw.",,
"What to do in case of contamination? If you have symptoms: - Avoid contact with other people. - Stay at home. - Call 1510 and follow the doctor's instructions. Other possible numbers:","Hwa nda I ɗal əŋgah məc ta kəməlah za seh viŋgey? Əŋgah məsəkəŋ mə giz məc iyi ta, a kəgizehe a wucum təheni seh : - Hi mba I ges abə hedi dakayta iyi səku. - Hi nja a ge a ge. - Hi ɗaf ma əŋ lamba wa 1510 liŋ hi ziber yawa tə hedi mə vəl mənjivek iyi. Lamba par iyi ley ɗaf ma baha:",,
"699 279 622 675 308 373 698 423 929 655 728 884 670 713 979","699 279 622 675 308 373 698 423 929 655 728 884 670 713 979 ",,
"699 933 725 677 429 357 699 986 740 676 466 797 670 113 761","699 933 725 677 429 357 699 986 740 676 466 797 670 113 761",,
"To date, there is no cure for COVID-19, but authorities are continuing research to find a suitable treatment. Everyone must be responsible and take the right steps to protect themselves and those around them.","Mənjawa, i kəlim  mənjivek kwa ntaɗ ley mbəl hedi əŋ məc tə KWAVID-19 ta seh halla, ama hedi səndawl tə əŋ hayak iyi i kətəl ley pələk, i limehe mənjivek ley ja məc ta. Kwa viyi mə sla wucum a talaŋ ŋga, mə ɗiy nja ŋga lawlaw ley tak talaŋ ŋga a məc liŋ ley tak hedi tə kelek təkwa iyi a məc ta.",,
