source,translated,question,answer
"Cómo evitar el COVID-19","Avoid Covid-19",,
"","",,
"Ilustraciones:  Ari and Elaine Vitikainen   La información se tomó de los sitios web﻿de la Organización Mundial de la Salud (OMS), como:﻿https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public  Versión 27.3.2020","",,
"Literacy for Women in Africa","",,
"Lávese las manos regularmente con agua y jabón, o límpielas con un desinfectante para manos a base de alcohol.","Wash your hands regularly with soap and water, or clean them with alcohol-based hand rub.  ",,
"Evite tocarse los ojos, la nariz y la boca.","Avoid touching eyes, nose and mouth. ",,
"Cúbrase la boca y la nariz con el codo doblado o con un pañuelo de papel cuando tosa o estornude. Deseche el pañuelo usado inmediatamente.","Cover your mouth and nose with your bent elbow or tissue when you cough or sneeze. Dispose  the used tissue immediately.   ",,
"Mantenga una distancia de 2 metros entre usted y los demás.","Maintain 2 meters distance between yourself and others.  ",,
"Si tiene fiebre, tos y dificultades respiratorias, busque atención médica muy pronto.","Stay home if you feel unwell. If you have fever, cough and difficulty breathing, seek medical attention early.  ",,
"Manténgase informado sobre las últimas noticias sobre el COVID-19. Siga los consejos de su proveedor de atención médica.","Stay informed on the latest developments about COVID-19. Follow advice given by your healthcare provider.  ",,
"Cómo evitar el COVID-19    Cómo evitar el COVID-19 Ilustraciones:  Ari and Elaine Vitikainen   La información se tomó de los sitios web﻿de la Organización Mundial de la Salud (OMS), como:﻿https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public  Versión 27.3.2020 Literacy for Women in Africa    Lávese las manos regularmente con agua y jabón, o límpielas con un desinfectante para manos a base de alcohol. Evite tocarse los ojos, la nariz y la boca. Cúbrase la boca y la nariz con el codo doblado o con un pañuelo de papel cuando tosa o estornude. Deseche el pañuelo usado inmediatamente. Mantenga una distancia de 2 metros entre usted y los demás. Si tiene fiebre, tos y dificultades respiratorias, busque atención médica muy pronto. Manténgase informado sobre las últimas noticias sobre el COVID-19. Siga los consejos de su proveedor de atención médica.  ","Avoid Covid-19    Avoid Covid-19      Wash your hands regularly with soap and water, or clean them with alcohol-based hand rub.   Avoid touching eyes, nose and mouth.  Cover your mouth and nose with your bent elbow or tissue when you cough or sneeze. Dispose  the used tissue immediately.    Maintain 2 meters distance between yourself and others.   Stay home if you feel unwell. If you have fever, cough and difficulty breathing, seek medical attention early.   Stay informed on the latest developments about COVID-19. Follow advice given by your healthcare provider.    ",,
