source,translated,question,answer
"Qooda bayrese koronata","ስለ ኮሮና ቫይረስ",,
"","",,
"","",,
"Ola dookko kunenu hullu gheevasa bayrese korona maala akki haghti:","",,
"HAARTI","",,
"bago","",,
"sindhe","",,
"axxe","",,
"axxe kaaku giddema","",,
"qawko qaayya","",,
"qawko qarari","",,
"Bayrese tittay, kigorite axxema aaka sindhema aaka bagoma jammati yaaka, gorema daxxiti:","",,
"Zigabnoka elleta davadhindha. Meetiro lakki ola firra ayyakkilo kuneka davanni.","",,
"1.","",,
"2 m","",,
"tirshaqaddho!","",,
"Kottanu kaqawko ghufava woykiyaka tirshaqadha woykiyaka buuvadhika yi'te yaaka, kosse godhinte:","",,
"Saara tesse naayya sindhe aaka bago shudhadhika ufundhenu deh. Tannu ufundhe giddema nata ghufavvo aaka tirshaqaddho algasnanki ba gore nata galla hagha xumbhekakka davadhonkiye.","",,
"2.","",,
"Hororro siine sindheteta","",,
"woykiyaka","",,
"Ise qararakka vaydhini, bishini elle ~bangatti.","",,
"Gore keghaftadhi armadhisso xurro algasnanki, bishini ufundhe keghaftadhi.","",,
"Wayko nata gore gaaneka xurro ammake, muunu mallantay aha akki qararika ko'arro xurtennu.","",,
"sooftema","",,
"kubbayaddhema","",,
"moobayladdhema, komfiterattema","",,
"saara tesse sindhe aaka bagoma shabadhima","",,
"mawuze komfiterattema","",,
"iskibirtoma","",,
"karradhema","",,
"harke kuusundhema","",,
"Vaydhakkamay, qane do'o do'o waaqe qawko qararita acchinaki ba olama baynki...","",,
"atundhe xumbhe qararroya ghaftananku.","",,
"woykiyaka miinte qawko ato cigattitaka beeranku ba","",,
"axxe rigaddhanku yaaka","",,
"Ka'ussay kottay xumbheka arrankunnay beerrite ba koleyaaka miinte taakundheka","",,
"ola dooko konaaya badisnanki maaxxisaka saamuna aaka ola alkoole ligghumaya shohho na'a.","",,
"Bayrese korona maaxxema sa'ate daggaya oladdho algasnay,","",,
"saamuna","",,
"bango","",,
"Kottannuki bango xubin kittayay cam kavaddho koqaayya vaydhi.","",,
"haysamma asa saamunaya shohadha","",,
"tsikile","",,
"Innu miinte elleta beerrunku, woykiyaka miinte qawko bilatteka. Kabeerranto gheevte yaaka, qarra harkeka saamunaya ammake shohadha.","",,
"Kosse harke shohattenay, dookkonu aga kunkaddhe lakkima asa dhikindha.","",,
"qubbete giddeka ammake shoh","",,
"sokonde 20","",,
"qottete shaarkoka shoh","",,
"harkete duuko shoh","",,
"Ammake shohadha bayyo moo?","",,
"Kabeerrite yaaka, innu shukunku. Faanatte harkeka vandhe aaka saamunaya shohadha.","",,
"Ka'algaste yaaka innu saara taakundheta lavakko beerunku.","",,
"ola kayya","",,
"* Qayto xumbhe shabatte yaaka, bacteeriya nata giddema ghohna.","",,
"Saara tesse sindhe aaka bagoma shabadhi ki'uskakkotti yaaka, tsiibadha. Tesse kaalikkoma tsaqqamadhika innu       kaallikko dookkonu caalishunku ba shabadhanku!","",,
"kaale tsaqqamadhi","",,
"na'a","",,
"indiye","",,
"aabbayo","",,
"Qawko xumbhe laybe tuusuya vaydha:","",,
"Ji'o, maaxxe ji'ilo, hale aaka laybaddheka innu elleta ergadhunku.","",,
"Tsikileya miinteka beerantonu teemitina vaydhakka, beeranto algastikka.","",,
"Karraddheka qaaccantonu aaka caqqummonu ka'algasinte yaaka, tsikileya woykiyaka kaccheya qaacchamay innu harkoya qaacchunku.","",,
"MANNE","",,
"gore dhammama qaashattennay faanatte","",,
"biifankunnay qarra","",,
"harkeka qayto xumbhe saamunaya shohadha...","",,
"Tannu faagaddhoma,","",,
"Xumbhenay nagaykoya oladha!","",,
"","Translated and edited under supervision of Hailu Berhanu Golla Images by Weiman Kou, © 2020 Weiman Kou. CC BY-NC-SA 4.0.",,
"","Created by Weiman Kow, instagram: weimankow",,
