source,translated,question,answer
"So'al Koronavirus","About Coronavirus",,
"","",,
"","",,
"Hambu 'aka' 'a dala' ESA fo hei parlu mihine so'al ta'o bee fo koronavirus a","There's only ONE thing ﻿you need to understand about how a coronavirus",,
"dai atahori hetar.","SPREADS",,
"bafa ma","Mouth",,
"mbana ma","Nose",,
"mata ma","Eyes",,
"maso' nisi'","Get into your",,
"Atahori nda mamahed'i' sa","Healthy Person",,
"Atahori mamahed'i'","Sick Person",,
"Virus a dai atahori, lele' oe titi' ia ra,","The virus spreads when ﻿these droplets",,
"Mu'ud'od'oo'! Meter 2 fo fe'e na nda dai oe titi monae' sa.","Keep your distance.﻿2m will keep you safe from large droplets.",,
"1","1",,
"meter 2","2m",,
"Acii!","Achoo!",,
"Dad'i, mete ma mita atahori esa boo, 'esufani, namahed'i na:","So if you see someone who is visibly coughing/sneezing/sick you can choose to:",,
"Fee se masker. Ara bisa boo do 'esufani neu e, naa fo 'afi' dai atahori mana deka-deka' ra.","Give them a mask.﻿They can cough or sneeze in it and protects everyone else nearby.",,
"2","2",,
"Makasi nae'!﻿*boo ho'u-ho'u*","Thank you﻿*sniffles*",,
"DO,","OR,",,
"Mbei ma ana nda namahed'i sa te ana  nanea ao na mia hed'is.","Maybe she's not sick, just protecting herself",,
"La'e faa na atahori mana dai koronovirus a nda natud'u tanda sa, te ana bisa tao atahori laen dai koronavirus.","People who are infected can show no symptoms, but are still﻿infectious",,
"Boe ma, malole lena' mu'ud'odoo' mia atahori mana ma'ab'ub'ue' ra, huu nda muhine atahori bee mamahed'i' sa.","And in general, it's a good idea to avoid crowds, because you don't know who might be sick.",,
"Susurut","Chopsticks",,
"Atahori nda mamahed'i' sa","Healthy person",,
"Toto'u' sia Kareta do bemo","Train straps",,
"Lift a tetendes na","Lift buttons",,
"Tisu","Tissues",,
"Mok","Cups",,
"Sud'i' a saa elektronik","Digital devices",,
"& hita masker na dean boe.","& even on the outside of your face mask",,
"Tangga ra toto'u na","Stair bannisters",,
"Mous","Mouse",,
"Bolpoin","Pens",,
"Lelesu toto'u na","Door knobs",,
"Lima na ra","Their hands",,
"Te la'e faa na, atahori mamahed'i' esa mirun bisa dai sud'i a saa laen ra.","However, sometimes a sick person's saliva can get on other things…",,
"Basa nggi bisa mimihed'i.","you might all fall sick.",,
"do atahori fo hoo sue' ra mata na ra.","or your loved one's face",,
"'o'ose mata ma ra,","rub eyes",,
"Ma mete ma, hoo nda sangaja sa, te nggama dai sud'i 'a saa, naa ra, basa ma nggama mata ma,","And if you do touch any of these things by accident, and then touch your face,",,
"ma hambu 'aka' dala malole' esa fo tamopo' virus ra, naeni safe hendi se tendi' sab'u, pemutih, do alkohol.","and the only effective way to get rid of them is to wash them off with soap, bleach, or alcohol.",,
"Virus ra bisa ra'atataa' losa jam hira sia sud'i 'a saa ra,","Viruses can last for quite a few hours on objects,",,
"Sab'u","soap",,
"","precautions",,
