source,translated,question,answer
"Olumbe lwa Korona","Isaroaka Virus Corona ",,
"","",,
"","",,
"","So saangu peelu imataumu to tuaapa Virus Corona bheapogaa-gaa i alamu sii. ",,
"","Muncu ",,
"","Ango ",,
"","Mata ",,
"","Pesua i nunca ",,
"","Mia malape",,
"","Mia mapii ",,
"","Virus bheamembali alalimi minaaka i pasiki wilu sii ",,
"","Pekaridho, mamudhaakana ingkoo usalamati tee inda kangkanaiko pasikina wilu jadi pekaridhomo rua metere.",,
"","1",,
"","2m-0,5m",,
"","Haaachii!! ",,
"","Ande, ukamata mia mokomeke/mosambaho/momapii, ingkoo membali: ",,
"","Dhawu manga incia masker. Jadi manga incia membali asambaho/akomeke i nuncana maskerna mamudhaakana ajagani manga miana i sambalina.",,
"","2",,
"","Tarimakasi “SROOT” ",,
"","Atawa, ",,
"","Amembali uka mia sii inda amapii. Incia soo jagani karona.",,
"","Mia motolalimina virus korona inda tomatau, maka amembali alalimiaka panyakina. ",,
"","Salabina, malape upekarido tee mia bhari mopokawa, roonamo ingkoo inda umatau incema-incema momapiina. ",,
"","Kandea ",,
"","Mia malape ",,
"","Kakenina kereta ",,
"","Kapisikina lift ",,
"","Tisu ",,
"","Tonde ",,
"","Perangkat digital ",,
"","Garaaka i sambalina maskermu ",,
"","Kakeniana odha ",,
"","Tetikus ",,
"","Folpeni ",,
"","Kajolina bamba ",,
"","Limana ",,
"","Momini mboo sumai, sagaa wiluna mia mapii membali apika i... ",,
"","Ingkomiu bhari-bharia amembali kangkanaikomiu kapii.",,
"","Atawa rouna mia i saripimiu umaasiakea,",,
"","Gigisi mata ",,
"","Ande ingkomiu inda tee haejati ukeni manga giuna bara-bara itu, siimpo ukeni roumiu,",,
"","Saangu-saanguna cara malape to pekamate virus mboo ubhanuia tee pake cabo, pemutih, atawa alkohol.",,
"","Virus membali adhadhi 24 jamu i kulina manga giuna bara.",,
"","Cabo",,
"","pewau giu mboo sii to jagani karomiu.",,
"","Makanamo itu, salabhina ose ",,
"","Bhanui tee cabo sakawa iwei. ",,
"","Siku",,
"","Bholi keni roumiu (atawa rouna mia). Ande umembali, bhanuipea pekangkilo limamiu tee cabo. ",,
"","Mboo laguaka “Happy Birthday” rua mpearo. ",,
"","I nuncana konuku ",,
"","20  detik kangengena ",,
"","I solongkina kauna lima",,
"","Bhanui talikuna lima ",,
"","Tuaapa carana bhanui lima mamudhaakana momangkilona?",,
"","Ande atokeni, bholi maeka. Lausaka bhanui limamu tee cabo.",,
"","Bholi keni sambalina masker ",,
"","pasikina wilu ",,
"","Panyaki membali adhadhi i nuncana masker ande atopake mangenge lau-launa.",,
"","Bhanakea maskermu ande amarombumo. Bholi pake masker labhi saeo kangengena.",,
"","Pake kasandu tawana kau. ",,
"","Ana",,
"","Ama",,
"","Ina",,
"","Pake handumiu samia-samia. ",,
"","Bholi pobage kinande, kandea, tonde, tee handu. ",,
"","Ingkoo inda umembali dhingku roumu pake sikumu, soo cobamo. ",,
"","Ande amembali, bungkale tee tutubi bhamba pake siku atawa o awaa.",,
"","Bhanua",,
"","Sapadana minaaka i sambalina bhanua ",,
"","Ande indapo ukande",,
"","Sadhia bhanui limamiu tee cabo ",,
"","Ahirina, ",,
"","Jagania kasehatamu! ",,
"","Soo bacamo cara mosagaanana i bhawo ",,
"",""This animation shows how far your sneeze can actually travel" by Chia Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020)",,
"",""The Wuhan Virus: How to stay safe", by Laurie Garrett, in Foreign Policy, Report. (Jan25, 2020)",,
"",""How to avoid the coronavirus? Wash your hands", Elizabeth Rosenthal, in New York Times, Opinion. (Jan 28, 2020)",,
"","Moutamana minaaka i kapaumbana medis: ",,
"","Keterangan tambahan: Tindakan pencegahan dalam bentuk komik ini sangat efektif untuk mencegah penularan penyakit umum lainnya, seperti flu dan pilek, dan harus diterapkan dalam kehidupan sehari-hari, bahkan ketika tidak ada wabah. Referensi: lnformasi dalam komik ini dibuat berdasarkan pemahaman COVID-19 hingga 28 Februari 2020, dan sebagian besar diambil dari tiga referensi ini. https://www.nytimes.com/2020/01/28/opinion/coronavirus-prevention-tips. htmlhttps://foreignpolicy.com/2020/01/25/wuhan-coronavirus-safety-china/   https://www.businessinsider.com/how-far-sneeze-cough-germs-can-travel-2018-10 Informasi Tambahan Komik dalam bentuk PDF dapat diunduh di sini:  https://gumroad.com/weimankowart Pedoman Menyebarkan Komik Komik ini dapat dibagikan secara gratis melalui media daring, atau melalui Whatsapp dan Telegram, dan dapat diunduh secara gratis untuk dicetak dalam bentuk poster untuk penggunaan pribadi atau sebagai materi edukasi di rumah, sekolah, dan tempat kerja.. Saat membagikan komik ini, ingat 3 hal berikut:  1) Dilarang mengedit gambar komik yang akan dibagikan.  2) Komik ini tidak dapat diperjualbelikan.  3) Jika dibagikan di media sosial FB, cantumkan kredit pengarang dengan menyebut @weimankowart, di IG dengan menyebut @weimankow (IG), atau mencantumkan tautan ke instagram.com/weimankow  Untuk penggunaan lainnya, silakan hubungi: comicsforgood@gmail.com",,
"","",,
"","",,
"","",,
"Olumbe lwa Korona                                                                                      Olumbe lwa Korona        ","Isaroaka Virus Corona     So saangu peelu imataumu to tuaapa Virus Corona bheapogaa-gaa i alamu sii.   Muncu  Ango  Mata  Pesua i nunca  Mia malape Mia mapii  Virus bheamembali alalimi minaaka i pasiki wilu sii  Pekaridho, mamudhaakana ingkoo usalamati tee inda kangkanaiko pasikina wilu jadi pekaridhomo rua metere. 1 2m-0,5m Haaachii!!  Ande, ukamata mia mokomeke/mosambaho/momapii, ingkoo membali:  Dhawu manga incia masker. Jadi manga incia membali asambaho/akomeke i nuncana maskerna mamudhaakana ajagani manga miana i sambalina. 2 Tarimakasi “SROOT”  Atawa,  Amembali uka mia sii inda amapii. Incia soo jagani karona. Mia motolalimina virus korona inda tomatau, maka amembali alalimiaka panyakina.  Salabina, malape upekarido tee mia bhari mopokawa, roonamo ingkoo inda umatau incema-incema momapiina.  Kandea  Mia malape  Kakenina kereta  Kapisikina lift  Tisu  Tonde  Perangkat digital  Garaaka i sambalina maskermu  Kakeniana odha  Tetikus  Folpeni  Kajolina bamba  Limana  Momini mboo sumai, sagaa wiluna mia mapii membali apika i...  Ingkomiu bhari-bharia amembali kangkanaikomiu kapii. Atawa rouna mia i saripimiu umaasiakea, Gigisi mata  Ande ingkomiu inda tee haejati ukeni manga giuna bara-bara itu, siimpo ukeni roumiu, Saangu-saanguna cara malape to pekamate virus mboo ubhanuia tee pake cabo, pemutih, atawa alkohol. Virus membali adhadhi 24 jamu i kulina manga giuna bara. Cabo pewau giu mboo sii to jagani karomiu. Makanamo itu, salabhina ose  Bhanui tee cabo sakawa iwei.  Cabo Siku Bholi keni roumiu (atawa rouna mia). Ande umembali, bhanuipea pekangkilo limamiu tee cabo.  Mboo laguaka “Happy Birthday” rua mpearo.  I nuncana konuku  20  detik kangengena  I solongkina kauna lima Bhanui talikuna lima  Tuaapa carana bhanui lima mamudhaakana momangkilona? Ande atokeni, bholi maeka. Lausaka bhanui limamu tee cabo. Bholi keni sambalina masker  pasikina wilu  Panyaki membali adhadhi i nuncana masker ande atopake mangenge lau-launa. Bhanakea maskermu ande amarombumo. Bholi pake masker labhi saeo kangengena. Pake kasandu tawana kau.  Ana Ama Ina Pake handumiu samia-samia.  Bholi pobage kinande, kandea, tonde, tee handu.  Ingkoo inda umembali dhingku roumu pake sikumu, soo cobamo.  Ande amembali, bungkale tee tutubi bhamba pake siku atawa o awaa. Bhanua Sapadana minaaka i sambalina bhanua  Ande indapo ukande Sadhia bhanui limamiu tee cabo  Ahirina,  Cabo Jagania kasehatamu!  Jagania kasehatamu!  Cabo Soo bacamo cara mosagaanana i bhawo  "This animation shows how far your sneeze can actually travel" by Chia Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020) "The Wuhan Virus: How to stay safe", by Laurie Garrett, in Foreign Policy, Report. (Jan25, 2020) "How to avoid the coronavirus? Wash your hands", Elizabeth Rosenthal, in New York Times, Opinion. (Jan 28, 2020) Moutamana minaaka i kapaumbana medis:  Keterangan tambahan: Tindakan pencegahan dalam bentuk komik ini sangat efektif untuk mencegah penularan penyakit umum lainnya, seperti flu dan pilek, dan harus diterapkan dalam kehidupan sehari-hari, bahkan ketika tidak ada wabah. Referensi: lnformasi dalam komik ini dibuat berdasarkan pemahaman COVID-19 hingga 28 Februari 2020, dan sebagian besar diambil dari tiga referensi ini. https://www.nytimes.com/2020/01/28/opinion/coronavirus-prevention-tips. htmlhttps://foreignpolicy.com/2020/01/25/wuhan-coronavirus-safety-china/   https://www.businessinsider.com/how-far-sneeze-cough-germs-can-travel-2018-10 Informasi Tambahan Komik dalam bentuk PDF dapat diunduh di sini:  https://gumroad.com/weimankowart Pedoman Menyebarkan Komik Komik ini dapat dibagikan secara gratis melalui media daring, atau melalui Whatsapp dan Telegram, dan dapat diunduh secara gratis untuk dicetak dalam bentuk poster untuk penggunaan pribadi atau sebagai materi edukasi di rumah, sekolah, dan tempat kerja.. Saat membagikan komik ini, ingat 3 hal berikut:  1) Dilarang mengedit gambar komik yang akan dibagikan.  2) Komik ini tidak dapat diperjualbelikan.  3) Jika dibagikan di media sosial FB, cantumkan kredit pengarang dengan menyebut @weimankowart, di IG dengan menyebut @weimankow (IG), atau mencantumkan tautan ke instagram.com/weimankow  Untuk penggunaan lainnya, silakan hubungi: comicsforgood@gmail.com Isaroaka Virus Corona         ",,
