source,translated,question,answer
"Dzulu ya virusi vya K’orona","About Coronavirus",,
"","",,
"Translated by Lilian Nyanje, Samuel Zaka & Hamisi Askari","",,
"Kuna chit’u CHIMWENGA tu uhenzwacho uchimanye dzulu ya jisi chirusi cha k’orona","There's only ONE thing ﻿you need to understand about how a coronavirus",,
"CHIGOT’AVYO","SPREADS",,
"Mulomoni","Mouth",,
"P’ulani","Nose",,
"Matsoni","Eyes",,
"Gaphenya","Get into your",,
"Mut’u ariye ni muzima","Healthy Person",,
"Mut’u mukongo Gaphenya ","Sick Person",,
"Cho chirusi chinagot’a chikala madenwa gaga","The virus spreads when ﻿these droplets",,
"Fyalaluka k’anda. Mita 2 zinaidima kukwika salama kulaa kwa madenwa mabomu.","Keep your distance.﻿2m to 0.5m will keep you safe from large droplets.",,
"1","1",,
"Mita 2","2m-0.5m",,
"Hech’ii!","Achoo!",,
"Kwa vivyo uchona mut’u lwazu-lwazu unakohola/ unach’emula/ni mukongo unaidima kutsagula ku:","So if you see someone who is visibly coughing/sneezing/sick you can choose to:",,
"Aphe vitambaa vya kufunga p’ula na mulomo/masiki. Anaidima kukoholera hebu akach’emulira na kurinda chila mut’u ariye phephi","Give them a mask.﻿They can cough or sneeze in it and protects everyone else nearby",,
"2","2",,
"Mumvera *kuch’emula*","Thank you﻿*sniffles*",,
"HEBU","OR,",,
"Phanjine hata ts’i mukongo, ela mwenye yunadzirinda tu.","Maybe she's not sick, just protecting herself",,
"At’u odziambukizwa anaidima kuts’aonyesa dalili, ela acheri anaambukiza","People who are infected can show no symptoms, but are still﻿infectious",,
"Na kwa jumula, ni azo idzo kudzitenga na virundu, kwa kukala k’umanya ni ani ariye ni mukongo.","And in general, it's a good idea to avoid crowds, because you don't know who might be sick.",,
"","chopsticks",,
"Mut’u yets’ikala mukongo.","Healthy person",,
"Mikowa kahi za gari ya moshi","Train straps",,
"Vidude vya kufyeha vya mashine ya kupandira na kutsererera gorofani","Lift buttons",,
"Makodza ga chooni","Tissues",,
"Vikombe","Cups",,
"Vifaa vya chidijitali","Digital devices",,
"na hata konze ya masikiyo","& even on the outside of your face mask",,
"Mut’u mwa kugwirira ngazini","Stair bannisters",,
"Chidude cha komupyuta","Mouse",,
"K’alamu","Pens",,
"Vigwarya vya miyango","Door knobs",,
"Mikono yao","Their hands",,
"Hata vivyo, ukati unjine mahe ga mut’u mukongo ganaidima kugwerera vit’u vinjine…","However, sometimes a sick person's saliva can get on other things…",,
"mosi munaidima kukala akongo","you might all fall sick.",,
"hebu uso wa umuhenzaye","or your loved one's face",,
"ufikitse matso","rub eyes",,
"Na uchigwira zani chit’u chochosi kati ya vivi, chidzako ukumbe usoo,","And if you do touch any of these things by accident, and then touch your face,",,
"na njira ya tende ya kuvyusa ni kuvyoga na sabuni, jik’i, hebu uchi.","and the only effective way to get rid of them is to wash them off with soap, bleach, or alcohol.",,
"Virusi vinaidima kukala kwa masaa machache dzulu ya vit’u","Viruses can last for quite a few hours on objects,",,
"Sabuni","soap",,
"Mizizo","precautions",,
"Ndo mana ni vidzo piya kutuwa yiyi","Which is why it is also good to follow these",,
"oga na sabuni muhadi hipha","wash with soap up to here",,
"Chikokorito","elbow",,
"Uts’ikumbe usoo. (Hebu uso wa munzio.) Ichikala ni seti ukumbe, oga mikonoyo na sabuni chividzo kwanza.","Do not touch your face. (Or anyone else's face.) If you have to, wash your hands with soap thoroughly first.",,
"Ukati wa kutosha wa kwimba, “Ts’iku ya raha ya kuvyalwa” k’ano mbiri","Enough time to sing “Happy Birthday” twice",,
"ts’ini ya k’ombe","under the nails",,
"kwa sekunde 20","for 20 seconds",,
"Kati-kati ya vyala","between the fingers",,
"oga nyuma ya mikonoyo","wash the back of your hands",,
"Chividzo nini?","What is thoroughly?",,
"Uchikala udzikumba, uts’ijali. We chidzako oga mikonoyo na sabuni.","If you did, don't worry. Just wash your hands with soap after.",,
"Chisha, uts’ikumbe konze ya masiki ichikala vindaidimikika.","Also, don't touch the outside of the mask if you can.",,
"madenwa","droplets",,
"Vidudu vinakula ndani ya masikiyo uchikala undazivala muno.","*Bacteria grows on the insides of your mask if you wear them too long",,
"Tsupha vitambaa vya kufunga p’ula na mulomo/masiki uchisikira zitsoka. Uts’izivale zaidi ya ts’iku mwenga!","Throw away masks once they feel gross. Don't wear them for more than a day!",,
"Humira chikasi","Use a serving spoon",,
"Mwanache","Baby",,
"Baba","Daddy",,
"Mayo","Mommy",,
"Chila mut’u ahumire tauloye.","Everyone gets their own towel",,
"Uts’irye leu phamwenga na at’u, hebu mukats’anganya viya, vikombe hebu t’aulo.","Do not share food, utensils, cups, towels.",,
"Kw’idima kukumba usoo na chikokorito hata ukakala wajeza.","You can't touch your face with your elbow even if you tried",,
"Fugula na kufunga muyango na chikokorito hebu mafuzi kurichisa mikono pharipho yinaidimikika.","Open & close doors with your elbows or shoulders instead of hands, if possible.",,
"Mudzini","Home",,
"","and after being out in the public",,
"Phots’i kurya","Before you eat",,
"Chila ukati oga mikonoyo na sabuni…","Always wash your hands with soap…",,
"Na kumarigiza,","And finally,",,
"Kalani salama, chila mut’u!","Stay safe, everyone!",,
"Soma vitabumajarida kwa utumia unji Zaidi!","Read the articles for more tips!",,
"1.     “This animation shows how far your sneeze can actually travel” by Chia Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020) ",""This animation shows how far your sneeze can actually travel" by Chia Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020)",,
"1.     “The Wuhan Virus: How to stay safe”, by Laurie Garrett, in Foreign policy, Report.  (Jan 25, 2020) ",""The Wuhan Virus: How to stay safe", by Laurie Garrett, in Foreign Policy, Report. (Jan 25, 2020)",,
"1.     “How to avoid the coronavirus? Wash your hands”. By Elizabeth Rosenthal, in the New York Times, opinion.  (Jan 28,2020) ",""How to avoid the coronavirus? Wash your hands", by Elizabeth Rosenthal, in the New York Times, Opinion. (Jan 28, 2020",,
"Wiidimao kwauzira enye hasa dzulu ya udzumbe wa chiafya:","Main references for medical info:",,
"Additional notes: Hygiene precautions in comic are effective in preventing many other common infections such as flu and cold, and should be applied in every day life, even when there is no epidemic.  References: lnformation in comic is based on understanding of COVID19 up till 28 Feb 2020, and mainly from these three references.  https://www.nytimes.com/2020/01/28/opinion/coronavirus-prevention-tips.htmlhttps://foreignpolicy.com/2020/01/25/wuhan-coronavirus-safety-china/  https://www.businessinsider.com/how-far-sneeze-cough-germs-can-travel-2018-10 Additonal lnformation A PDF version of the comic is available for free download here: https://gumroad.com/weimankowart  Sharing Guidelines This comic is free for the general public to share online and through Whatsapp and Telegram, and the downloads are free for printing out as posters for personal and educational use in homes, schools, and workplaces.  When sharing, please remember these 3 points: 1) No edits to the comics is allowed in any way when sharing. 2) Comics cannot be used for any commercial project 3) lf online, credit the creator on FB by tagging @weimankowart, on IG by tagging @weimankow (IG), or providing a link to instagram com/weimankow For all other uses, please send a request in to: comicsforgood@gmail.com","Additional notes:  Hygiene precautions in comic are effective in preventing many other common infections such as flu and cold, and should be applied in every day life, even when there is no epidemic.  References:  lnformation in comic is based on understanding of COVI 019 up till 28 Feb 2020, and mainly from these three references. ﻿https://www.nytimes.com/2020/01/28/opinion/coronavirus-prevention-tips.htmlhttps://foreignpolicy.com/2020/01/25/wuhan-coronavirus-safety-china/ ﻿https://www.businessinsider.com/how-far-sneeze-cough-germs-can-travel-2018-1O Additonal lnformation  A PDF version of the comic is available for free download here:﻿﻿https://gumroad.com/weimankowart  Sharing Guidelines  This comic is free for the general public to share online and through Whatsapp and Telegram, and the downloads are free for printing out as posters for personal and educational use in homes, schools, and workplaces.  When sharing, please remember these 3 points: ﻿1) No edits to the comics is allowed in any way when sharing.﻿2) Comics cannot be used for any commercial project﻿3) lf online, credit the creator on FB by tagging @weimankowart, on IG by tagging @weimankow (IG), or providing a link to instagram com/weimankow ﻿For all other uses, please send a request in to: comicsforgood@gmail.com",,
"","Translated by Lilian Nyanje, Samuel Zaka & Hamisi Askari: Bible Translation & Literacy, E.A",,
"","Created by Weiman Kow, instagram: weimankow",,
"Dzulu ya virusi vya K’orona  Translated by Lilian Nyanje, Samuel Zaka & Hamisi Askari  Kuna chit’u CHIMWENGA tu uhenzwacho uchimanye dzulu ya jisi chirusi cha k’orona CHIGOT’AVYO Mulomoni P’ulani Matsoni Gaphenya Mut’u ariye ni muzima Mut’u mukongo Gaphenya  Cho chirusi chinagot’a chikala madenwa gaga Fyalaluka k’anda. Mita 2 zinaidima kukwika salama kulaa kwa madenwa mabomu. 1 Mita 2 Hech’ii! Kwa vivyo uchona mut’u lwazu-lwazu unakohola/ unach’emula/ni mukongo unaidima kutsagula ku: Aphe vitambaa vya kufunga p’ula na mulomo/masiki. Anaidima kukoholera hebu akach’emulira na kurinda chila mut’u ariye phephi 2 Mumvera *kuch’emula* HEBU Phanjine hata ts’i mukongo, ela mwenye yunadzirinda tu. At’u odziambukizwa anaidima kuts’aonyesa dalili, ela acheri anaambukiza Na kwa jumula, ni azo idzo kudzitenga na virundu, kwa kukala k’umanya ni ani ariye ni mukongo.  Mut’u yets’ikala mukongo. Mikowa kahi za gari ya moshi Vidude vya kufyeha vya mashine ya kupandira na kutsererera gorofani Makodza ga chooni Vikombe Vifaa vya chidijitali na hata konze ya masikiyo Mut’u mwa kugwirira ngazini Chidude cha komupyuta K’alamu Vigwarya vya miyango Mikono yao Hata vivyo, ukati unjine mahe ga mut’u mukongo ganaidima kugwerera vit’u vinjine… mosi munaidima kukala akongo hebu uso wa umuhenzaye ufikitse matso Na uchigwira zani chit’u chochosi kati ya vivi, chidzako ukumbe usoo, na njira ya tende ya kuvyusa ni kuvyoga na sabuni, jik’i, hebu uchi. Virusi vinaidima kukala kwa masaa machache dzulu ya vit’u Sabuni Mizizo Ndo mana ni vidzo piya kutuwa yiyi oga na sabuni muhadi hipha Sabuni Chikokorito Uts’ikumbe usoo. (Hebu uso wa munzio.) Ichikala ni seti ukumbe, oga mikonoyo na sabuni chividzo kwanza. Ukati wa kutosha wa kwimba, “Ts’iku ya raha ya kuvyalwa” k’ano mbiri ts’ini ya k’ombe kwa sekunde 20 Kati-kati ya vyala oga nyuma ya mikonoyo Chividzo nini? Uchikala udzikumba, uts’ijali. We chidzako oga mikonoyo na sabuni. Chisha, uts’ikumbe konze ya masiki ichikala vindaidimikika. madenwa Vidudu vinakula ndani ya masikiyo uchikala undazivala muno. Tsupha vitambaa vya kufunga p’ula na mulomo/masiki uchisikira zitsoka. Uts’izivale zaidi ya ts’iku mwenga! Humira chikasi Mwanache Baba Mayo Chila mut’u ahumire tauloye. Uts’irye leu phamwenga na at’u, hebu mukats’anganya viya, vikombe hebu t’aulo. Kw’idima kukumba usoo na chikokorito hata ukakala wajeza. Fugula na kufunga muyango na chikokorito hebu mafuzi kurichisa mikono pharipho yinaidimikika. Mudzini  Phots’i kurya Chila ukati oga mikonoyo na sabuni… Na kumarigiza, Sabuni Kalani salama, chila mut’u! Kalani salama, chila mut’u! Sabuni Soma vitabumajarida kwa utumia unji Zaidi! 1.     “This animation shows how far your sneeze can actually travel” by Chia Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020)  1.     “The Wuhan Virus: How to stay safe”, by Laurie Garrett, in Foreign policy, Report.  (Jan 25, 2020)  1.     “How to avoid the coronavirus? Wash your hands”. By Elizabeth Rosenthal, in the New York Times, opinion.  (Jan 28,2020)  Wiidimao kwauzira enye hasa dzulu ya udzumbe wa chiafya: Additional notes: Hygiene precautions in comic are effective in preventing many other common infections such as flu and cold, and should be applied in every day life, even when there is no epidemic.  References: lnformation in comic is based on understanding of COVID19 up till 28 Feb 2020, and mainly from these three references.  https://www.nytimes.com/2020/01/28/opinion/coronavirus-prevention-tips.htmlhttps://foreignpolicy.com/2020/01/25/wuhan-coronavirus-safety-china/  https://www.businessinsider.com/how-far-sneeze-cough-germs-can-travel-2018-10 Additonal lnformation A PDF version of the comic is available for free download here: https://gumroad.com/weimankowart  Sharing Guidelines This comic is free for the general public to share online and through Whatsapp and Telegram, and the downloads are free for printing out as posters for personal and educational use in homes, schools, and workplaces.  When sharing, please remember these 3 points: 1) No edits to the comics is allowed in any way when sharing. 2) Comics cannot be used for any commercial project 3) lf online, credit the creator on FB by tagging @weimankowart, on IG by tagging @weimankow (IG), or providing a link to instagram com/weimankow For all other uses, please send a request in to: comicsforgood@gmail.com Dzulu ya virusi vya K’orona        ","About Coronavirus    There's only ONE thing ﻿you need to understand about how a coronavirus SPREADS Mouth Nose Eyes Get into your Healthy Person Sick Person The virus spreads when ﻿these droplets Keep your distance.﻿2m to 0.5m will keep you safe from large droplets. 1 2m-0.5m Achoo! So if you see someone who is visibly coughing/sneezing/sick you can choose to: Give them a mask.﻿They can cough or sneeze in it and protects everyone else nearby 2 Thank you﻿*sniffles* OR, Maybe she's not sick, just protecting herself People who are infected can show no symptoms, but are still﻿infectious And in general, it's a good idea to avoid crowds, because you don't know who might be sick. chopsticks Healthy person Train straps Lift buttons Tissues Cups Digital devices & even on the outside of your face mask Stair bannisters Mouse Pens Door knobs Their hands However, sometimes a sick person's saliva can get on other things… you might all fall sick. or your loved one's face rub eyes And if you do touch any of these things by accident, and then touch your face, and the only effective way to get rid of them is to wash them off with soap, bleach, or alcohol. Viruses can last for quite a few hours on objects, soap precautions Which is why it is also good to follow these wash with soap up to here soap elbow Do not touch your face. (Or anyone else's face.) If you have to, wash your hands with soap thoroughly first. Enough time to sing “Happy Birthday” twice under the nails for 20 seconds between the fingers wash the back of your hands What is thoroughly? If you did, don't worry. Just wash your hands with soap after. Also, don't touch the outside of the mask if you can. droplets *Bacteria grows on the insides of your mask if you wear them too long Throw away masks once they feel gross. Don't wear them for more than a day! Use a serving spoon Baby Daddy Mommy Everyone gets their own towel Do not share food, utensils, cups, towels. You can't touch your face with your elbow even if you tried Open & close doors with your elbows or shoulders instead of hands, if possible. Home and after being out in the public Before you eat Always wash your hands with soap… And finally, soap Stay safe, everyone! Stay safe, everyone! soap Read the articles for more tips! "This animation shows how far your sneeze can actually travel" by Chia Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020) "The Wuhan Virus: How to stay safe", by Laurie Garrett, in Foreign Policy, Report. (Jan 25, 2020) "How to avoid the coronavirus? Wash your hands", by Elizabeth Rosenthal, in the New York Times, Opinion. (Jan 28, 2020 Main references for medical info: Additional notes:  Hygiene precautions in comic are effective in preventing many other common infections such as flu and cold, and should be applied in every day life, even when there is no epidemic.  References:  lnformation in comic is based on understanding of COVI 019 up till 28 Feb 2020, and mainly from these three references. ﻿https://www.nytimes.com/2020/01/28/opinion/coronavirus-prevention-tips.htmlhttps://foreignpolicy.com/2020/01/25/wuhan-coronavirus-safety-china/ ﻿https://www.businessinsider.com/how-far-sneeze-cough-germs-can-travel-2018-1O Additonal lnformation  A PDF version of the comic is available for free download here:﻿﻿https://gumroad.com/weimankowart  Sharing Guidelines  This comic is free for the general public to share online and through Whatsapp and Telegram, and the downloads are free for printing out as posters for personal and educational use in homes, schools, and workplaces.  When sharing, please remember these 3 points: ﻿1) No edits to the comics is allowed in any way when sharing.﻿2) Comics cannot be used for any commercial project﻿3) lf online, credit the creator on FB by tagging @weimankowart, on IG by tagging @weimankow (IG), or providing a link to instagram com/weimankow ﻿For all other uses, please send a request in to: comicsforgood@gmail.com About Coronavirus  Translated by Lilian Nyanje, Samuel Zaka & Hamisi Askari: Bible Translation & Literacy, E.A  Created by Weiman Kow, instagram: weimankow    ",,
