source,translated,question,answer
"Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19","Ɛtsulu Yɔ Korona Varos Əne Wɔhəbhərə Kɔkərə",,
"","",,
"","Cameroon Association for Bible Translation and Literacy",,
"","",,
"","",,
"","                       Mɛrəŋgə Mə Minu",,
"","- Koronavaros - Mɔŋgulu ənə əmamə ɔwusu uhuŋgu - Emənə yɔ Koronə - Efəghə ənə Korunu owuŋgunə otə - Efəghə ənə kɛnyini wokə ɔhu ɔvu əhə ɔgunu nɛni - Ɔgə ənə wɔhəbhərə kɛnyini korona uhuŋgu uvu ",,
"","p.2 p.3 p.4 p.5   p.6  p.8 ",,
"","Koronavaros  Koronavaros mɛbiri otsə (KOVID_19), amu varos woyi ɔmu ulu ɔbə. Mahə ɛkiri awunu bhənə kitundu ka Chayna əsə kə mobughu mə otu akələ nə utu onə kə ɔtəŋgə Wɛkrishi. Ochishi ulu emənə odyoŋgi kɔyu. Wutodi wǒchi ɔnotə kə ɔhu wu oŋgulu, əmamə uzu ongulu ɔvu ini. Koronavaros wayəndə ote mitundu mə owumu mikwiku. Mɔŋgulu  mənəhɔkərə ɔwulu ənə ulu ɔhu.",,
"","Oŋgulu wɔtəbanə",,
"","Oŋgul ənə ɔfughuru nə otəmə ",,
"","Mɔŋgulu ənə əmamə mawusu ɛki Koronavaros  Varos woyi nɛni əmamə uhuŋgu di əsamu wuneli ɔyunu, mamu oŋgulu wɔtəbhanə. Mɔŋgulu matəbhanə nə mɔŋgulu ənə mahə ahəbhərə agunu yɔkərə di: ɔgunu wu iimu, daybitis, agunu yi otəmə, nə ɔgunu wu ɛshiŋgi otəmə ɛbighiryanə əmamə mofi obishi agunu ɔgunu nɛni esəŋə esəŋə.",,
"","-Ɔhu ozunwanə -Mɔburwanə",,
"","-Kanəŋgərə -Kɔyu aghəŋgə akənanə",,
"","Emənə yi ɔgunu Wɔ Koronavaros  Emənə yi ɔgunu wɔ Koronavaros ezhi ekpə di emənə yi kɔyu, amu: ɔhu ozunwanə, kɔy̌u anəŋgəranə, aghəngə ɔpunwanə, mɔburwanə. Mɔŋgulu mamu magunu koronavaros moguru ɔhu iwini opu ondəŋə ɔnotə, mahəbhərəŋə ohúndu oŋgilyanə, mahəbhərəŋə ohundu orwanə, kaŋguraŋgu kafiŋə, mamu kɛshi.  Mɔŋgulu mamu mahəbhərə ɔgunu nɛni mənɔhəbhərə emənə enə enə, mamu okpə dɔdə. Mɔŋgulu mamu mahəbhərə ɔgunu nɛni mayəbhə okpə ini oŋgulu ənɔfərə bu.",,
"","Oŋgulu ənə ɔhəbhərə kɔyu",,
"","Efeghə ənə koronavaros owuŋguŋə otə  Amu mɔŋgulu ənə mahəbhərə koronavaros motumburu agəbhə ɔhə kə mɔŋgulu mɔnɔbə. Oŋgulu ənə ɔhəbhərə koronavaros ôkishi kɔyu mə ôtishi ɛtishi (ôkpishi ɛkpish), tat́uŋgu tə mondzəghərə nə tə kɔyu tɛt́ə ilu otə kə ɔdzu ivi mə iyotə kə ohundu ivi. Tat́uŋgu ɛtini teńdə otə kə  ɔdzu mə iyotə kə ohundu wu oŋgulu wokərə, əmamə oŋgulu ɔvwini ɔhəbhərə koronavaros. Oŋgulu ochi ɔgə ənə tat́uŋgu nɛni tegbə ɛvyosə ɔhini ochi kishi iki, mə ohundu ivi, mə ɔdzu ivi, umu hənə oki koronavaros.",,
"","Efəghə ənə Kɛnyini Wokə Ɔhu Ɔvu Əhə Ɔgunu Nɛni",,
"","1. Tɛchi ɔŋguŋə oshi ɛzhi, mə ohundu ɔvu, mə ɔdzu ɔvu otə kɔbu. ",,
"","2. Tsəbhə osu abu ɛzhi kɔtsəbhə ɔsu otə kusu tokpi tikwiku. Ɔhini wushiŋgi otə kebhi kiburu kebhinjyanə. ",,
"","3. Kishí kɔyu nə wokpishí ɛkpishi əsotə kə etsə yɔbu. ",,
"","4. Di okpə wuri ɛnyimi yɛku nə di okpə wochi ɛnyimi ənə ebərə eemu. Ŋgə wuchɛchini, wotsəbhə osu abu otə kamuru mɛbhinjyanə nə kusu.",,
"","5. Mu, wɔnə uji ɔhə kə oŋgulu ənə ôkishi kɔyu mamu ôkpishi ɛkpishi kɔfughə ɔbu ubhiŋgiri. ",,
"","6. Wutotumuŋə ɔbu ɔhə kə mɔŋgulu. Wupinyini mɔŋgulu otə kə esəŋgə ɔbu mə wupinyini okpə mɔŋgulu otə kə ɛyəbhə ɔdzu.",,
"","7. Wutamu ɔŋguŋə ɛvyotə kitu.",,
"","8. Wutɔwuŋgu obughuŋə.",,
