source,translated,question,answer
"Узнай о коронавирусе","Coronavirus em i wanem samting?",,
"","",,
"Адаптировано из оригинального экземпляра книги «Узнай о коронавирусе, книжка-раскраска» Детской исследовательской больницы Св. Иуды макет электронной книги: Образование для жизни SIL PNG","",,
"SIL LEAD","",,
"Дарья Давидовская","",,
"Адаптировано из оригинального экземпляра книги «Узнай о коронавирусе, книжка-раскраска» Детской исследовательской больницы Св. Иуды https://to together.stjude.org ","",,
"","",,
"Возможно вы слышали о разговорах о коронавирусе. Коронавирус —  это тип вируса, который может заставить вас заболеть.","",,
"Многие называют меня  COVID-19. Это болезнь, которую я вызываю.COVID-19 - это сокращение болезни коронавируса. ","",,
"Коронавирус - это громкое слово. А вы знали, что корона означает королевскую корону? Если посмотреть на коронавирус под микроскопом, часть вируса выглядит как корона.","",,
"Люди по всему миру заболели, потому что коронавирус передается от человека к человеку.","",,
"Коронавирус может передаваться через воздух во время кашля или чихания. ﻿Вирус также передается, если он был на руках или дверных ручках. По этой причине многие носят маски и перчатки.","",,
"Если люди заболевают коронавирусом, то у них может быть высокая температура, слабость, кашель, боль в горле или затрудненное дыхание.  Большинство людей переживают слабую форму болезни и БЫСТРО ВЫЗДОРАВЛИВАЮТ.  Вирус ощущается как простуда или грипп.","",,
"Многие люди очень стараются, чтобы все люди оставались ЗДОРОВЫМИ. Правительства и работники в сфере здравоохранения делают все возможное, чтобы победить коронавирус. Они подготавливают места для заботы о людях, если они заболеют. Есть вещи, которые нам рекомендовано делать, чтобы не заразиться коронавирусом и не распространять его. Если мы будем следовать этим советам, то мы сможем защитить себя и других от коронавируса.","",,
"Очень важно РЕГУЛЯРНО МЫТЬ РУКИ!","",,
"","",,
"Когда вы моете руки с мылом, то коронавирус смывается!","",,
"-Мойте руки перед тем как вы дотронетесь до лица, глаз, рта или носа. -Мойте руки перед едой. ﻿-Мойте руки после посещения общественных мест. -Мойте руки после туалета.","",,
