source,translated,question,answer
"What you need to know about the CORONAVIRUS or COVID-19","Buand ubuɔ́ nugódienú áneé nulɛns gá nsíŋ KƆLƆNA ugunya ana KƆFÍD-19",,
"","",,
"","Gimbi giá Kamalún giá gununenye yubu ya Uhaluá na huínyihuínye",,
"","",,
"","",,
"","",,
"                    SUMMARY","                                        Nigisa",,
"- Coronavirus  - Vulnerable people - Symptoms - Transmission of coronavirus - How to protect yourself - What to do in case of contamination? - Definition of some difficult words ","-  Nsíŋ Kɔlɔna - Bubandɔ ɔbɔɔ́ búgimbeneé - Menúmesie - Gusilanɛn guá kɔlɔna - Naánanya anyaá wa bígéŋ? - Naánanya anyaá wa gual búmasilɛn? - Gudambuna guá bimans biá gulal",,
"p.2 p.3 p.4 p.5 p.6 p.7   p.8","p.2 p.3 p.4 p.5 p.6 p.7 p.8",,
"Coronavirus, also known as COVID-19, is a new virus. It was first reported in China on 31 December 2019. It has flu-like symptoms and can cause death in some severe cases. It is widespread in many countries around the world. The origin of the disease is not yet known.","Nsíŋ Kɔlɔna uyɔɔ́ bɔ́ndɔdɔ́ŋɔ́naá áneé kɔfíd-19, búnyɛ giŋɔsía giá nśŋ. Umahám gisiosio uguá gidɔŋ giá Sín uguá ohóli huá Mesegeyembé buɔ́sɛ 31 uguá nnyɔ́m 2019. Ugódi menumesie még mpónyeé na má giheŋ giá duún, gúu búɔ́nɔnɔɔ́ mɔndɔ uguá ginɛŋ igiɛ́ búseyebídie. Weémenesegidinye uguá giod giá bidɔŋ biá guísi gidigid. Bámanyɛ bá dilɛns niólin niá manúma maáguɔ́.",,
"Elderly person","Bilun biá bandɔ",,
"Person with a heart condition or disease","Mɔndɔ unúmanɔ́ manúma má ɔdɛ́m ugunya ana manúma mómodi.",,
"Vulnerable people People of all ages can become infected with this new virus. The elderly and people with pre-existing conditions (such as asthma, diabetes, heart disease, high blood pressure) seem more likely to become seriously ill from this virus.","Bubandɔ ɔbɔɔ́ búgimbeneé  Giŋɔnsia giá nsiŋ igigányɛ gínyɛ gíébíŋin uguá dunam gidigid duá bandɔ.  Bilun biá bandɔ anda na bandɔ abánúmanɔ́ bunyɛ menúmesie (hana manúma má hédúme, manúma má abal, manúma má ɔdɛ́m,  manúma má buanana) bányɛ mɔdɔg na gueleé nsíŋ igímbin bɔ́.",,
"Fever Fatigue","Nuɔ́l gubuliganɛn Gidɔga",,
"Dry cough Muscle aches and pains","Gigasuna giá gula Gimens",,
"Symptoms The symptoms of a coronavirus infection are similar to those of the flu: fever, dry cough, muscle aches, fatigue. Some patients have pain, nasal congestion, runny nose, sore throat, or diarrhea. Some people, although infected, have no symptoms and feel fine. Most people recover without needing any special treatment.","Menúmesie  Menúmesie má budamba buá kɔlɔna mányɛ mpónye na nuɔ́l gubuliganɛn, giheŋ giá duún,  manúma má hédúme, manúma má abal, manúma má ɔdɛ́m,  manúma má buanana, bómodi ohún  húhuha  ugelu húgudan  ugunya ana gusilɔn, giod  giá bandɔ gímodi igígódienu manúma gídiabídada bumenúmesie ubugányɛ bábiaánan huehuényɛ. Gidám giá bandɔ gímodi gínyɛ hɔ́ igíɔ́ndúganaá kanda bílɔnda.  ",,
"Person with a cough","Mɔndɔ ugásúnanɔ́",,
"Transmission of coronavirus COVID-19 is transmitted by people carrying the virus. When a sick person coughs or sneezes, they expel droplets through their nose or mouth. If a person breathes in these droplets, they can become infected with the coronavirus. If a person touches an object infected with these droplets and then touches their eyes, nose or mouth, they can also become infected.","Gisilinye giá  nsíŋ Kɔlɔna   Bandɔ abáganyɛ na kɔfíd-19 bɔ́besilinínyé bɔsɔ́gá, uguá ginɛŋ igiɛ́ mɔndɔ  unúmanɔ́ usagásɔn ugunya ana ugésén wehémenye biída na biɔŋ uguá ohún ugunya ana uguá niíd. Mɔndɔ uméhelumid wond  umɛn biɔ́ŋ biá mɔndɔ unumanɔ́, manúma mányɛ másilɛn yɔ́. Mɔndɔ umɔ́bígɔdɛn buand ubuɔ́ budamba búságilimɛn guɔ wond ubíníŋisid niís, ubíbígɔdɛn ohún ugunya ana niíd budamba búnyɛ búásilɛn yɔ́.",,
"How to protect yourself","Naánanya dínya díábígén?",,
"1. Avoid touching eyes, nose, mouth.","1.  Edibísigile eŋís, ɔdibíbigɔ́dɔn ohún na niíd.",,
"2. Wash your hands frequently with soap and running water. Then dry them with a clean towel.","2. Abísuga imbɔ́g bisigɛl gidigid na mimbi amáhúhanɔ́ na onsóg. Egélém obíhóne imbɔ́g na ndifɔn ya budányɛ.",,
"3. Cough and sneeze into the crook of your arm. ","3. Gá gésen na gásɔn ebígindigin niíd na ohún.",,
"4. Avoid eating raw meat and touching live animals.","4. Adinyá bulɔg ubugɔs, odibígɔ́dɔn manyam ɔmogɔ́s.",,
"5. Keep at least one meter away from a person who is cou- ghing or sneezing. ","5. Núbísénselenye  na mɔndɔ ugasúnanɔ́ ugunya ana ugeseneneé.",,
"6. Avoid shaking hands. Greet each other with a nod or a verbal greeting.","6. Núdibígeligélinye  na imbɔ́g, nubígéligelinye na logoninye ɔduá ugunya ana na niíd.",,
"7. Avoid gatherings. ","7. Nubídedinyena bigɔs.",,
"8. Restrict movement.","8. Nudidanabá. ",,
"9. Keep informed and verify the source of information.","9. Nuóhon nsɔ́m nuond nulinsan hɔɔ́m agaá síólonineé. ",,
"What to do in case of contamination? If you have symptoms: - Avoid contact with other people. - Stay at home. - Call 1510 and follow the doctor's instructions. Other possible numbers:","Aál naananya uguágisigɛl igiɛ́ búsasilɛn?  Nugányɛ na menúmesie: - Ebídedinye gugiga na bɔsɔ́gá. - Ebígigan agáhɔ gá nihía. - Ɔdɔ́ŋɛn  uguá ilɔŋ ɔhɛ́n huá ginɔgɛn 1510 ond ɔbídɔ́ligɔnɔn ubuɔ́ bɔ́gɔguɔyɔnaá. Ihɛ́n siá bolondi bómodi isɛɛ:",,
"699 279 622 675 308 373 698 423 929 655 728 884 670 713 979","699 279 622 675 308 373 698 423 929 655 728 884 670 713 979",,
"699 933 725 677 429 357 699 986 740 676 466 797 670 113 761","699 933 725 677 429 357 699 986 740 676 466 797 670 113 761",,
"To date, there is no cure for COVID-19, but authorities are continuing research to find a suitable treatment. Everyone must be responsible and take the right steps to protect themselves and those around them.","Guesieg uguá buɔ́sɛ hínen buányɛ búmanyɛ búdianeg ubúnya búóguóndugie Kɔfíd -19 gɔgaa, bandɔ bá ihiligine bámanyɛ gá guídan na busió gá guamba buányɛ ubunya búóguóndugonye manúma. Sig mɔndɔ ugódi áneé ugɔ́l gisigɛl gá gimbe binɔ́g biá bilɔŋ ibiɛ gá gueleé díbídedinye diond dídenye bagásɔ.",,
"Definition of some difficult words  Asthma: chronic lung disorder Contamination: infection Diabetes: disease that occurs when the body can't use glucose normally Flu: cough, influenza Infected: affected, touched Infection: disease Instructions: direction, information Patient: person under health care Pre-existing conditions: long-term disease Runny nose: excess nasal drainage Symptoms: signs of illness Treatment: cure, medication Virus: disease agent Vulnerable: defenseless, exposed","Gusaluna guá bimans  Anúmanuma: mɔndɔ uyɔɔ́ gunúma guseménegimbin Buanana: gubúligan guá gidɔnd uguá manɔ́ŋ Budamba: manúma emégimbeneé giod giá bandɔ ɔlɔŋ húmomi Giheŋ: gihe:n giá gulal Giheŋ giá duún: ohún guhúha Gilɛns: ihiligine, gudóŋ,inye bugaga Gilɔnda: buanyɛ ubúɔ́nɔnɔ́ nsíŋ Giɔmɔ́k: mɔndɔ uyɔɔ́ manúma máseménegimbin Gusilinye: gugɔ́l manúma Manúma má abal: manúma má ambal giod uguá manɔ́ŋ Manúma má ɔdɛ́m: manúma má ɔdɛ́m gubebin Menumésie: gilɛns igiɛ́ manúma médiyenye Mohóhidie : bugué Nsualál: gulal gá guóndugie ",,
"","",,
