source,translated,question,answer
"Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19","Jani owa o wɛli li ijowa litɛngɛnɛ ene nyambɛ e wɛlɛwɛkɛ Corona virus tɔ Covid 19",,
"","",,
"","Cameroon Association for Bible Translation and Literacy",,
"","",,
"","",,
"","                   JANI OWA O WƐLI ",,
"","- Corona virus - Ene nyambɛ - Wembaneli - Wato wa ma fayeya ene nyambɛ - Nɔ o wɛli li a kenjeya owa iti? - Jani owa o wɛli li wola wɛnitɛ o lɛmbeli",,
"","p.2 p.3 p.4 p.5 p.6 p.8 ",,
"","Corona virus  Ene nyambɛ, Corona virus ya I ijowawi fɛ na Covid 19, e eyɔ si nyambɛ fenya. E ma toma li owawa o ekome ya China o welu 31 la ngɔndɛ ya Likoko lisalɛ o momwa mwa 2019. E wɛli wewoteli na, mawɔmbɔ, si e owɛnɛkɛ wɛnitɛ e leti. Ene nyambɛ e kanjeli o eha wekome ya e se. Wefayeleli weya ene nyambɛ wesi ijowawi.",,
"","Munani",,
"","Munani na nyambɛ o ndongo",,
"","Ene nyambɛ  Ene nyambɛ fenya e lɛmbɛkɛ wato wa memba meyasɛ. Miyunani ma me okakɛ wokɛlɛ, nyambɛ ya mokɔnɔ mo a makoko, mosiyo o ndongo tɔ macha ma agbakɛ wa ɛnɛkeya li lɛmbeya ene nyambɛ kasikasi.",,
"","-Mowonji -Li ɔ̌tɔ",,
"","-Ekɔseli e sa fumaka ekɔwɛ, wokangi o nyamanyama na wowali",,
"","Wembaneli  Wembaneli weya ene nyambɛ, Corona virus we a ɛkɛnɛkɛ ya ngɔ, mowonji, ekɔseli e sa fumaka ekɔwɛ, wokangi o nyamanyama na, li ɔ̌tɔ. Wato wa wa okakɛ ene nyambɛ, wɔkɔkɔ wa wekaka wowali, mefeke me umbi, mefeke me ɔndɔkɔ mawɔmbɔ, wokangi o kingo tɔ liwunga la linya. Wato wɔkɔkɔ eke wa lɛmbeya, wa sa wekaka weni wembaneli ndenga wa wɛkɛ gbamu. Wato sayi sayi wa salaka ya wa sa tunawi.",,
"","Moto na ekɔseli",,
"","Wato wa ma fayeya ene nyambɛ  Corona virus, Covid 19 si wa e a akakɛlɛ. Wɛnitɛ mokěli a kɔseli tɔ a asimɛ, imbumbu ya enge nyambɛ I fumakeya o mofeke  tɔ o wana. Wɛnitɛ moto a siwo o ekili  ya ini mbumbu I eyɔ, a ko lɛmbeya ene nyambɛ. Wɛnitɛ moto a siki yala ya e ma lɛmbɛ ini mbumbu, si a sika misɔ, mofeke tɔ e wana, a ko lɛmbeya ene nyambɛ. ",,
"","Nɔ o wɛli li a kenjeya owa iti?",,
"","1. Jɛlɛ li sika misɔ mawɛ, mofeke na e wana.",,
"","2. A atuwanaka e sɔfi o ituwa fonda tɛ ndenga o ma singuwanake  mbɔmi.",,
"","3. Wanda e wana na liwunga la ikɔkisa wɛnitɛ o kɔsɔkeya tɔ o asimɛkɛ.",,
"","4. O sa laka nyama fenya ndenga o jɛlɛ li sika welembe.",,
"","5. Lika foka ya ekawa yɔkɔ na moto wa a kɔsɔkeya tɔ wa a asimɛkɛ. ",,
"","6. Jɛlɛ li watɛ. Lo a kɔmɔne na li ɔndɛlɛ la molofo tɔ na e wana. ",,
"","7. Lo jɛlɛ li a sɛngɛnɛ.",,
"","8. Lo jɛlɛ lo kɛndɛ. ",,
"","9. Lo wɛ li wekalana meyɛndi ndenga lo ijowe mwili menge meyɛndi me ɔmɔkeya.",,
"","Jani owa o wɛli li wola wɛnitɛ o lɛmbeli.  Wɛnitɛ o wɛli wembaneli weya wewoteli weya ene nyambɛ: -         Jɛlɛ li kombɛnɛ wafɛfɛ wato. -         Ja o ndawo. -         Kumba 1510 si o fale malewa ma nganga. -         Mefɛfɛ mesɔngi o kanɛ li kumba me eyɔ si:",,
"","699 279 622 675 308 373 698 423 929 655 728 884 670 713 979",,
"","699 933 725 677 429 357 699 986 740 676 466 797 670 113 761",,
"","",,
"","Natɛ̌ jɔni, o sa enje etuna ya ene nyambɛ Covid 19, si wanɛnɛ wa elanaka wesɔleli ya li kusa etuna ya e ko kanɛ ene nyambɛ o woso. Moto tɛ a wɛli li kenja na li wola wewoleli ya gbamu li a kenjeya. Si li kenjeya lifɛ wanga wato wa wa mo alomɛnɛ. Ene nyambɛ, Corona virus ya I ijowawi fɛ na Covid 19, e eyɔ si nyambɛ fenya. E ma toma li owawa o ekome ya China o welu 31 la ngɔndɛ ya Likoko lisalɛ o momwa mwa 2019. E wɛli wewoteli na, mawɔmbɔ, si e owɛnɛkɛ wɛnitɛ e leti. Ene nyambɛ e kanjeli o cha wekome ya e se. Wefayeleli weya ene nyambɛ wesi ijowawi. ",,
"","",,
"Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19    Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19                                                               ","Jani owa o wɛli li ijowa litɛngɛnɛ ene nyambɛ e wɛlɛwɛkɛ Corona virus tɔ Covid 19  Cameroon Association for Bible Translation and Literacy  Jani owa o wɛli li ijowa litɛngɛnɛ ene nyambɛ e wɛlɛwɛkɛ Corona virus tɔ Covid 19                          JANI OWA O WƐLI  - Corona virus - Ene nyambɛ - Wembaneli - Wato wa ma fayeya ene nyambɛ - Nɔ o wɛli li a kenjeya owa iti? - Jani owa o wɛli li wola wɛnitɛ o lɛmbeli    p.2 p.3 p.4 p.5 p.6 p.8  Corona virus  Ene nyambɛ, Corona virus ya I ijowawi fɛ na Covid 19, e eyɔ si nyambɛ fenya. E ma toma li owawa o ekome ya China o welu 31 la ngɔndɛ ya Likoko lisalɛ o momwa mwa 2019. E wɛli wewoteli na, mawɔmbɔ, si e owɛnɛkɛ wɛnitɛ e leti. Ene nyambɛ e kanjeli o eha wekome ya e se. Wefayeleli weya ene nyambɛ wesi ijowawi.   Munani  Munani na nyambɛ o ndongo Ene nyambɛ  Ene nyambɛ fenya e lɛmbɛkɛ wato wa memba meyasɛ. Miyunani ma me okakɛ wokɛlɛ, nyambɛ ya mokɔnɔ mo a makoko, mosiyo o ndongo tɔ macha ma agbakɛ wa ɛnɛkeya li lɛmbeya ene nyambɛ kasikasi.   -Mowonji -Li ɔ̌tɔ  -Ekɔseli e sa fumaka ekɔwɛ, wokangi o nyamanyama na wowali Wembaneli  Wembaneli weya ene nyambɛ, Corona virus we a ɛkɛnɛkɛ ya ngɔ, mowonji, ekɔseli e sa fumaka ekɔwɛ, wokangi o nyamanyama na, li ɔ̌tɔ. Wato wa wa okakɛ ene nyambɛ, wɔkɔkɔ wa wekaka wowali, mefeke me umbi, mefeke me ɔndɔkɔ mawɔmbɔ, wokangi o kingo tɔ liwunga la linya. Wato wɔkɔkɔ eke wa lɛmbeya, wa sa wekaka weni wembaneli ndenga wa wɛkɛ gbamu. Wato sayi sayi wa salaka ya wa sa tunawi.  Moto na ekɔseli Wato wa ma fayeya ene nyambɛ  Corona virus, Covid 19 si wa e a akakɛlɛ. Wɛnitɛ mokěli a kɔseli tɔ a asimɛ, imbumbu ya enge nyambɛ I fumakeya o mofeke  tɔ o wana. Wɛnitɛ moto a siwo o ekili  ya ini mbumbu I eyɔ, a ko lɛmbeya ene nyambɛ. Wɛnitɛ moto a siki yala ya e ma lɛmbɛ ini mbumbu, si a sika misɔ, mofeke tɔ e wana, a ko lɛmbeya ene nyambɛ.      Nɔ o wɛli li a kenjeya owa iti? 1. Jɛlɛ li sika misɔ mawɛ, mofeke na e wana.  2. A atuwanaka e sɔfi o ituwa fonda tɛ ndenga o ma singuwanake  mbɔmi.  3. Wanda e wana na liwunga la ikɔkisa wɛnitɛ o kɔsɔkeya tɔ o asimɛkɛ.  4. O sa laka nyama fenya ndenga o jɛlɛ li sika welembe.     5. Lika foka ya ekawa yɔkɔ na moto wa a kɔsɔkeya tɔ wa a asimɛkɛ.   6. Jɛlɛ li watɛ. Lo a kɔmɔne na li ɔndɛlɛ la molofo tɔ na e wana.   7. Lo jɛlɛ li a sɛngɛnɛ.  8. Lo jɛlɛ lo kɛndɛ.   9. Lo wɛ li wekalana meyɛndi ndenga lo ijowe mwili menge meyɛndi me ɔmɔkeya. Jani owa o wɛli li wola wɛnitɛ o lɛmbeli.  Wɛnitɛ o wɛli wembaneli weya wewoteli weya ene nyambɛ: -         Jɛlɛ li kombɛnɛ wafɛfɛ wato. -         Ja o ndawo. -         Kumba 1510 si o fale malewa ma nganga. -         Mefɛfɛ mesɔngi o kanɛ li kumba me eyɔ si:  699 279 622 675 308 373 698 423 929 655 728 884 670 713 979  699 933 725 677 429 357 699 986 740 676 466 797 670 113 761   Natɛ̌ jɔni, o sa enje etuna ya ene nyambɛ Covid 19, si wanɛnɛ wa elanaka wesɔleli ya li kusa etuna ya e ko kanɛ ene nyambɛ o woso. Moto tɛ a wɛli li kenja na li wola wewoleli ya gbamu li a kenjeya. Si li kenjeya lifɛ wanga wato wa wa mo alomɛnɛ. Ene nyambɛ, Corona virus ya I ijowawi fɛ na Covid 19, e eyɔ si nyambɛ fenya. E ma toma li owawa o ekome ya China o welu 31 la ngɔndɛ ya Likoko lisalɛ o momwa mwa 2019. E wɛli wewoteli na, mawɔmbɔ, si e owɛnɛkɛ wɛnitɛ e leti. Ene nyambɛ e kanjeli o cha wekome ya e se. Wefayeleli weya ene nyambɛ wesi ijowawi.   ",,
