source,translated,question,answer
"¿Cómo ayudar a un miembro de la familia con COVID-19?","",,
"","",,
"","LENGUA DE SEÑAS COLOMBIANA: SEBASTIAN NUÑEZ FILAMACIÓN: KELLY ROJAS ILUSTRADORAS: SANDRA LÓPEZ Y KELLY ROJAS EDITOR Y SUBTITULACIÓN: SEBASTIAN NUÑEZ Y KELLY ROJAS ASESORA: PATTI JONES ",,
"","ASOCIACIÓN CRISTIANA MANOS EN ACCIÓN",,
"","ASOCIACIÓN CRISATIANA MANOS EN ACCIÓN",,
" ¿Cómo ayudar a un miembro de la familia con COVID-19?","",,
"Quédese en su casa.","",,
"Para recibir atención médica puede tener una vista virtual con el doctor o con  telemedicina.","",,
"La familia y los amigos pueden compartir tiempo y haga actividades con la persona enferma por medios virtuales o video llamadas asi se mantendrá de buen ámino.","",,
"Prepare comida para el enfermo.","",,
"Ofrézcale agua para mantenerle hidratado.","",,
"Lávese las manos con frecuencia y mantenga la ropa de la persona enferma limpia.","",,
"Si necesita comprar medicamentos, pida un servicio a domicilio.","",,
"Sea responsable con el autocuidado y el de los demás.","",,
"Todos los miembros de la familia deben cuidar de su propia salud.","",,
"En una dieta balanceada y nutritiva no pueden faltar las frutas y las verduras pues contribuyen a la buena salud.","",,
"Esté atento a los signos de alarma, como la fiebre alta.","",,
"Abra la ventana para aumentar la circulación de aire.","",,
"Limitar sus contactos con otros.","",,
"¿Cómo ayudar a un miembro de la familia con COVID-19?    ¿Cómo ayudar a un miembro de la familia con COVID-19?       ¿Cómo ayudar a un miembro de la familia con COVID-19? Quédese en su casa. Para recibir atención médica puede tener una vista virtual con el doctor o con  telemedicina. La familia y los amigos pueden compartir tiempo y haga actividades con la persona enferma por medios virtuales o video llamadas asi se mantendrá de buen ámino. Prepare comida para el enfermo. Ofrézcale agua para mantenerle hidratado. Lávese las manos con frecuencia y mantenga la ropa de la persona enferma limpia. Si necesita comprar medicamentos, pida un servicio a domicilio. Sea responsable con el autocuidado y el de los demás. Todos los miembros de la familia deben cuidar de su propia salud. En una dieta balanceada y nutritiva no pueden faltar las frutas y las verduras pues contribuyen a la buena salud. Esté atento a los signos de alarma, como la fiebre alta. Abra la ventana para aumentar la circulación de aire. Limitar sus contactos con otros.  ","     LENGUA DE SEÑAS COLOMBIANA: SEBASTIAN NUÑEZ FILAMACIÓN: KELLY ROJAS ILUSTRADORAS: SANDRA LÓPEZ Y KELLY ROJAS EDITOR Y SUBTITULACIÓN: SEBASTIAN NUÑEZ Y KELLY ROJAS ASESORA: PATTI JONES   ASOCIACIÓN CRISTIANA MANOS EN ACCIÓN ASOCIACIÓN CRISATIANA MANOS EN ACCIÓN                 ",,
