source,translated,question,answer
"Kuhusu bhirusi bhya Kud’a","About Coronavirus",,
"","",,
"Translated by Fatuma Ali","",,
"Kuna jai mooza ipeeka upejikeene kui’elewa kuhusu aka bhirusi bhya kud’a","There's only ONE thing ﻿you need to understand about how a coronavirus",,
"KU’ENEE","SPREADS",,
"Kanweeni","Mouth",,
"Bûleeni","Nose",,
"Machooni","Eyes",,
"yakakupacha","Get into your",,
"Mûûdû anaa jinna fai","Healthy Person",,
"Mûûdû moroghoti","Sick Person",,
"Bhirusi bhika’enea guya mata yakut’innik’île","The virus spreads when ﻿these droplets",,
"Kaag hatua. Mita 2 ikud’uuna kukweeka usalaama na mata/ikololo yat’innkie.","Keep your distance.﻿2m to 0.5m will keep you safe from large droplets.",,
"1","1",,
"ûzî","2m-0.5m",,
"Hat’isoo!","Achoo!",,
"Kwa aka iyyo guya oone mûûdû akokololee/hat’iseeni","So if you see someone who is visibly coughing/sneezing/sick you can choose to:",,
"Wanyiige kyiizi.  Wakokololela dhini ama kuhat’isîza dhini na wakiinge waalya chwee waa bira yaao","Give them a mask.﻿They can cough or sneeze in it and protects everyone else nearby",,
"2","2",,
"Ni asanta *Shub’a uvunîka*","Thank you﻿*sniffles*",,
"Ama","OR,",,
"Anaafi daa moroghoti, nijai akukingee mîîlî","Maybe she's not sick, just protecting herself",,
"Waad waalya wa’ambukizizwe wakud’una kochowa konyisa d’alili, amû yiite wanaa maambukizi","People who are infected can show no symptoms, but are still﻿infectious",,
"Na kwa uj’umula, ni fai kukaagî kla na ummati wa waadû, maana da’ukud’uuna kumanya katî kaao ni ani yûû moroghoti.","And in general, it's a good idea to avoid crowds, because you don't know who might be sick.",,
"Bhipod’ozi","chopsticks",,
"Mûûdû anaa jinna fai","Healthy person",,
"Masîîrimo za tireni","Train straps",,
"Bhifuungo bhya kûchîza izûlû","Lift buttons",,
"Tishu","Tissues",,
"Bhikombe","Cups",,
"Bhifaa bhya dijitali","Digital devices",,
"Na hata na b’atiini ya oso wa  kyiizi kyewwe","& even on the outside of your face mask",,
"Mab’ango ya staa","Stair bannisters",,
"Banya","Mouse",,
"Kalamu","Pens",,
"Kichapi kya babala","Door knobs",,
"Mikono yaao","Their hands",,
"J’apokuwa wakati ûgî mataa mûûdû moroghoti yakud’uuna kut’innik’îla biyya zîgî…","However, sometimes a sick person's saliva can get on other things…",,
"anyî chwee mukud’uuna kulwaala","you might all fall sick.",,
"ama oswaa mud’ala ywewwe","or your loved one's face",,
"ukashukuma macho","rub eyes",,
"Na guya udhaabhi b’llaa kutarazia b’aadhyaa sehemu îzi, na kisaana ukadhaabha oso wewwe,","And if you do touch any of these things by accident, and then touch your face,",,
"Na gîla mooza muhimu hamu ya kuwamala ni kwa koosa na kuwacheeja na sab’uni, jiiki, ama boorte.","and the only effective way to get rid of them is to wash them off with soap, bleach, or alcohol.",,
"Bhirusi nijai bhikakaagî hubhîîni kwa mud’aa masa’a bhit’ook’o","Viruses can last for quite a few hours on objects,",,
"Sab’uni","soap",,
"Tahadhari","precautions",,
"Dûû manaa yûû muhimu kweera aya","Which is why it is also good to follow these",,
"Osa na sab’uni mupakaa apo","wash with soap up to here",,
"Chik’ilî","elbow",,
"Manya usaadhaabha oso wewwe. (ama oso wa mûûdû ûgî.) Guya yaakukub’idhi, osa nguzi mikono yewwe aka fai na sab’uni.","Do not touch your face. (Or anyone else's face.) If you have to, wash your hands with soap thoroughly first.",,
"Mud’a mufai wa koghoona ubhinaa ‘Sikwaa kubhyaalîka’ mara bîlî.","Enough time to sing “Happy Birthday” twice",,
"Gobera mibeeni","under the nails",,
"Kwa mud’aa sekunde 20","for 20 seconds",,
"Kaarha za nyalimo","between the fingers",,
"Osa nyumaa mikono yewwe","wash the back of your hands",,
"Kusafisa hamu ikama’nisha jîîza?","What is thoroughly?",,
"Guya ugheghezie aka iyyo, uswiite na wasiwasi. Ukisaana osa mikono yewwe na sab’uni.","If you did, don't worry. Just wash your hands with soap after.",,
"Manya usaadhaabha kyiizi ikyo na b’atiini.","Also, don't touch the outside of the mask if you can.",,
"Mata/ikololo","droplets",,
"*Bakiteria nijai zika’enea kyiizi ikyo dhini guya ukifaazie kyiizi ikyo kwa mud’a mulaila","*Bacteria grows on the insides of your mask if you wear them too long",,
"Llacha kyiizi guya oone kit’uraawie. Manya usaakufaala kyiizi ikyo zaid’yaa siku mooza!","Throw away masks once they feel gross. Don't wear them for more than a day!",,
"Tumia mok’aa kupakua bhiitû","Use a serving spoon",,
"D’aana","Baby",,
"Baaba","Daddy",,
"Aaî","Mommy",,
"Killaa mûûdû ipejikeene akwiita na taulwaa koowa yeyye mweenye.","Everyone gets their own towel",,
"Manya musaakulubhana ama kutumika wali bhiitû, hubhî, bhikombe, taulu.","Do not share food, utensils, cups, towels.",,
"Maana da’ud’uuna udhaabhe oso wewwe na chik’ilî hata guya uwakud’eema","You can't touch your face with your elbow even if you tried",,
"Guya iwakud’unikana arhûlla na ufuuge babala ikiwa utumikee ch’ik’ilî yewwe ama ifuzi lyewwe bad’ilyaa kutumika mokono wewwe.","Open & close doors with your elbows or shoulders instead of hands, if possible.",,
"Muzîni","Home",,
"Na hata ba’ad’a kwiita b’atiini na wadûû","and after being out in the public",,
"Kab’ullaa usaakûlya bhiitû","Before you eat",,
"Osa mikono yewwe na maazî na sab’uni killaa wakati…","Always wash your hands with soap…",,
"Na mwiisho","And finally,",,
"Killaa mûûdû na akaagî  na usalaama!  ","Stay safe, everyone!",,
"Soma nakala îyî ud’ak’abhe kumanya udhiina","Read the articles for more tips!",,
"“This animation shows how far your sneeze can actually travel” by Chia Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020) ",""This animation shows how far your sneeze can actually travel" by Chia Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020)",,
"“The Wuhan Virus: How to stay safe”, by Laurie Garrett, in Foreign policy, Report.  (Jan 25, 2020) ",""The Wuhan Virus: How to stay safe", by Laurie Garrett, in Foreign Policy, Report. (Jan 25, 2020)",,
