source,translated,question,answer
"Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19","Kinyo ke à kér fó kiíy kùm yàsí woo Sòv Njoŋ-19",,
"","",,
"","Cameroon Association for Bible Translation and Literacy",,
"","",,
"","",,
"","                        VITÚ VE VINYÒ ",,
"","- Sòv Njoŋ - Wír ve kév kí yòʼ dzəə̀n - Vifiʼìr - Mo dzə̀ sòv njoŋ tùmsín - Mo dzə̀ à kìŋsìn kitú ké - A yàsí və̀n koò ne wò, a yèe?  ",,
"","p.2 p.3 p.4 p.5 p.6 p.8 ",,
"","Sòv Njoŋ  Sòv njoŋ, wo bàraʼ kfə̀n yoŋ sa jii, COVID-19 və̀n dzə̀ yásí, a bó wù yòʼ-oò sì. Vé-eè tòmbìy, e yù léŋ yàsí və̀n, a dzə̀ fó Càáyínà, kishiíy 31 fo ŋwee Ntinèn Saàr, e kiya kee 2019. Vifíʼìr vé yàsí və̀n vi dzə̀ kishwimnèn kee fìn yúy, é yí wáa shaà, é kinjàʼ ki shúr, é wúne wáa nyar, a wèŋrì wèŋrìn. Yàsí və̀n túy sóŋ e wìr wùn, laá wáa yen, bo kù sì kpú.Yàsí və̀n ram vitúm vidzə̀m e kitu ke nsay. Bó á yóʼ ne kìíy fo wù loòn gheéy.",,
"","Wír woo ŋgàywìr",,
"","Wír wo wù kér yàsí woo kùm shilív",,
"","Wír ve kév kí yòʼ dzəə̀n  Yàsí wo fíy və̀n kù koó wir dzə̀m, a ŋgàywìr, à wánlè. Wù koó ŋgày sé wìr, kí fòy fóyin. Kù dzə̀ sá mo kí dzəə̀n fo wìr ve á sí ker nyar símóʼ sí moo, kighiísí ke nsaŋ ki, yàsí woo dàábetìr, yàsí shilìv, e lì yàsí mensə me koʼón mè.",,
"","-Kinjàʼ -Dór",,
"","-Kighiísí ke yumér kí -Wún wo waméné",,
"","Vifiʼìr  Vifiʼìr vé sòv njoŋ vi shwínen vé ayàsí vee moo, kishwimnèn, kinjàʼ, kighiísíi ke yumér kí, à dóri. Sòv njoŋ koó wír ámóʼó, wúné wàa nyar, yúyi wàa fìnèn, vibum vi wàa səy, kilòŋ kí taàm, kìn bvə́me wàa dù. Sòv njoŋ koó ámóʼó vee wír, áwune wàa dzə kév kijuŋ, la vifiʼìr ví yòʼ a dìn. Kùʼùn wìr dzə̀, aá lo, á bònén fó sòv njoŋ, a bó yòʼ dzə̀ wìr kìíy ji sà fèr kfə́ə shìv siné á.",,
"","Wìr wo wù kiísi",,
"","Mo dzə̀ sòv njoŋ tùmsín  Sòv njoŋ-19 dzə̀ yàsí, a wù lo fo wìr wo wù sí kérí, wù tùmsín e wír ámóʼó. Wìr wo wù sí kér yàsí və̀n kiísi, mesásáy me viliì mè fəə̀ fó shuù. Wù shémé, mesásáy me vibùm mè fəə̀ fó yuy. A wìr kùm kifá ke mesásáy mèn mè laʼamen shó e wóo, e kfə̀n lì wó yee shooy, e kùm sí, kìn yúy, à shúu, bo yàsí və̀n tùmsín ne. ",,
"","Mo dzə̀ à kiŋsìn kitú ké",,
"","1. Lá à yòʼ a wàʼrì, a dù e kiwó ki é si, kìn é yuy, ǎ shuù.",,
"","2. Kú a wàʼrì, a sù wó yée e shuvi e mendzə̀v me mè léŋ leŋén, kìn me mè fəə́ fəə́n fo kifa.",,
"","3. À lóo kiisí, kìn à shém shemén, a bvə̀n kóy, e sə̀tí shuu kìn yúy yé sho.",,
