source,translated,question,answer
"Ũwau wa Kolona","About Coronavirus",,
"","",,
"Translated by Ruth Munguti","",,
"","",,
"Ve kĩndu kĩmwe kya vata twaĩle kũelewa ĩũlũ wa ũndũ ũwau wa kolona","",,
"ũkwatanaw'a.","",,
"mũnuka","",,
"many'ũũ","",,
"metho","",,
"malika","",,
"Mũndũ ute mũwau","",,
"mũndũ mũwau","",,
"Kolona ĩkwatanaw'a yĩla mata ma","",,
"Ũngama vaasa: mita ilĩ wĩĩthwa weesiĩĩa kumana na kolona.","",,
"Mita ilĩ","",,
"Akyiũũ","",,
"Woona mũndũ aikooa, kwathimũa kana mũndũ mũwau, nyũva kwĩka atĩĩ:","",,
"Mũnenge kĩkunĩki kya mũnuka kana masiki.  Mũndũ nĩũkooea kana akathimũĩa vo na aisũvĩa andũ ala angĩ.","",,
"kelĩ","",,
"Mũnenge  ĩthangũ ya kwathimũĩa.","",,
"Kana","",,
"Nĩvatonyeka akethwa ate mũwau, lakini ekĩte kwĩĩsiĩĩa.","",,
"Andũ ala mena kolona nĩmatonya kwĩthwa mateonekana me awau, ĩndĩ nĩmatonya ũkwatya andũ angĩ ũwau ũsu. ","",,
"Ndũkathi vala ve andũ aingĩ nũndũ ndwĩsĩ nũũ ũla wĩna kolona.","",,
"Isikonĩ","",,
"Mũndũ ũte mũwau","",,
"Ikwatĩli","",,
"Livutinĩ","",,
"Ĩthangũnĩ ya kyoonĩ","",,
"ikombenĩ","",,
"Simũnĩ, kombyũtanĩ","",,
"Ona nza wa kĩkunĩki kya mũnuka","",,
"Ikwatĩli sya ngolova","",,
"Kw'oko kwa kombyũta","",,
"Tũlamu","",,
"konzinĩ","",,
"Moko moo","",,
"Mata ma mũwau wa kolona nĩmatonya kũkwata syĩndũnĩ ingĩ ta ithi:-","",,
"Inywonthe nĩmũtonya ũkwatwa nĩ kolona.","",,
"Kana ũikwata ũthyũ wa ala me vakuvĩ naku,","",,
"Ũikiitha metho,","",,
"Wakwata syĩndũ ithi kwa vaati nthũku, na ũikwata ũthyũ waku,","",,
"Nzĩa nzeo ya kũmina kolona nĩ kũthamba moko na savunĩ, kana mbinyu ĩla ĩtumĩawa sivitalĩ.","",,
"Kolona nĩtonya kwĩkala masaa maingĩ syĩndũnĩ.","",,
"Savunĩ","",,
"Nĩkyo kĩtumi twaĩle kũatĩĩa nzĩa ithi sya kwĩĩsũvĩa:","",,
"Thamba moko nginya vaa","",,
