source,translated,question,answer
"Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19","Mɨnwe mə́ŋə́ má wu zé mbəʼə CORONAVIROS kə COVID-19",,
"","",,
"","Cameroon Association for Bible Translation and Literacy",,
"","",,
"","",,
"","",,
"                                                  SOMMAIRE","MƗTU MƗ NWE MƏŊƏ MƗ JWI FƏ ŊWAʼLƗ WI",,
"- Coronavirus - Personnes vulnérables - Symptômes - Transmission du coronavirus - Comment se protéger? - Que faire en cas de contamination? - Définition des mots difficiles","- Coronaviros - Bɨgɨ bə́gə́ ma agho wo ayaŋshɨ ɨnkwen fə anu búgú - Ɨliishɨ agho wo - Ndum gwa ma agho wo alemnə wu - Ndum gwa ma wu toʼnɨ nɨ nu yugu wo - Anwe yə́gə́ wu ghə ma wu mbiʼi agho wo",,
"p.2 p.3 p.4 p.5 p.6 p.7 p.8","p.2  p.3 p.4 p.5  p.6  p.8 ",,
"Le coronavirus, aussi appelé COVID-19, est un nouveau virus. Il a été signalé pour la première fois en Chine le 31 décembre 2019. Il a des symptômes semblables à ceux de la grippe et peut entraîner la mort dans certains cas graves. Il est répandu dans de nombreux pays dans le monde entier. L’origine de la maladie n’est pas encore connue.","Coronaviros  Coronaviros,  ma bɨ bənɨ ɨtweŋə nɨ COVID-19 lə́gə́ agho fi. Amí ɨkômɨ lə́gə́ fə China fə ɨjwi mɨgham mɨntye nɨ nchu moʼo fə sháŋ ncho-alum fə alum gwe ma agə chəgə la (2019). Alə́gə́ ɨyə gii nɨ ɨliishɨ ma gə ɨzhwi bɨgɨ bənendɨ. Alə́gə́ mbeʼ ndaŋ gii fə ɨtum nəndɨ fə agii. Bɨ lə́gə́ mbidɨ ndum gwa ma agho yii alem wu ze.",,
"Personne âgée","Bɨdikaŋ bɨ bɨgɨ",,
"Personne cardiaque ou souffrant de maladie","Bɨgɨ bə́gə́ ma bi gho agho ɨtəm",,
"Personnes vulnérables Les personnes de tous âges, y compris les enfants, peuvent être infectées par ce nouveau virus. Les personnes âgées et les personnes souffrant de maladies préexistantes (comme l’asthme, le diabète, les maladies cardiaques, l’hypertension artérielle) semblent plus susceptibles de tomber gravement malades à cause de ce virus.","Bɨgɨ bə́gə́ ma agho wo áyaŋshɨ ɨnkwen fə anu búgú.  Agho yɨ akaŋa lə́gə́ bɨgɨ fə akaŋ ncham. Mbɨ bɨ bɨgɨ bə́gə́ ma bɨ daŋa ɨgho nɨ mɨgho ma, (akwe-ɨtəm, agho fɨngwaŋ, agho ɨtəm nɨ alɨgɨ ma akoʼo) agho wo yɨ a lə́gə́ ɨyə ɨyaŋshɨ ɨngaŋa agwa.",,
"- Fièvre - Fatigue","-Ɨfə́ə́ -Búgú bɨ nɨkoo",,
"- Toux sèche - Douleurs musculaires","-Akwe zhubɨlɨ, -Búgú  ɨnoo nu yúgú ma ɨlwimnɨ yáŋnɨ",,
"Les symptômes Les symptômes d'une infection au coronavirus ressemblent à ceux de la grippe : fièvre, toux sèche, douleurs musculaires, fatigue. Certains patients ont des douleurs, une congestion nasale, un écoulement nasal, des maux de gorge ou une diarrhée. Certaines personnes, bien qu’infectées, ne présentent aucun symptôme et se sentent bien. La plupart des personnes guérissent sans avoir besoin de traitement particulier.","Ɨliishɨ agho wo  Ɨliishɨ Coronaviros jwi, ɨjwi lə́gə́ ma jwi ɨfə́ə́ fɨba, akwe-zhubɨlɨ,  ɨnoo nu yúgú ma ɨyaŋnɨ, nɨ nɨkoo. Bɨgɨ bəshə bɨ gə yuʼ ɨnu yaŋnɨ, ɨgə vee kikaŋ, mɨlwi mɨ gə shwiʼnɨ,  kímtóŋ kə lúʼshɨ agaŋ. Bɨgɨ bəshə bɨ jwi nɨ yɨ aliishɨ daŋ akaʼa ndé. Ɨghaʼa bɨgɨ wo bii  nə bɨ lə́gə́ tən dɨ jɨ afu agho wo.",,
"Personne qui tousse","Ŋwen akwwe",,
"Transmission du coronavirus Le COVID-19 est transmis par des personnes porteuses du virus. Quand un malade tousse ou éternue, il expulse des gouttelettes par le nez ou la bouche. Si une personne respire ces gouttelettes, elle peut être contaminée par le coronavirus. Si une personne touche un objet infecté par ces gouttelettes et si elle se touche ensuite les yeux, le nez ou la bouche, elle peut aussi être contaminée.","Ndum gwa ma agho wo alemnə wu.  COVID-19 lə́gə́ lemshɨ bɨgɨ bə́gə́ ma bɨ mbɨʼɨ agho wo. Ŋwen gwa ma ajwi nɨ yɨ a nə daŋ ɨkwe kə ndzenɨ lə́gə́ bwo bɨ ɨbum kə mɨtwígí mɨ lɨgɨ fə achu yɨ kə fə mɨlwi. Lə́gə́ wu daŋ ɨtəm fə nɨban yɨ ɨvi ɨbum kə mɨtwígí wo ɨkwenshɨ wu biʼi agho wo. Wu lə́gə́ daŋ ɨkumə ayum yə́gə́ ma ɨbum kə mɨtwígí wo mɨ jwi wo ɨgəshɨ ɨkum ɨlee yúgú ke mɨlwi muŋu kə inchu gu búgú wu biʼi agho wo.",,
"Comment se protéger ?","Wii lə́gə́ ndum gwa ma wu toʼnɨ nɨ nu yúgú wu",,
"1. Eviter de se toucher les yeux, le nez, la bouche.","1.     Kaʼa ɨlee yugú kə nɨlwi kə ɨnchu gu nə gə nkumə.",,
"2. Se laver souvent les mains à l'eau courante et au savon. Ensuite les sécher avec une serviette propre.","2.     Shu mbugu muŋu ɨngha nendɨ nɨ nɨki bugu ntse ma ɨkuŋu shwiʼi ɨchɨʼ nɨ achəʼ yə́gə́ ma ŋwaʼa.",,
"3. Tousser et éternuer dans le creux de son bras.","3.     Wu gə ke fə akwe nɨ kə ndzenɨ wu kyɨshɨ nɨkwe yúgú nkendɨ ɨchu gu kə mɨlwi muŋu wu.",,
"4. Eviter de manger de la viande crue et de toucher des animaux vivants.","4.     Kaʼa ɨnoo mbee nə pfe ɨkaʼa mɨnoo nɨ mbúgú múŋú kumə.",,
"5. Garder une distance d'au moins un mètre avec une personne qui tousse ou qui éternue.","5.     Gə ɨtəmə ɨfə́gə́ abaŋ fə mbugu ŋwen gwa akwe kə ndzenɨ. ",,
"6. Eviter de se serrer la main. Se saluer par un signe de tête ou une salutation verbale.","6.     Kaʼa ŋwen nɨ mbúgú nə gə ɨcheʼdə. Cheʼdə ŋwen shə nɨ nchu kə wu mbimdɨ nə atú yúgú.",,
"7. Eviter les rassemblements.","7.     Nɨ kaʼa fə adiʼi moʼo ntsandə ghaʼa.",,
"8. Limiter ses déplacements.","8.     Nɨ gə nwinə fə adiʼi moʼo ɨkaʼa gii.",,
"9. Se tenir informé et vérifier la source de ses informations.","9.     Nɨ gə wiʼdɨ ɨgiʼi jwə́gə́ ma yɨ ɨshenwe mbənɨ ngə ŋwaŋa adiʼi yə́gə́ ma ɨfee wu.",,
"Que faire en cas de contamination ? Si vous présentez des symptômes : - Evitez les contacts avec d'autres personnes. - Restez à domicile. - Appelez le 1510 et suivez les consignes des médecins. Autres numéros possibles :","Anwe Yə́gə́ ma wu ghə ma wu biʼi agho wo Wu lə́gə́ jwi nɨ ɨliishɨ agho wo: - Wu kaʼa nɨban bɨgɨ nə gə ɨgə.  - Wu gə jwi shə ndə́gə́. - Tweŋə Numba wii 1510 ɨgə yuŋnə anwe yə́gə́ ma ɨchuʼu agho ashwíŋí. Kə wu tweŋ  bii:",,
"699 279 622 675 308 373 698 423 929 655 728 884 670 713 979","699 279 622 675 308 373 698 423 929 655 728 884 670 713 979",,
"699 933 725 677 429 357 699 986 740 676 466 797 670 113 761","699 933 725 677 429 357 699 986 740 676 466 797 670 113 761",,
"A ce jour, il n'existe aucun médicament capable de guérir du COVID-19 mais les autorités continuent les recherches pour trouver un traitement adapté. Chacun doit être responsable et adopter les bons gestes pour se protéger et protéger son entourage.","Ɨkoʼ ɨkuʼ afiʼwi afu agho yɨ (COVID-19) alə́gə́ kaʼa jwi, lə́gə́ mɨtú mɨ lə́gə́ ɨyə ɨgənə fə ŋwaŋa afu yə́gə́ bɨ chuʼu agho  wo wu. A jwi lə́gə́ gə ŋwen cham a gə toʼnə nɨ nu ze nɨ ŋwen cham gwa ma ajwi nɨban yɨ. ",,
"Définition des mots difficiles  Asthme : maladie respiratoire chronique Consignes : ordres, recommandations Diabète : maladie qui se caractérise par un taux de sucre trop élevé dans le sang Ecoulement nasal : avoir le nez qui coule Etre contaminé : être atteint par la maladie Grippe : maladie, rhume Hypertension : augmentation anormale de la pression du sang sur la paroi des artères Infecté : atteint par la maladie Infection : maladie, épidémie Patient : malade Persistant : permanent, constant, continu Susceptible : capable, sensible Symptômes : signes, marques de la maladie Traitement : remède, médicaments Virus : agent causant la maladie Vulnérable : faible, à risque","",,
"","",,
