source,translated,question,answer
"Mga Paagi Para Malikawan Ta Paglapta Ta COVID-19","Ways To Avoid The Spread Of COVID-19",,
"","",,
"Melanie B. Fresnillo","",,
"","World Health Organization ",,
"","Translated into Kagayanen by Melanie B. Fresnillo",,
"","Written in Bisaya by Alec P. Estalilla, Northern Mindanao",,
"Dapat pirmi mag-ugas ta imo na lima gamit ta waig daw sabon ta 20 sigundos.","Always wash your hands using water and soap for 20 seconds.",,
"Dili no ibitan imo na sura (labi na gid ta imo na mata, irong, baba daw talinga!)","Don't touch your face (especially your eyes, nose, mouth and ears!)",,
"Magsuksok ka ta mask daw may anen ka masakit.","Wear a mask if you are sick.",,
"Dili no paglipatan limpyuan imo na mga gamit paryo ta cellphone, doorknob ta mga sara, mga lamisaan daw duma pa na paibitan no!","Don't forget to clean your cellphone, doorknobs, tables, etc.",,
"Pabiskegen no imo na risistinsya paagi ta pagkaan ta mga prutas, gulay daw pag-inem ta mga bitamina!","Strengthen your immune system by eating fruits, vegetables and taking vitamins.",,
"Dili ka munta ta mga lugar na may tama na mga ittaw! Magpamadyo ka naan ta mga ittaw mga isya mitro kaadyuon.","Avoid crowds! Keep a distance from people about one meter.",,
"Dili ka pirmi magpalit-palit naan ta mga tindaan ta mga kinanglanen no!","Don't panic buy at the grocery stores!",,
"Pirmi no basaen daw mamati ta mga anunsyo para makalikaw ka ta mga galapta na balita na dili matuod na yon gaatag ta paglanglasang ta tanan.","Always read and listen to updates to avoid fake news intended to create panic.",,
"Mga Paagi Para Malikawan Ta Paglapta Ta COVID-19  Melanie B. Fresnillo  Mga Paagi Para Malikawan Ta Paglapta Ta COVID-19      Dapat pirmi mag-ugas ta imo na lima gamit ta waig daw sabon ta 20 sigundos. Dili no ibitan imo na sura (labi na gid ta imo na mata, irong, baba daw talinga!) Magsuksok ka ta mask daw may anen ka masakit. Dili no paglipatan limpyuan imo na mga gamit paryo ta cellphone, doorknob ta mga sara, mga lamisaan daw duma pa na paibitan no! Pabiskegen no imo na risistinsya paagi ta pagkaan ta mga prutas, gulay daw pag-inem ta mga bitamina! Dili ka munta ta mga lugar na may tama na mga ittaw! Magpamadyo ka naan ta mga ittaw mga isya mitro kaadyuon. Dili ka pirmi magpalit-palit naan ta mga tindaan ta mga kinanglanen no! Pirmi no basaen daw mamati ta mga anunsyo para makalikaw ka ta mga galapta na balita na dili matuod na yon gaatag ta paglanglasang ta tanan.  ","Ways To Avoid The Spread Of COVID-19    Ways To Avoid The Spread Of COVID-19 World Health Organization   Translated into Kagayanen by Melanie B. Fresnillo Written in Bisaya by Alec P. Estalilla, Northern Mindanao  Always wash your hands using water and soap for 20 seconds. Don't touch your face (especially your eyes, nose, mouth and ears!) Wear a mask if you are sick. Don't forget to clean your cellphone, doorknobs, tables, etc. Strengthen your immune system by eating fruits, vegetables and taking vitamins. Avoid crowds! Keep a distance from people about one meter. Don't panic buy at the grocery stores! Always read and listen to updates to avoid fake news intended to create panic.  ",,
