source,translated,question,answer
"Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19","ÀNNÙ A ǸZI ǸLOŊƏ KORONA VIRUS KƏ̀ KOVID-19",,
"","",,
"","Cameroon Association for Bible Translation and Literacy",,
"","",,
"","",,
"","                  A NLWÌʼISƏ ",,
"","- Koronavirus - Bə̀ bìi nɨ̀ghɔɔ̀ nû wàŋsə̀ ǹtwa nɨ waa aà - Ɨ̀lìŋsə̀ - Àjaŋnə nɨ̀ghɔ̀ɔ̀ nu dàŋnə̀ aa - Àjaŋ yìi mbə ò bɛ m̀bɨ̀ɨ̀ nû yu aà - Ànnù yi ghɨrə̀ a noò yìi nɨ̀ghɔ̀ɔ̀ nû tswa mə ghô ",,
"","p.2 p.3 p.4 p.5 p.6  p.8 ",,
"","Koronavirus  Koronavirus, mə bɨ kɨɨ twoŋə nɨ KOVID-19, àa nɨ̀ghɔ̀ɔ̀ ni feè. Ni lɛ mfùù m̀fɛ̀ʼɛ̀ a China a nɨ NJwi mùghûm mitarə̀ ntsù mɔʼɔ̀ a nɨ saŋ kɨrɨsə̀ 2019. ƗꞋ lɨŋsə bə̀ aa tsò ɨjɔ̀ʼɔ̀. Ǹzi nɨ nɨ̀wô Nɨ jàʼarə mə ǹghɛɛ nɨ ntoò toò fàa m̀bî. Kàa à dɨ̀gə̀ yii nɨ̀ghɔ̀ɔ̀ nû ǹlo ghu aà bɨ burə̀ tɨ zî.",,
"","Bɨ̀lɨɨ̀",,
"","Nɨ̀ghɔ̀ɔ̀ nɨ ǹtɨɨ̀",,
"","Bə̀ bìi nɨ̀ghɔɔ̀ nû wàŋsə̀ ǹtwa nɨ waa aà   Bə̀ bɨtsɨ̀m m̀bə bɨ bìʼì nɨ̀ghɔ̀ɔ̀ nî fee ma nû. Bɨ̀ lɨɨ boʼo bə̀  bìi bɨ fuù ǹtswe nɨ mɨ̀ghɔ̀ɔ̀ mìi bɨ sɨ tsuʼu aa tsǒ (àkwɛʼɛ àzwìtə̀, nɨ̀ghɔ̀ɔ̀ nɨ suga, nɨ̀ghɔ̀ɔ̀ nɨ ǹtɨɨ̀, al̀ləə yi kɔ̀ʼɔ̀) ɨ̀jaŋ bə ma jû nɨ̀ghɔ̀ɔ̀ nû wàŋsə̀ ǹtswa nɨ waa aa ŋ̀tɨɨ, ŋ̀tɛɛ ǹzwitə. ",,
"","-Fibà -Nɨ̀kaà",,
"","-Àkwɛʼɛ yî yoorə̂ -Mɨ̀ŋgɨrə̀nɨ̀ mi yàŋnə̀",,
"","Ɨ̀lìŋsə̀  Ɨ̀liŋsə koronavirus ju kɨ bə̀ aa tsǒ jɨ ǹjɔ̀ʼɔ̀. Fibà, à kwɛʼɛ yì yoorə, mɨ̀kɨ̀rɨ̀nə̀ mi yaŋnə̀ nɨ̀kaà, bə̀ bi mɔ̀ʼɔ yuʼù nɨ nyàŋə̂ ɨ̀jɔ̀ʼɔ̀ sɨgɨ̀nə̀ nɨ mɨlwî. Ntɔ̀ŋ yaŋə̀ a mî nɨ mɨ̀tswɛ kɨkaŋə a toonsə̀. Kàa bə bimɔʼɔ tswe nɨ nu tɨ yuʼu ni nyaŋe, bə bi ghàʼàntə̀ tɨ̀ɨ̀ tɨ kwɛtə.",,
"","Ŋu yiì a kwɛʼɛ",,
"","Àjaŋnə Koronavirus dàŋnə̀ aà  KOVID-19 ghû a dàŋnə̀ ŋ̀lo aa a nu ŋù yìi à tswe nɨ nu aa ŋ̀ghɛɛ nɨ anu ŋù yî mɔʼɔ̀. Ŋù nɨ̀tghɔ̀ɔ̀ wa à bə kwɛꞋɛ kə jiinə, boŋ a ŋ̀kwɛ̀ʼɛ̀  ya ka fɛ̀ʼɛ̀  a ntsù kə mɨ lwi bo. Bɛɛ mə ŋu a koontə ɨjiʼikə̀ jya, boŋ m̀bə nɨghɔ̀ɔ̀ nya kuu a nu bo. M̀bə ŋù u mɔɔntə a yoo yii nɨ̀ghɔ̀ɔ̀ nya tswe mə ghu ŋ̀kɨ mbu mɔ̀ɔ̀ntə miʼi mi kə mɨlwî mi kə ntsù yi boŋ mbə a biʼì nɨ̀ghɔ̀ɔ̀ nyâ. ",,
"","Àjaŋ yìi mbə ò bɛ m̀bɨ̀ɨ̀ nû yu aà",,
"","1.     Tsii miʼi mɨ̀lwi nɨ ntsù gho kɨ mɔ̀ɔ̀ntə̀. ",,
"","2.      Ka ŋwàŋsə sìʼì nɨ mbo mo nɨ nɨ̀kè bo bɨ ŋ̀ki yìi mə ɨ tsyà. ",,
"","3.     Ka ŋkwɛ̀ʼɛ a ghàʼàtə ghò. ",,
"","4. Tsùù m̀bà yî mbɨ̀ʼɨ kɨ kurə kə kɨ mɔ̀ɔ̀ntə̀ nɨ nàà.",,
"","5.     Lǒ tə̀ ambɛ̀ɛ ŋù yìi a kwɛʼɛ kə̀ jiʼinə aa tsǒ metà yǐ mfùùrə̀. ",,
"","6.     Tsùù bə̂ nɨ mbo ki tsàʼàtə̀. Ka tsàʼàtə bə̂ nɨ ntsù kə̀ à tu yô. ",,
"","7.     Tsii a dɨgə yiì bə̀ tswe ghu ŋghaʼatə aa kɨ ghɛ̀ɛ̀.",,
"","8.     Tsii kɨ təəntə. ",,
"","9.     Ka ŋyuʼutə mɨ̂ŋkɨ̀ɨ̀ la ŋ̀tsɛsə a dɨgə yii ŋkɨ̀ɨ̀ wa lò ghu aà.",,
