source,translated,question,answer
"Sobre el Coronavirus","Γef Avirus n Kuruna",,
"","",,
"","Dis tɣawsa IĞĞET a bac at-takzed ɣef mammek Avirus n kuruna",,
"","ITTCENTEL",,
"","Imi nnem/k",,
"","Tinzert nnem/k",,
"","Tiṭṭawin nnem/k",,
"","Ittawwaṭ g",,
"","Bnadem d Aṣbiḥ",,
"","Bnadem d Amaṭun",,
"","Avirus ittcentel lemmi yella g tnuzzut(Tikuffa)",,
"","Ğğ jar-am/k ag n 2 miter",,
"","1",,
"","2 miter",,
"","Attsu !",,
"","Lemmi ad tteẓr-d iğğen/t ittban-d fellas akutti/anuzzi/d maṭṭun ttnejjm-d :",,
"","Uc-as a Tamaskt. T/inejjem sis at/ykutt ɣen at/yenzzu dis d wel aṭurri iṭnin ɣer dis-nnes",,
"","2",,
"","Tanemmirt a *tiḥiṭṭa*",,
"","ΓEN",,
"","Waqila nettat ca ttmaṭunt, ɣer terra labl f yiman nnes",,
"","Iwdan lli uṭṭnen wel ittban-d dis aṭṭan, welyuc ttsawaṭen gwaṭṭan",,
"","D rni fellas, taktit tezzɛam  ac seg agejluṭ (guda n iwdan), maɣer wel tessn-d mant dis t/yella t/yuṭen.",,
"","Tiqecqac",,
"","Bnadem d Aṣbiḥ",,
"","Tiddriwin n Cmendfir",,
"","Taṭbilt n Usensir",,
"","Lklineks",,
"","Ṭṭwasi (Aqbuc)",,
"","Allal Umḍin",,
"","D rrni I lli yella berra n tamaskt nnem/k",,
"","Tidderiwin",,
"","Tafekrunt (Aselkim)",,
"","Iɣunab",,
"","Fus n tawwurt",,
"","Ifassen nnes",,
"","Dis mak, ittṣara d Amaḍun s tikufsa nnes tassnt-d f tiɣawsiwin…",,
"","Waqil ad ttaṭnum ukkul nnwen\t",,
"","ɣen f udem n tayri nnem/k",,
"","Aḥukki n tiṭṭawin",,
"","iṣar d ttmuss-d seg tiɣawsiwin tidhat saht, d sdeffr-as ttmused udem nnem/k,",,
"","D tɣawsa  iğğet tnejjem aten-tesfeḍ s usired nnes s ṣṣabun, tasemellalt, ɣen iɣisem.",,
"","Virus inejjem itteqqima yella f tɣawsa  ugar timirt",,
"","Ṣṣabun",,
"","Irray n Lbal",,
"","D ayed i matta d tasbiḥt taḍfrawt tad",,
"","Ssird s ṣṣabun al tiɣmert",,
"","ṣṣabun",,
"","tiɣmert",,
"","Ttmusset-c udem nnem/k (ɣen udem ḥad iṭen) wel dis-c mammek, ssird-t ifassen nnem/k s ṣṣabun s Taneṭṭuft.",,
"","Gget n luɣed i yinig “Tafaska n ulul “ sent tikwal",,
"","S addu iccaren",,
"","Ag 20 tisinin",,
"","Jar iṭuṭan",,
"","Ssird s denneg fus nnem/k",,
"","Matta nettat Taneṭṭuft ?",,
"","Wel ttqeqet-c kan iṣar ttmuss-tt. S deffer ssird ifassen nnem/k s ṣṣabun",,
