source,translated,question,answer
"What you need to know about the CORONAVIRUS or COVID-19","Hɛ̰ ka ɓel ɓá njuku ké tú sé túl záŋmá CORONAVIRUS malé COVID-19",,
"","",,
"","Association Camerounaise pour la Traduction de la Bible et l'Alphabétisation",,
"","",,
"","",,
"","",,
"                    SUMMARY","                    GAŊ ƁAY TÚLKÉ ",,
"- Coronavirus  - Vulnerable people - Symptoms - Transmission of coronavirus - How to protect yourself - What to do in case of contamination? - Definition of some difficult words ","- Coronavirus - Njuku ká la nyá záŋmáké yáy - Ŋgána a záŋmáké - Ŋgbóró ka záŋmá coronavirus tá njuku - Â̧yhi̧ njuku e niŋa  ɓay a kóró mûn - Â̰yhi̧ ɓá hɛ̰niŋa ká záŋmáké mí tá njukuy ? - Ten taŋa a tɛ̰rɛ̰ɓay a gbɔ́rɔ́kéri ",,
"p.2 p.3 p.4 p.5 p.6 p.7   p.8","p.2 p.3 p.4 p.5 p.6  p.8 p.9",,
"Coronavirus, also known as COVID-19, is a new virus. It was first reported in China on 31 December 2019. It has flu-like symptoms and can cause death in some severe cases. It is widespread in many countries around the world. The origin of the disease is not yet known.","Coronavirus  Coronavirus, kú ɗi nɛ̰ pí ɓá COVID-19, ɓá gûnkáy záŋmá a ŋgɛŋké. Ɗambel laŋ ɓay a mɛ̰̌ɛ ɓá a tisiri a Shine ká ɓil nâm 31 féw kawkála  ka mbímbɔ̂m 2019.  Záŋmáké niŋ ɓá baŋa zâ̧a mbí, dǎy a kaw i hûl, ká ké mí tâm sé mbel. Záŋmáké wal má pûri ɓá ŋgɛnáké lá tisiri nɛ̰ tó. Sɛ̰w a záŋmáké pan a tú yá ɓay.",,
"Elderly person","kpɔ́ꞌɔ́rɔri ",,
"Person with a heart condition or disease","njuku záŋmá law, malé njuku záŋmá ",,
"Vulnerable people People of all ages can become infected with this new virus. The elderly and people with pre-existing conditions (such as asthma, diabetes, heart disease, high blood pressure) seem more likely to become seriously ill from this virus.","Njukuri ká záŋmáké lá tá kuriri yáy  Njuku ká mbímbɔ̂m ŋgɛ̰ dáy, ra̰ gûn a léléri, záŋmáké lá tá kuriri ya. Kpɔ́ꞌɔ́rɔri ra̰ njukuri ká erú ka záŋmá (ɓá baŋa záŋmá nyína, záŋmá hɛ̰rináké, záŋmá law, záŋmá sêm ka ŋgú ŋgá mamba ká ɓil nɛ̰w), njuku nɔ́ri̧ ɓá njukuri ká lá nyá záŋmáké yáy. ",,
"Fever Fatigue","- Gélvɔ́ná  - Mûn ta̧na",,
"Dry cough Muscle aches and pains","- Hɛla  - Séna háymûn",,
"Symptoms The symptoms of a coronavirus infection are similar to those of the flu: fever, dry cough, muscle aches, fatigue. Some patients have pain, nasal congestion, runny nose, sore throat, or diarrhea. Some people, although infected, have no symptoms and feel fine. Most people recover without needing any special treatment.","Ŋgána a záŋmáké malé hɛ̰ ká tɔꞌɔ záŋmáké  Ŋgána a záŋmá coronavirus ɛŋ ɓá baŋa a zâ̧a mbí : gélvɔ́ná, hɛla, séna a háymûn, mûn ta̧na. Njuku záŋmáké a ha̧na̧ri lá ɓá mûn séna, hɔ̰́ꞌɔ̰ sɔ̰na, hɔ̰́ꞌɔ̰ ká ú ɓá zâ̧a mbí, séna a ŋgbóró kɔ́ŋ malé zɔ́ꞌɔ. Njuku a fékéri erú ká záŋmáké, a zi lá hɛ̰nɔ́ri̧ yá tó a kaw ɓá belaké. Ŋgɛ̰ná a njukuri ziŋ ngɛrɛ taŋ nyá ndam. ",,
"Person with a cough","Njuku ká kaw hɛla",,
"Transmission of coronavirus COVID-19 is transmitted by people carrying the virus. When a sick person coughs or sneezes, they expel droplets through their nose or mouth. If a person breathes in these droplets, they can become infected with the coronavirus. If a person touches an object infected with these droplets and then touches their eyes, nose or mouth, they can also become infected.","Ŋgbóró ka záŋmá coronavirus tá njuku Záŋmá COVID-19 tá njuku ká ŋgbóró a njuku ká erú ká záŋmáké. Gelká njuku ká erú ká záŋmáké hɛl malé sɛŋdisɔ́ lé, gûn sâ̰mri tɛ̰ tálá ŋgbóró nzɛꞌɛ malé hɔ̰́ꞌɛ̰. Njuku ká kaw gbaŋɛ ká a nyí, ké nyá sé ɓélé, záŋmá coronaviruské a golo e tá nɛ̰. Njuku ká ɗa gel ká sâ̰mké to kɔ̰́rṵ́, ká a ɗa nûn, hɔ̰́ꞌɔ malé nzɛꞌɛy e nyá záŋmáké. ",,
"How to protect yourself","Â̧yhi̧ njuku e niŋa  ɓay a koro mûn nɛ̰",,
"1. Avoid touching eyes, nose, mouth.","1. I ɗa nûn, hɔ̰́ꞌɔ ra̰ nzaʼa ka ndɔ̂ꞌɔ ya. ",,
"2. Wash your hands frequently with soap and running water. Then dry them with a clean towel.","2. I túrú ndɔ̂ꞌɔ ká mbí ra̰ mbapɔ́ꞌɔ. Falké i taꞌa ká gari a taŋáké.",,
"3. Cough and sneeze into the crook of your arm. ","3. I hɛl ká sɛŋ ká ɓil kû-ndɔ̂ꞌɔ.",,
"4. Avoid eating raw meat and touching live animals.","4. Ká sɔ̰́ háy a ndisɛꞌɛ yá, ká ɗa hɛ̰ hólarí ka ndɔ̂ꞌɔ ya.",,
