source,translated,question,answer
"","Ce que vous devez savoir sur le CORONAVIRUS ou COVID-19",,
"","Association Camerounaise pour la Traduction de la Bible et l'Alphabétisation",,
"","",,
"Les informations contenues dans ce livret proviennent du site internet de l'Organisation Mondiale de la Santé (OMS). https://www.who.int/fr/home","",,
"Toutes les photos appartiennent à CABTAL, sauf p.2 à Pixabay p.6 (boucher) et p.7 (foule) à Wikimedia Commons p.7 (gens regardant la TV) à United Nations (Photo # 616869 UN Photo/Marco Dormino)   Contacts CABTAL Web : www.cabtal.org Mail : info_cabtal@cabtal.org Tel : (237) 699 833 535 WhatsApp : (237) 654 439 659 B.P. : 16 550 Yaoundé, Cameroun","",,
"","          SOMMAIRE",,
"","- Coronavirus - Personnes vulnérables - Symptômes - Transmission du coronavirus - Comment se protéger ? - Que faire en cas de contamination ? - Définition des mots difficiles",,
"","p.2 p.3 p.4 p.5 p.6  p.7 p.8",,
"","Le coronavirus, aussi appelé COVID-19, est un nouveau virus. Il a été signalé pour la première fois en Chine le 31 décembre 2019. Il a des symptômes semblables à ceux de la grippe et peut entraîner la mort dans certains cas graves. Il est répandu dans de nombreux pays dans le monde entier. L’origine de la maladie n’est pas encore connue.",,
"","Personne âgée",,
"","Personne cardiaque ou souffrant de maladie",,
"","Personnes vulnérables Les personnes de tous âges, y compris les enfants, peuvent être infectées par ce nouveau virus. Les personnes âgées et les personnes souffrant de maladies préexistantes (comme l’asthme, le diabète, les maladies cardiaques, l’hypertension artérielle) semblent plus susceptibles de tomber gravement malades à cause de ce virus.",,
"","- Fièvre - Fatigue",,
"","- Toux sèche - Douleurs musculaires",,
"","Les symptômes Les symptômes d'une infection au coronavirus ressemblent à ceux de la grippe : fièvre, toux sèche, douleurs musculaires, fatigue. Certains patients ont des douleurs, une congestion nasale, un écoulement nasal, des maux de gorge ou une diarrhée. Certaines personnes, bien qu’infectées, ne présentent aucun symptôme et se sentent bien. La plupart des personnes guérissent sans avoir besoin de traitement particulier.",,
"","Personne qui tousse",,
"","Transmission du coronavirus Le COVID-19 est transmis par des personnes porteuses du virus. Quand un malade tousse ou éternue, il expulse des gouttelettes par le nez ou la bouche. Si une personne respire ces gouttelettes, elle peut être contaminée par le coronavirus. Si une personne touche un objet infecté par ces gouttelettes et si elle se touche ensuite les yeux, le nez ou la bouche, elle peut aussi être contaminée.",,
"","Comment se protéger ?",,
"","1. Eviter de se toucher les yeux, le nez, la bouche.",,
"","2. Se laver souvent les mains à l'eau courante et au savon. Ensuite les sécher avec une serviette propre.  ",,
"","3. Tousser et éternuer dans le creux de son bras.",,
"","4. Eviter de manger de la viande crue et de toucher des animaux vivants.",,
"","5. Garder une distance d'au moins un mètre avec une personne qui tousse ou qui éternue.",,
"","6. Eviter de se serrer la main. Se saluer par un signe de tête ou une salutation verbale.",,
"","7. Eviter les rassemblements.",,
"","8. Limiter ses déplacements.",,
"","9. Se tenir informé et vérifier la source de ses informations.",,
"","Que faire en cas de contamination ? Si vous présentez des symptômes : - Evitez les contacts avec d'autres personnes. - Restez à domicile. - Appelez le 1510 et suivez les consignes des médecins. Autres numéros possibles :",,
"","699 279 622 675 308 373 698 423 929 655 728 884 670 713 979",,
"","699 933 725 677 429 357 699 986 740 676 466 797 670 113 761",,
"","A ce jour, il n'existe aucun médicament capable de guérir du COVID-19 mais les autorités continuent les recherches pour trouver un traitement adapté. Chacun doit être responsable et adopter les bons gestes pour se protéger et protéger son entourage.",,
"","Définition des mots difficiles    Asthme : maladie respiratoire chronique Consignes : ordres, recommandations Diabète : maladie qui se caractérise par un taux de sucre trop élevé dans le sang Ecoulement nasal : avoir le nez qui coule Etre contaminé : être atteint par la maladie Grippe : maladie, rhume Hypertension : augmentation anormale de la pression du sang sur la paroi des artères Infecté : atteint par la maladie Infection : maladie, épidémie Patient : malade Persistant : permanent, constant, continu Susceptible : capable, sensible Symptômes : signes, marques de la maladie Traitement : remède, médicaments Virus : agent causant la maladie Vulnérable : faible, à risque ",,
"Ce que vous devez savoir sur le CORONAVIRUS ou COVID-19  © CABTAL, 2020","",,
"    Les informations contenues dans ce livret proviennent du site internet de l'Organisation Mondiale de la Santé (OMS). https://www.who.int/fr/home  Toutes les photos appartiennent à CABTAL, sauf p.2 à Pixabay p.6 (boucher) et p.7 (foule) à Wikimedia Commons p.7 (gens regardant la TV) à United Nations (Photo # 616869 UN Photo/Marco Dormino)   Contacts CABTAL Web : www.cabtal.org Mail : info_cabtal@cabtal.org Tel : (237) 699 833 535 WhatsApp : (237) 654 439 659 B.P. : 16 550 Yaoundé, Cameroun                                                           Ce que vous devez savoir sur le CORONAVIRUS ou COVID-19  © CABTAL, 2020","Ce que vous devez savoir sur le CORONAVIRUS ou COVID-19 Association Camerounaise pour la Traduction de la Bible et l'Alphabétisation  Ce que vous devez savoir sur le CORONAVIRUS ou COVID-19                 SOMMAIRE - Coronavirus - Personnes vulnérables - Symptômes - Transmission du coronavirus - Comment se protéger ? - Que faire en cas de contamination ? - Définition des mots difficiles  p.2 p.3 p.4 p.5 p.6  p.7 p.8 Le coronavirus, aussi appelé COVID-19, est un nouveau virus. Il a été signalé pour la première fois en Chine le 31 décembre 2019. Il a des symptômes semblables à ceux de la grippe et peut entraîner la mort dans certains cas graves. Il est répandu dans de nombreux pays dans le monde entier. L’origine de la maladie n’est pas encore connue.  Personne âgée   Personne cardiaque ou souffrant de maladie Personnes vulnérables Les personnes de tous âges, y compris les enfants, peuvent être infectées par ce nouveau virus. Les personnes âgées et les personnes souffrant de maladies préexistantes (comme l’asthme, le diabète, les maladies cardiaques, l’hypertension artérielle) semblent plus susceptibles de tomber gravement malades à cause de ce virus.  - Fièvre - Fatigue   - Toux sèche - Douleurs musculaires Les symptômes Les symptômes d'une infection au coronavirus ressemblent à ceux de la grippe : fièvre, toux sèche, douleurs musculaires, fatigue. Certains patients ont des douleurs, une congestion nasale, un écoulement nasal, des maux de gorge ou une diarrhée. Certaines personnes, bien qu’infectées, ne présentent aucun symptôme et se sentent bien. La plupart des personnes guérissent sans avoir besoin de traitement particulier.   Personne qui tousse Transmission du coronavirus Le COVID-19 est transmis par des personnes porteuses du virus. Quand un malade tousse ou éternue, il expulse des gouttelettes par le nez ou la bouche. Si une personne respire ces gouttelettes, elle peut être contaminée par le coronavirus. Si une personne touche un objet infecté par ces gouttelettes et si elle se touche ensuite les yeux, le nez ou la bouche, elle peut aussi être contaminée.     Comment se protéger ?  1. Eviter de se toucher les yeux, le nez, la bouche. 2. Se laver souvent les mains à l'eau courante et au savon. Ensuite les sécher avec une serviette propre.    3. Tousser et éternuer dans le creux de son bras.  4. Eviter de manger de la viande crue et de toucher des animaux vivants.     5. Garder une distance d'au moins un mètre avec une personne qui tousse ou qui éternue.  6. Eviter de se serrer la main. Se saluer par un signe de tête ou une salutation verbale.  7. Eviter les rassemblements.  8. Limiter ses déplacements.  9. Se tenir informé et vérifier la source de ses informations.  Que faire en cas de contamination ? Si vous présentez des symptômes : - Evitez les contacts avec d'autres personnes. - Restez à domicile. - Appelez le 1510 et suivez les consignes des médecins. Autres numéros possibles :  699 279 622 675 308 373 698 423 929 655 728 884 670 713 979  699 933 725 677 429 357 699 986 740 676 466 797 670 113 761 A ce jour, il n'existe aucun médicament capable de guérir du COVID-19 mais les autorités continuent les recherches pour trouver un traitement adapté. Chacun doit être responsable et adopter les bons gestes pour se protéger et protéger son entourage. Définition des mots difficiles    Asthme : maladie respiratoire chronique Consignes : ordres, recommandations Diabète : maladie qui se caractérise par un taux de sucre trop élevé dans le sang Ecoulement nasal : avoir le nez qui coule Etre contaminé : être atteint par la maladie Grippe : maladie, rhume Hypertension : augmentation anormale de la pression du sang sur la paroi des artères Infecté : atteint par la maladie Infection : maladie, épidémie Patient : malade Persistant : permanent, constant, continu Susceptible : capable, sensible Symptômes : signes, marques de la maladie Traitement : remède, médicaments Virus : agent causant la maladie Vulnérable : faible, à risque   ",,
