source,translated,question,answer
"What you need to know about the CORONAVIRUS or COVID-19","Səkan maa kadak, hune san ka ata dawar maa əy kayaɓa KAWRAWNAVƏYRUS askwaw ca, KAWVƏYD-19",,
"","",,
"","Association Camerounaise pour la Traduction de la Bible et l'Alphabétisation",,
"","",,
"","",,
"","",,
"                    SUMMARY","             MA MA Ŋ ƊEREWEL ŊGHE ",,
"- Coronavirus  - Vulnerable people - Symptoms - Transmission of coronavirus - How to protect yourself - What to do in case of contamination? - Definition of some difficult words ","- Kawrawnavəyrus - Hejəye maa dawar anta kula ŋ mɓəlata ege - Səkan ege ma kaghwalza dawar anta - Lazav dawar Kawrawnavəyrus - Ŋ həbar kusam ata dawar anta ca, vaŋgay?  - Mada dawar anta kaḿ balahaw aza ca, hwa nala vaŋgay? - Laghwal ma ma ɓarɓar ege ",,
"p.2 p.3 p.4 p.5 p.6 p.7   p.8","p.2  p.3 p.4 p.5   p.6  p.8 p.9 ",,
"Coronavirus, also known as COVID-19, is a new virus. It was first reported in China on 31 December 2019. It has flu-like symptoms and can cause death in some severe cases. It is widespread in many countries around the world. The origin of the disease is not yet known.","Dawar maa əy kayaɓa Kawrawnavəyrus wese ca, əy kayaɓa zeney a Kawvəyd-19, ara sekan mewe ma kaval dawar. A mar ŋ ghwalha mampar anta ca, ŋ hayak Səyn ata wan 31 mala ŋtəra matakam mala va 2019. Sekan ege ma kaghwalza dawar anta mada kaḿ bal ɗala aza ca, əy nja ana mala dawar damara. Cemey, dawar anta, mada kaḿ bal ɗala aza mambaza ca, a kajahəjə. Dawar anta keŋ́ tez anta ŋ hayak ege vəram ŋ manhayak tewtew. Hejəye əy kasan dawar anta a daha ta ŋ akatay kwagwa səkwaw.",,
"Elderly person","Ɗala maa va anta aka",,
"Person with a heart condition or disease","Ɗala maa dawar unaf a heɗe askaw ca, ɗala maa dawar a kesene gef",,
"Vulnerable people People of all ages can become infected with this new virus. The elderly and people with pre-existing conditions (such as asthma, diabetes, heart disease, high blood pressure) seem more likely to become seriously ill from this virus.","Hejəye maa dawar anta kula ŋ mɓəlata ege Səkan mewe ma kaval dawar ŋgha ca, kula ŋ mbəlata hejəye maa kaw va vanay ege tewtew zlaɓa ujəye. Səkan ma kaval dawar ŋgha anta ca, a mbal dəydəy ca, hejəye maa va tata ege aka, hejəye maa dawar a kesetene gef ŋcene anta ege ana dawar latak səfan, dawar mala sukar, dawar mala unaf ege leŋ dawar mala taŋsəyawŋ.",,
"Fever Fatigue","- Kuhaw ata kusam - Laŋtəɓal",,
"Dry cough Muscle aches and pains","- Kəcah mada ghew - Lambalma ŋ mefətes ege",,
