source,translated,question,answer
"Kiruusih koroonah ah gula","About Coronavirus",,
"","",,
"Translated by Reuben Soso, Gideon Abadiwa & Sarah Wario","",,
"","",,
"Wunih TOKO ch’alaati jira tah atini huwanoh ani malte aka kiruusih koroonah ah t’iliptu","",,
"Afaana","",,
"Funaani","",,
"Ila","",,
"Tenteh kesa  isheentu","",,
"Nama bifa daansah k’au","",,
"Nama d’ukuwah","",,
"Kiruusih ini hint’ilipti mala ch’och’owa ini kuni","",,
"Baiyah taai. 2m ch’och’owa gudah arah sih jiraachipti","",,
"1","",,
"2m","",,
"Hatishoo!","",,
"Suniifi woh atini nama taleh k’ufoh/hat’ifatu/nama d’ukuwah d’egertu atini dendeecheh fook’ata:","",,
"Maaskih isaaniti kani. Isaani dendeanih ishih kasaati k’ufaanih yoh anamah isaaniti d’iyaatu gaadani.","",,
"2","",,
"D’ud’ah fed’ed’i *tah hara hintimsiisine* ","",,
"YOH","",,
"Ishiini gaafiah d’ukuh hink’abduh, amoh ufuuma gaadi.","",,
"Anamah d’ukuh ini isheene  dendeanih hakeeka hind’egersiisanuh, amoh isaani d’ukuh anamah ati hindawarsani","",,
"Amaleh, moma daansah goduh marfanooni, malyenani atini himbeechuh kah d’ukuh k’au.","",,
"Muka segeleh ani nyaatanu","",,
"Haada barsiiah","",,
"Ufunguoh arana ola yaawanuuni","",,
"Kartaasih faltih ah/ K’art’aasih ifa baanuni   ","",,
"Gura kooreah","",,
"K’odah d’ijitoolih ah","",,
"& even on the outside of your face mask","",,
"Urga k’awatanih arana ola yaawanuni.","",,
"Mausih","",,
"Kalaamuh","",,
"Hiichuh  Ch’ufanah ah","",,
"Harka isaanih","",,
"Akumsuuleh, hanch’ufa nama faiyah hink’amneh dendee nama d’iwih geah…","",,
"Isani t’uut’umah dendeechanih d’ukuh d’ak’abdani ","",,
"Yoh fuula dega atini feetuh","",,
"Ila tenteh rhiju","",,
"Amaleh woh atini tokocha wunih tanah sitih  himbeenye tuch’u, amaleh fuula kenkeh tuch’u,","",,
"Amaleh dirbuh ishih ufa arah  d’oorganuuni saab’unih afi  had’ah yoh, daad’ih ani sad’aneesi","",,
"Kiruusih ini dendeecheh saa fed’eti k’odah ara teesuma","",,
"Saab’unih","",,
"Aka maalifi amaleh atamiini dirbuh ufa gaadanuni tuni hordofaani daansaa?","",,
"Saab’unih d’ik’i sunumaani bereh tana.","",,
"Ch’ik’ileh","",,
"Fuula kenkeh hintukini. (Yoh fuula anamah d’iwiah.) Woh atini tuch’u, dursah saab’unih ani aka daansah harka d’ik’ad’i. ","",,
"Wogah aka sirba “Aabah Jeesoh faarsinah”  d’oochah","",,
"K’eensa jala","",,
"Sekoondih 20","",,
"Jiduh harkah","",,
"Hirba harka keetih d’ik’i","",,
"Aka daansaani","",,
"Woh atini tuch’u, himudamini.  Bisaani umani harka kenkeh d’ik’ad’i hirbah.","",,
"Amaleh, woh ishiini dendeesiptu ifa maskih ah hintuk’ini.","",,
"Ch’och’owa","",,
"Bineesa ch’ach’arak’oh oni maskih kesaati gugurdata mala atini wogah d’eertuh kaayatu.","",,
