source,translated,question,answer
"Sobre el Coronavirus","Andumoro' i Ampoi Corona Anio'",,
"","",,
"","Tontemboan Matana'i",,
"","",,
"","Wayaké’ in esa si musti kailekan iow andumoro’ in tumambisa en ampoi Corona anio’",,
"","LUMAWÉ",,
"","Wa’ba",,
"","Ngirung",,
"","Weren",,
"","Muntep an untep",,
"","Tou ra’ica sumakit",,
"","Tou sumakit",,
"","Si ampoi anio’ lumawé sa rumesic in dura anio’",,
"","Teiran em pawuun. Icamu  maaman oka asi resicen in dura eng kerapi in tumeir im paawuun wona 2m.",,
"","1",,
"","1,5m - 2m",,
"","Haachii!!",,
"","Anaé, an tutuw sérén iow si tou sumekol/mawaan/sumakit, icamu ro’na:",,
"","WÉANIO’ MASKER SÉRA.﻿Anaé séra ro’na mawaan/sumekol an untep I maskerna en tumeir sé tou an li’cirna.",,
"","2",,
"","Makapulu’sama’",,
"","KUMA’PA",,
"","Wona si tou anio’ ra’ica sumakit.﻿Sia asalo tumeir in owakna.",,
"","Sé tou sé kinalawéano, wona’ ra’ica ituruna en tuus-tuus sa sia kinalawéano, taan ro’nake’ ilawéna en sakit.",,
"","Anaé, lébéh loor sa tumayang ang kakelian tou, ampa’paan ra’ica kailekan iow si sei waya sé tinena in sakit.",,
"","Papakén imakan",,
"","Sé tou ra’ica sumakit",,
"","Patimboian ﻿ang kereta",,
"","Pakutian in lift",,
"","Tisue",,
"","Paelepan",,
"","HP, Laptop",,
"","Wo sé ang kesot i masker",,
"","Titimboian in daran",,
"","Mouse in Laptop",,
"","Papatic",,
"","Kukusi im papalen",,
"","Kama’ éra",,
"","Mandé taniitu, sumangkum en dura é tou sumakit ro’na luméngkét ang…",,
"","Icamu im baya ro’na kasakitan",,
"","Kuma’pa in amo tou walina an diitmu,",,
"","Kumisu im beren",,
"","Sa ra’ica petutumu misu sé léléngkétan in ampoi Corona, wo isuemu an amomu in esa,",,
"","En sumingkir in ampoi anio’ si lumoo-loor musti ulurenta eng kerapi maké' in sabong, si pakulo’, kuma’pa alcohol.",,
"","Eng ampoi anio’ ro’na tumang akar in 24 jam (rua ngapulu’ epat jam) an esa barang.",,
"","Sabong",,
"","tumambisa en anio’ iénto eng kerapi.",,
"","Ampa’paan in ituo, lébéh loor kiitenta",,
"","Wuasén in sabong akar ambia’i",,
"","Siku ing kama’",,
"","Tioo lisun in amomu kumapa en amo ﻿e tou walina.",,
"","Tanu ing kumantar ing kakantaren “Happy Birthday” makarua",,
"","Sé an untep in sulu",,
"","Eng kauréna 20 detik",,
"","Am paawuun im buana ing kama",,
"","Wuaasen in licur ing kama",,
"","Tambisa muas ing kama akar maweresi?",,
"","Sa kaisuan, tioo maindé. Kumala'us muas ing kama kerapi in sabong",,
"","Tioo misu si ang kesot i masker",,
"","Resic in dura",,
"","Bakteri ro’na makeli an untep i masker sa pakén ima uré -uréan.",,
"","Tia’ sé masker sa imakotoro. Ra’ica toro imaké i masker lumébé' asi sangando",,
"","Pakén en lépér in séndéén",,
"","Toyaang",,
"","Amang",,
"","Inang",,
"","Maké' in anduk esa wo iesa",,
"","Tioo pakén mewali-wali kakanen, sé pengapakén ing kuman, gelas, wo in anduk",,
"","Ra’ica kaisuan iow en amo maké’ in siku ing kama’mu in esa",,
"","Sa woo ro’na, sa muka’ kuma’pa menet im pepenet maké in siku in kama’ kuma’pa paluka",,
"","Walé",,
"","Kekawus iow kumesot am walé",,
"","En da’ipe cuman",,
"","Tatapke’ wuasan iow eng kama’ eng kerapi in sabong",,
"","Eng kaakaran",,
"","Tei-teiran wosama’ ra’ica sakitan",,
"","Bacan sé ro’na tumawang tanu sé  aipatico an dangka",,
"",""This animation shows how far you sneeze can actually travel." by Chia-Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020)",,
"",""The Wuhan Virus: How to stay safe", by Laurie Garrett, in Foreign Policy Report. (Jan 25, 2020)",,
"",""How to Avoid the Coronavirus? Wash Your Hands", by Elizabeth Rosenthal, in The New York Times, Opinion. (Jan28,2020)",,
"","Lemboi ing kumataré asi abar andumoro’ ing kasamaan:",,
