source,translated,question,answer
"ဝေၚ်ပါဲယဲကဝ်ရဝ်နာ","Avoid Covid-19 (Asia)",,
"","",,
"ကြာတ်တဲ နကဵု ဍာ် ကေုာံ ဗံၚ် လၟေၚ်ၚ်ညိ။ (ဟွံသေၚ်မ္ဂး) ကြာတ်တဲ နကဵုဍာ်ကြာတ်တဲ မကၠောန်လဝ် နကဵုအေလ်ဂိုလ်ဟိုလ်ညိ။","Wash your hands regularly with soap and water, or clean them with an alcohol-based hand rub.  ",,
"လ္ပရပ်ဝေၚ် မတ်၊ မုဟ်၊ ကေုာံ ပါၚ် တအ်ညိ။","Avoid touching your eyes, nose and mouth. ",,
"အခိၚ်ကာလ ခ္ဍက် (ဝါ) ထအှ်မ္ဂး ဂြောပ်ကၟာတ် မုဟ်၊ ပါၚ် နကဵုပ္ၚံက်တၚ်တဲ (ဝါ) ယာတ်တေသ်ရှူ ညိ။ ယာတ်တေသ်ရှူ မရပ်စကာလဝ်တုဲဂှ် ဗိုတ်ကၠုဟ်စုတ် အပ္ဍဲနခၟိက် ပြဟ်ဟ်ညိ။","Cover your nose and mouth with your bent elbow or tissue when you cough or sneeze. Dispose of the used tissue immediately.   ",,
"မၞးဒးမံၚ် သ္ၚောဲခြာနူညးတၞဟ် ဗၞတ် (၂) မဳတာ ရောၚ်။ ပၟိက်ကိစ္စဟွံဇၞော်မ္ဂး လ္ပအာတရဴညိ။ ဒၞဲါမၞိဟ်ကောံဂှ် ဝေၚ်ပါဲညိ။ လ္ပအာညိ။ ","Maintain a distance of 2 meters between yourself and others.  Avoid unnecessary travel and stay away from large groups of people.    ",,
"ယဝ်ရ မၞးမံၚ်စဟွံမိပ်မ္ဂး ဇူဒၟံၚ်အပ္ဍဲသ္ၚိညိ။ ယဝ်ရ မၞးဂမ္တူတိုန်၊ ခ္ဍက်၊ ကေုာံ ယီုဝါတ် (ယီုဂြေက်) ဒှ်ကၠုၚ်မ္ဂး အာစမ်ၜတ်စၟဳစၟတ်ယဲ ပြဟ်ဟ်ညိ။","Stay at home if you feel unwell. If you have a fever, cough or difficulty breathing, seek medical attention early.  ",,
"မၚ်ကလၚ်ဒၟံၚ်ပရိုၚ် စပ်ကဵုအကာဲအရာ ပရူပရာယဲကပ်ကဝ်ရဝ်နာ ညိ။ ဒ္ဂေတ်ဗက်အတိုၚ် ကသပ်လညာတ် ညးမမၚ်မွဲလွဳလွတ်ဇကု (အ္စာသဝ်ဝန်) ညိ။","Stay informed about the latest developments on COVID-19.  Find information from reliable sources and  follow the advice given by your healthcare provider.  ",,
"Illustrations:  Elaine Vitikainen   Information was taken from WHO websites such as https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public  Version 8.4.2020","",,
"Covid-19 Asian version","",,
"ဝေၚ်ပါဲယဲကဝ်ရဝ်နာ   ကြာတ်တဲ နကဵု ဍာ် ကေုာံ ဗံၚ် လၟေၚ်ၚ်ညိ။ (ဟွံသေၚ်မ္ဂး) ကြာတ်တဲ နကဵုဍာ်ကြာတ်တဲ မကၠောန်လဝ် နကဵုအေလ်ဂိုလ်ဟိုလ်ညိ။ လ္ပရပ်ဝေၚ် မတ်၊ မုဟ်၊ ကေုာံ ပါၚ် တအ်ညိ။ အခိၚ်ကာလ ခ္ဍက် (ဝါ) ထအှ်မ္ဂး ဂြောပ်ကၟာတ် မုဟ်၊ ပါၚ် နကဵုပ္ၚံက်တၚ်တဲ (ဝါ) ယာတ်တေသ်ရှူ ညိ။ ယာတ်တေသ်ရှူ မရပ်စကာလဝ်တုဲဂှ် ဗိုတ်ကၠုဟ်စုတ် အပ္ဍဲနခၟိက် ပြဟ်ဟ်ညိ။ မၞးဒးမံၚ် သ္ၚောဲခြာနူညးတၞဟ် ဗၞတ် (၂) မဳတာ ရောၚ်။ ပၟိက်ကိစ္စဟွံဇၞော်မ္ဂး လ္ပအာတရဴညိ။ ဒၞဲါမၞိဟ်ကောံဂှ် ဝေၚ်ပါဲညိ။ လ္ပအာညိ။  ယဝ်ရ မၞးမံၚ်စဟွံမိပ်မ္ဂး ဇူဒၟံၚ်အပ္ဍဲသ္ၚိညိ။ ယဝ်ရ မၞးဂမ္တူတိုန်၊ ခ္ဍက်၊ ကေုာံ ယီုဝါတ် (ယီုဂြေက်) ဒှ်ကၠုၚ်မ္ဂး အာစမ်ၜတ်စၟဳစၟတ်ယဲ ပြဟ်ဟ်ညိ။ မၚ်ကလၚ်ဒၟံၚ်ပရိုၚ် စပ်ကဵုအကာဲအရာ ပရူပရာယဲကပ်ကဝ်ရဝ်နာ ညိ။ ဒ္ဂေတ်ဗက်အတိုၚ် ကသပ်လညာတ် ညးမမၚ်မွဲလွဳလွတ်ဇကု (အ္စာသဝ်ဝန်) ညိ။ ဝေၚ်ပါဲယဲကဝ်ရဝ်နာ Illustrations:  Elaine Vitikainen   Information was taken from WHO websites such as https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public  Version 8.4.2020 Covid-19 Asian version      ","Avoid Covid-19 (Asia)   Wash your hands regularly with soap and water, or clean them with an alcohol-based hand rub.   Avoid touching your eyes, nose and mouth.  Cover your nose and mouth with your bent elbow or tissue when you cough or sneeze. Dispose of the used tissue immediately.    Maintain a distance of 2 meters between yourself and others.  Avoid unnecessary travel and stay away from large groups of people.     Stay at home if you feel unwell. If you have a fever, cough or difficulty breathing, seek medical attention early.   Stay informed about the latest developments on COVID-19.  Find information from reliable sources and  follow the advice given by your healthcare provider.   Avoid Covid-19 (Asia)        ",,
