source,translated,question,answer
"Ce que vous devez savoir sur le CORONAVIRUS ou COVID-19","Manda má KOLÓNA FILÍS gúmén KOFÍD 19 mófonó gɔlɛns",,
"","",,
"","Giɔ́b gá Kemelún gá Gúdúmbenyi gugál gá Gɔdányá na Gufúnyifunyi megélídié",,
"","",,
"","",,
"","",,
"                    SUMMARY","       MANDA MÁNYÁ AGÁ MBƆBƆNƆ",,
"- Coronavirus  - Vulnerable people - Symptoms - Transmission of coronavirus - How to protect yourself - What to do in case of contamination? - Definition of some difficult words ","- Kolónafilís - Band bá kand magɛ́nda - Bulinsi bá gunúma - Nanyá Kolónafilís nyá bágɔ́dɔ́mbɛ́n mɔnd - Nanyá buófonó gubɛ́nɔ́na ? - Giág buófonó gual, gunúma mágɔdɔ́mbɛ́n ? ",,
"p.2 p.3 p.4 p.5 p.6 p.7   p.8","p.2 p.3 p.4 p.5 p.6 p.8  ",,
"Coronavirus, also known as COVID-19, is a new virus. It was first reported in China on 31 December 2019. It has flu-like symptoms and can cause death in some severe cases. It is widespread in many countries around the world. The origin of the disease is not yet known.","Kolónafílis bábɛ́laná sɔ́n ká KOFÍD-19, nyɛ gɛŋɛ́lɛŋɔ́siɔ gá mfig. Bómodógí yɛ́ gɛsɛgɛl góbusió agá gɛdɔŋ bábɛ́laná ká Sín, buɔ́s bá 31 bá bilɔndɔ, yɔŋ 2019. Mfig iyány gúnúmanɛn anyɛ ginɔɔ́n, inyɛ bágual yɔɔ́n mɔnd ímámányɛ́ganɛná wɔ́. Inyɛ isálámándán agá bɛdɔŋ bá gus giod. Mɔnd mányɛ udɛlɛnsɛ niílín ná mfig iyány.",,
"Elderly person","Band bá duɔŋ giod",,
"Person with a heart condition or disease","Band bánúmaná agá ɔdɛm, gúmén bábɛ́dáŋɔ́naná",,
"Vulnerable people People of all ages can become infected with this new virus. The elderly and people with pre-existing conditions (such as asthma, diabetes, heart disease, high blood pressure) seem more likely to become seriously ill from this virus.","Band bá kand magɛ́nda  Mfig iyány nyɛ báguadɛgɛn bilunu anyɛ bábayɔ. Inyɛ bágual ká gunúma gá band bá duɔŋ giod ánd gubiɔ́yɛ́kɛnɛn gɔdɔ́mb anány, ta ebe bánúmaná nsuá na nsua ɛgɔnɔ anyɛ (yeél, tiapɛ́t, ta ɛgɔnɔ sá ɔdɛm, atansióŋà).",,
"Fever Fatigue","- Gíluúl - Gɛdɔmbɔ",,
"Dry cough Muscle aches and pains","- Gɛgɔ́sɔ́n kand gɛkakɔ - Guɔ́bɔn gudá agá dulaŋa",,
"Symptoms The symptoms of a coronavirus infection are similar to those of the flu: fever, dry cough, muscle aches, fatigue. Some patients have pain, nasal congestion, runny nose, sore throat, or diarrhea. Some people, although infected, have no symptoms and feel fine. Most people recover without needing any special treatment.","Manda médíyenyé ká mfig saman guadɛgɛn mɔnd Manda médíyenyé ká mfig ya Kolónafílis saman guadɛgɛn mɔnd  nyɛ buanda búmoom na má gɛnɔɔ́n, manda mád eme : gíluúl, gɛgɔ́sɔ́n kand gɛkakɔ, guɔ́bɔn gudá agá dulaŋa, gɛdɔmbɔ. Band bómodió guɔ́bɔn nuɔl nɔ́b gudá, mfún igíden, bɛkɔl madɛ́gá madɛ́ga ámaan agá mfún, ekelu ála gudá,  gɛfála guala. Band bómodió nyɛ bágúbianan mfig iyány,  ta buanda búmoom dibídíyé, bɔ́bɔ́ muat lɔb cém.",,
"Person with a cough","Band bɔ́gɔ́súnɔnɔ́",,
"Transmission of coronavirus COVID-19 is transmitted by people carrying the virus. When a sick person coughs or sneezes, they expel droplets through their nose or mouth. If a person breathes in these droplets, they can become infected with the coronavirus. If a person touches an object infected with these droplets and then touches their eyes, nose or mouth, they can also become infected.","Nanyá Kolónafilís nyá bágɔ́dɔ́mbɛ́n mɔnd  Band bábiananá KOFÍD-19 bédúmbenyinyé bɔsɔ́gɔ́ mfig. Gɛsɛgɛl mɔnd unúmana mɔ́nugɔ́sɔ́n, ɔ́gɔ ká ugésén, wémi baan bá bité agá niid ɔ́gɔ ká agá mfún ; mɔnd mélúmid, umɛn bité ibiány, mfig ya Kolónafílis nyɛ bágúdɔ́mbɛ́n wɔ́. Mɔnd mébísíd buanda ubú bann bá bité ibiány ségubísíd, wond ubísíd eŋís yág, ta mfún yaga, ɔgɔ́ ká niid nága, mfig iyány sɔ́n nyɛ bágúdɔ́mbɛ́n wɔ́.",,
"How to protect yourself","Nanyá anyá bágúbɛ́nɛ́na ?",,
"1. Avoid touching eyes, nose, mouth.","1. Budiguófon gubísíden eŋis na munɔ́nɔ, ta mfún, ta niid.",,
"2. Wash your hands frequently with soap and running water. Then dry them with a clean towel.","2. Búguófon gubɛ́sɔ́ga ɛmbɔ́g na sɔ́bɔ na madɛ́ga obiódinonó agá ɛmbɔ́g, obífuónid ɛmbɔ́g na nábɛ́kɛn unyá begubeg.",,
