source,translated,question,answer
"What you need to know about the CORONAVIRUS or COVID-19","Ə zêu yi pé ghwǒ lə̂ ńjí lə̂ lə̂ ghou yi pə́ fûŋ ńgó CORONAVIRUS káa ńgó COVID-19",,
"","",,
"","Association Camerounaise pour la traduction de la Bible et lʼAlphabetisation",,
"","",,
"","",,
"","",,
"                    SUMMARY","                   LƏTÛ MƏNO ",,
"- Coronavirus  - Vulnerable people - Symptoms - Transmission of coronavirus - How to protect yourself - What to do in case of contamination? - Definition of some difficult words ","-   Ghou yi pə́ fûŋ ńgó Corónavirus -   Ŋuu yi a ghwǒ ghou -   Mbə̂u  yi pə́ laghʼ njî ghiʼ  ghou ghʉ -   Mbə̂u  yi ghou zêi  leitə mboŋə́ ghou ŋuu -   Mbə̂u  yi mboʼ pə́ laghʼ mbáa mbəʉ -   Zə̂u  yi mboʼ pə́ ghʉ mpfu yi ghou ghǒu ŋuu -   Nkeʼtə́ mənyôghʼ ŋwaʼa",,
"p.2 p.3 p.4 p.5 p.6 p.7   p.8","p. 2 p. 3 p. 4 p. 5 p. 6  p. 8 p. 9",,
"Coronavirus, also known as COVID-19, is a new virus. It was first reported in China on 31 December 2019. It has flu-like symptoms and can cause death in some severe cases. It is widespread in many countries around the world. The origin of the disease is not yet known.","Ghou yi pə́ fûŋ ńgó Corónavirus  Corónavirus, pə́ kə́ ncí mə́ fûŋ ńgó COVID-19, ə có ntor shwî yi ə́ ŋə́ ghou. Pə́ lə luŋ-mbi njí lə̂ njwó ghou zêi ə́ cər ngoŋ Shînə lə̂ 31 lə́ saŋ tsapwô lə̂ ləghəm lə̂ nguʼ 2019. Ə mbə̂u yi ghou zêi laghʼ ńgʉ̂ lə́ ŋuu, ə́ shwí pə́ yi jərə́ nci-nci ə́ mbou mbə́ yi mboʼ ə́ jwî ŋuu ghíʼə́ lə̌i  ngá’ lə̂ cǒ mbə̂u. Ghou zêi sar mə́ yʉʼ cər cər məlâ’ tə nzáa cər ngoŋ tsəm. Pə́ kə́ fú njîyé ləfǔ ghou zêi.",,
"Elderly person","Pye pi mənguʼ máp záa mə́",,
"Person with a heart condition or disease","Pye pi gháp ghǒu ntə̂ʉ  káa pi gháp ghǒu có ghou",,
"Vulnerable people People of all ages can become infected with this new virus. The elderly and people with pre-existing conditions (such as asthma, diabetes, heart disease, high blood pressure) seem more likely to become seriously ill from this virus.","Pye pi mbo’ gháp ghou ghou zêi  Mboʼ ntor shwî zêi ghou ŋuu ntsəm lə̂ mənkaŋ mətsəm. Ə pye pi gháp cəghʼtə́ mə́ gháp pə pye pi gháp yǎa ngwô có ghou nde’e yi tə fú ə́ yaa mbə́ wó (ghí’ nzoʼ, ghou yi ə́ ghʉ shúka ghâʼ cər məci ŋuu, məghou mi ə́ ghou ntə̂ʉ  ŋuu, ghou yi ə́ ghʉ məci ŋuu khʉtə lə̂ təʉ). Ə́ shwí pə́ ghíʼ məghou mêi  mwo pə́ ngʉ̂ ntor zêi   fátə mə́ ngʉ́ ŋuu ghôu ghou zêi yo.",,
"Fever Fatigue","-Fípaa -Ləkâa",,
"Dry cough Muscle aches and pains","-Kwoghʼə zəpə -Mbəʉ ŋuu zâŋ",,
"Symptoms The symptoms of a coronavirus infection are similar to those of the flu: fever, dry cough, muscle aches, fatigue. Some patients have pain, nasal congestion, runny nose, sore throat, or diarrhea. Some people, although infected, have no symptoms and feel fine. Most people recover without needing any special treatment.","Ə mbə̂u yi pə́ lagh’ ńjî ghíꞋ ghou  zêi  ghʉ  Ə mbə̂u  yi pə́ laghʼ ńjî ńgó ŋuu ghwo Corónavirus shwí pə́ mi jərə́ nci-nci: ə̂ fípaa, kwoghʼə zəpə, mbəʉ zâŋ, ləkâa. Pəcó pəghou pə́ nzû’ tə́poŋ, məlî máp naa cər wó, məlî pə̂ ntsə́ʉ  , môu-lóŋ pə̂ nzáŋ, mbaa ləpəm fəʼə́.  Pəcó pye, tə mbaa pə́ ghíʼ ghou ghou mə́ gháp, káa có zə̂uʉ        pə́ nyárə yé ńgó a ghwo mə́ ə́ mbou nkə́ mə́ nzû’ gháp pə̂ shʉʼʉ. Pəcop pye pəi mə́i ngǐ shwitə́, káa pə́i mə́ ntúŋu yé ńgó pə pə́i ntsúʼ gháp tsuʼú.",,
"Person with a cough","Ŋuu yi a pə̌ nkwóghʼ",,
