source,translated,question,answer
"SÍNTOMAS DEL COVID-19","",,
"","",,
"","Lengua de Señas Colombiana: Sebastian Nuñez Filmación: Eudes de Armas y Kelly Rojas Editor: Luis Forero y Sebastian Nuñez ilustradora y subtitulación: Lisseth Amaya Asesora técnica: Sonia Shannon, SIL GSLT",,
"","Agradecemos a los generosos donantes que hicieron posible este proyecto.",,
"La seña de coronavirus","",,
"¿Qué es el coronavirus?","",,
"Es un virus que puede causar enfermedades en humanos como infecciones respiratorias.","",,
"¿Cuáles son los síntomas de COVID-19?","",,
"Fiebre","",,
"Tos seca","",,
"Cansancio","",,
"Dolor de cuerpo","",,
"Dolor de garganta","",,
"Diarrea","",,
"Conjuntivitis","",,
"Dolor de cabeza","",,
"Pérdida del sentido del olfato","",,
"Pérdida del sentido del gusto","",,
"Dolor en el pecho","",,
"Dificultad para respirar","",,
"SÍNTOMAS DEL COVID-19    SÍNTOMAS DEL COVID-19      La seña de coronavirus ¿Qué es el coronavirus? Es un virus que puede causar enfermedades en humanos como infecciones respiratorias. ¿Cuáles son los síntomas de COVID-19? Fiebre Tos seca Cansancio Dolor de cuerpo Dolor de garganta Diarrea Conjuntivitis Dolor de cabeza Pérdida del sentido del olfato Pérdida del sentido del gusto Dolor en el pecho Dificultad para respirar  ","     Lengua de Señas Colombiana: Sebastian Nuñez Filmación: Eudes de Armas y Kelly Rojas Editor: Luis Forero y Sebastian Nuñez ilustradora y subtitulación: Lisseth Amaya Asesora técnica: Sonia Shannon, SIL GSLT Agradecemos a los generosos donantes que hicieron posible este proyecto.                     ",,
