source,translated,question,answer
"Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19","Iwo Zɨ̀-ì a Wà N-kelɨ sɨ nà Kya Kûm Ànfyèmtɨ̀ a Kòronà a?",,
"","",,
"","Cameroon Association for Bible Translation and Literacy",,
"","",,
"","",,
"","",,
"","-Ànfyèmtɨ̀ a kòronà -Ghelɨ fem ibol -Nchwaesɨ ikoʼi -Dzɨ sìsɨ̀ a ikoʼi ateyni nɨn dyâŋ ateyn -Sɨ kɨ̀ŋtɨ ngêŋ zyâ -Sɨ chuʼ ikoʼi nâ yènì ",,
"","p.2 p.3 p.4 p.5 p.6 p.8 ",,
"","Ànfyèmtɨ̀ a kòronà  Ghɨ n-toŋtɨ̂ kɨmɨ ànfyèmtɨ̀ a kòronà nâ kèynà na covid bèŋ 19. A n-ghɨ ìkoʼi ifɨ-i ta yi gvì, fɨsɨ̂  ànfyèmtɨ̀, mɨtì ma yi kù wul sɨ a ŋaŋ, yi kâʼ a yi zue. Yi n-lae fvɨ̀ ilaʼ i Chaynà sɨ asɨ a bêŋ 2019, nà sɨ ghɨ lvɨ̂yn ma yi jelɨ meyn tɨlaʼ a mbzɨ tɨ dvɨ̂ kɨ tèyn. Ghɨ n-kya wi na ikoʼi nâ yènì lù nô wo a.",,
""," Chyeʼwù",,
"","Wùl vzɨ̀ a wù sɨ kelɨ ngeʼ a ŋweyn item",,
"","Ghelɨ fem ibol  Ànfyèmtɨ a kòronà nɨn ku kɨ ghelɨ ghɨ̀jɨ̀m, ku woynda, ku ghɨ̀lema, mɨtɨ̀ ndù sɨ̂ wùl vzɨ̀ a wù lum sɨ chi kelɨ akesi a zwaenɨ-a, kèsa wù sɨ̀ kelɨ àfo ichɨ ibɨ nɨ̀ mɨ̀lûŋ ɨ̀nkòʼnɨ̂, kɨ gvɨ kɨ sɨ ito.    ",,
"","-Agvɨl -Ibol",,
"","-Akesi a yuma -Ɨwuyn ɨyafɨnɨ",,
"","Nchwaesɨ ikoʼi  Ikoʼi nâ yèynì nɨn ku wul, wù kâʼ a wù keli ànfyèmtɨ̀, wù kâʼ a wù keli àgvɨl nɨ̀ àkesi-a. A nî a nà ghɨ ɨlvɨ nâ ghè, ma wù kàʼ a wù na ku kɨ ta wù bòl bolɨ. Ɨwuyn ɨ ŋweyn nî wu nà yafɨ kɨ ɨ̀jɨ̀m. A nî a nà ghɨ tì, ma ɨlvâ ɨ ŋweyn kàʼ a wu na chwô, lvɨ fɨli ɨtoŋ ŋweyn ɨ yafa antêynɨ̀. Mɨtì, ghelɨ ghɨli nɨn ghɨ  kɨmɨ ghɨ ma ghɨ kèli ikòʼi ateyn, a ghɨ na ghesî kêʼ kɨ tèyn, afo ali-a dyêyn wì na ghɨ n-kelɨ-a. Ati iwo zɨ̀-ì a wul ɨ̂lvɨ̀ nɨn n-keli, wu lae jèl ɨ to bula wù nyvɨ àfɨ nô sakos.",,
"","Akesi",,
