source,translated,question,answer
"Saki palelean ba'tu' saki korona","About Coronavirus",,
"","",,
"","",,
"Mesari lammu penondai isanga titattanna saki palelean ba'tu' saki korona","",,
"Puduk","",,
"Illong","",,
"Mata","",,
"lutama","",,
"To maleke","",,
"To masaki","",,
"Tibisi'na elo'na tau iamo to'o uppodadi saki palelean ba’tu’ saki korona lako tau buda","",,
"Ato'i sialla'mu lako tau. Kemalako ungato’ sialla'mu lako tau si 2m, tae' siako lanna basa tibissi'na elo'na tau.","",,
"1","",,
"2m-0,5m","",,
"Haaachii!!","",,
"Kedeenko ummita tau to'ko'/Koroan/masaki, malako uppokau' susi te'te:","",,
"Benganni kain petutu' puduk solamu. Anna malara unjakai padanna rupa tau. ke to'ko'i deen sia kain petutu'  puduk ullawai.","",,
"2","",,
"Kurresumanga' “SROOT”","",,
"Ba’tu’","",,
"Deen tau tae' masaki palelean. Appo’ parallu unjakai kalena.","",,
"Kedeen mi tau nalelei saki ia to'o Ke ikitai tanda-tandana, susu to tae' nabasa saki palelean.","",,
"Biasanna napokau' tau buda, mapianna ake' tae'ki' si ko'bon-ko'bon dolo lalan kamaroasan, anu' tae' issan benanna masaki ba'tu' to maleke.","",,
"Parewa dapo'","",,
"Pettoean kereta","",,
"Pa'temmesanna lift","",,
"Tissu","",,
"Tanggi' kaca","",,
"Parewa digital","",,
"Sallianna petutu' puduk","",,
"Pettoean eran","",,
"Balao","",,
"Pattuli'","",,
"Pettoean ba'ba","",,
"Limanna tau","",,
"Moi to Susi o, biasa wai elo'na tau mekke'pe' lako…","",,
"Mittu'mu to'o mala ko nabasa saki palelean ba'tu' saki korona.","",,
"Ba'tu' lindona solah-solahmu tomusikadappisan","",,
"Urussa' mata","",,
"Anna ke' tae' musengaja urrumbu parewa-parewa susi tomai, anna urrumbu boi lindomu,","",,
"Mesa'ri pa'pokausan marrasana mala ipokau ke moraiki uppa'dei saki palelean iamo ke' ibasei uppake sabung anna  cukka.","",,
"Anu' ia to'o saki palelean mala masaeng mekke'pe' lako parewa- parewa susi tu mai","",,
"Sabung","",,
"Adi' ke malai, pa'pokausan mapia uppeula'i ki pellaoan marrasa dio te'e.","",,
"Basei pake' sabung lambi’ ia to'o","",,
"Sikku","",,
"Damo urrumbu lindomu (ba'tu' lindona tau senga'). Appo' ke marru tae’ mi musara basei dolu limammu pake' sabung.","",,
"Susi nanian “Tanete Sandapang” ipenani penduan.","",,
"Kale dokkona kanuku","",,
"Lambi' dua pulo detik","",,
"Alla' alla'na rakka' lima","",,
"Basei boko' lima","",,
"Umbanakua carana umbasei lima lambi’ barassi?","",,
"Appo' ke' manda' irumbu, damo mataku'. Mati'pa' ko umbasei limammu pake' sabung.","",,
"Damo rumbui sallianna kain petutu' puduk.","",,
"Natibissikki wai elo'","",,
"Saki mala membea' illalan kain petutu' pudukta ke marru masaemi ipake.","",,
"Tibemi kain petutu' pudukmu ke bureremi. Damo pake' kain petutu' puduk ke melawemi sangallo.","",,
"Pake' i sendo' nasuan","",,
"Ana'","",,
"Ambe'","",,
"Indo'","",,
"Kana' upakeko handu'mu tae' mala musibala'-bala'i.","",,
"Damo sola-soalai parewa kakumandean, tanggi’, anna handu'.","",,
"Anu’ tae' ko mala urrumbu lindo  uppake siikku kalemu. Ade' pokau' i mala raka, tae' raka mala.","",,
"Kemalai, sikkummu ba’tu’ boko’mu mupake umbukka' anna uttutu' ba’ba.","",,
"Banua","",,
"Ke manda' moko lao mallai lalanmai banua","",,
"Ke ta’e poko kumande","",,
"Basei tarru' limammu pake' sabung...","",,
"Kasundunanna","",,
"Jakai kalemu ndana' masakiko!","",,
"Bacai pellaoan mapia to ituli' dengena' yao!","",,
""This animation shows how far your sneeze can actually travel" by Chia Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020)","",,
""The Wuhan Virus: How to stay safe", by Laurie Garrett, in Foreign Policy, Report. (Jan 25, 2020)","",,
""How to avoid the coronavirus? Wash your hands", by Elizabeth Rosenthal, in the New York Times, Opinion (Jan 28, 2020)","",,
"Parallu iperangi'I to'o napokadanna mittu'na sa' dotto':","",,
"Keterangan tambahan: Tindakan pencegahan dalam bentuk komik ini sangat efektif untuk mencegah penularan penyakit umum lainnya, seperti flu dan pilek, dan harus diterapkan dalam kehidupan sehari-hari, bahkan ketika tidak ada wabah. Referensi: lnformasi dalam komik ini dibuat berdasarkan pemahaman COVID-19 hingga 28 Februari 2020, dan sebagian besar diambil dari tiga referensi ini.   https://www.nytimes.com/2020/01/28/opinion/coronavirus-prevention-tips.html https://foreignpolicy.com/2020/01/25/wuhan-coronavirus-safety-china/ https://www.businessinsider.com/how-far-sneeze-cough-germs-can-travel-2018-10 Informasi Tambahan Komik dalam bentuk PDF dapat diunduh di sini: https://gumroad.com/weimankowart  Pedoman Menyebarkan Komik Komik ini dapat dibagikan secara gratis melalui media daring, atau melalui Whatsapp dan Telegram, dan dapat diunduh secara gratis untuk dicetak dalam bentuk poster untuk penggunaan pribadi atau sebagai materi edukasi di rumah, sekolah, dan tempat kerja. Saat membagikan komik ini, ingat 3 hal berikut: 1) Dilarang mengedit gambar komik yang akan dibagikan. 2) Komik ini tidak dapat diperjualbelikan. 3) Jika dibagikan di media sosial FB, cantumkan kredit pengarang dengan menyebut @weimankowart, di IG dengan menyebut @weimankow (IG), atau mencantumkan tautan ke instagram.com/weimankow Untuk penggunaan lainnya, silakan hubungi: comicsforgood@gmail.com","",,
"","Diterjemahkan ke dalam Bahasa Kalumpang oleh Nikolaus.",,
"","Versi bahasa Inggris dibuat oleh Paul Frank (www. sil-lead.org), versi Bahasa Indonesia oleh Nazra Lutfiana (Unicef Indonesia), Penerjemahan dalam bahasa daerah : https://suluh.org",,
"","Created by Weiman Kow, instagram: weimankow",,
"Saki palelean ba'tu' saki korona    Mesari lammu penondai isanga titattanna saki palelean ba'tu' saki korona  Puduk Illong Mata lutama To maleke To masaki Tibisi'na elo'na tau iamo to'o uppodadi saki palelean ba’tu’ saki korona lako tau buda Ato'i sialla'mu lako tau. Kemalako ungato’ sialla'mu lako tau si 2m, tae' siako lanna basa tibissi'na elo'na tau. 1 2m-0,5m Haaachii!! Kedeenko ummita tau to'ko'/Koroan/masaki, malako uppokau' susi te'te: Benganni kain petutu' puduk solamu. Anna malara unjakai padanna rupa tau. ke to'ko'i deen sia kain petutu'  puduk ullawai. 2 Kurresumanga' “SROOT” Ba’tu’ Deen tau tae' masaki palelean. Appo’ parallu unjakai kalena. Kedeen mi tau nalelei saki ia to'o Ke ikitai tanda-tandana, susu to tae' nabasa saki palelean. Biasanna napokau' tau buda, mapianna ake' tae'ki' si ko'bon-ko'bon dolo lalan kamaroasan, anu' tae' issan benanna masaki ba'tu' to maleke. Parewa dapo' To maleke Pettoean kereta Pa'temmesanna lift Tissu Tanggi' kaca Parewa digital Sallianna petutu' puduk Pettoean eran Balao Pattuli' Pettoean ba'ba Limanna tau Moi to Susi o, biasa wai elo'na tau mekke'pe' lako… Mittu'mu to'o mala ko nabasa saki palelean ba'tu' saki korona. Ba'tu' lindona solah-solahmu tomusikadappisan Urussa' mata Anna ke' tae' musengaja urrumbu parewa-parewa susi tomai, anna urrumbu boi lindomu, Mesa'ri pa'pokausan marrasana mala ipokau ke moraiki uppa'dei saki palelean iamo ke' ibasei uppake sabung anna  cukka. Anu' ia to'o saki palelean mala masaeng mekke'pe' lako parewa- parewa susi tu mai Sabung  Adi' ke malai, pa'pokausan mapia uppeula'i ki pellaoan marrasa dio te'e. Basei pake' sabung lambi’ ia to'o Sabung Sikku Damo urrumbu lindomu (ba'tu' lindona tau senga'). Appo' ke marru tae’ mi musara basei dolu limammu pake' sabung. Susi nanian “Tanete Sandapang” ipenani penduan. Kale dokkona kanuku Lambi' dua pulo detik Alla' alla'na rakka' lima Basei boko' lima Umbanakua carana umbasei lima lambi’ barassi? Appo' ke' manda' irumbu, damo mataku'. Mati'pa' ko umbasei limammu pake' sabung. Damo rumbui sallianna kain petutu' puduk. Natibissikki wai elo' Saki mala membea' illalan kain petutu' pudukta ke marru masaemi ipake. Tibemi kain petutu' pudukmu ke bureremi. Damo pake' kain petutu' puduk ke melawemi sangallo. Pake' i sendo' nasuan Ana' Ambe' Indo' Kana' upakeko handu'mu tae' mala musibala'-bala'i. Damo sola-soalai parewa kakumandean, tanggi’, anna handu'. Anu’ tae' ko mala urrumbu lindo  uppake siikku kalemu. Ade' pokau' i mala raka, tae' raka mala. Kemalai, sikkummu ba’tu’ boko’mu mupake umbukka' anna uttutu' ba’ba. Banua Ke manda' moko lao mallai lalanmai banua Ke ta’e poko kumande Basei tarru' limammu pake' sabung... Kasundunanna Sabung Jakai kalemu ndana' masakiko! Jakai kalemu ndana' masakiko! Sabung Bacai pellaoan mapia to ituli' dengena' yao! "This animation shows how far your sneeze can actually travel" by Chia Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020) "The Wuhan Virus: How to stay safe", by Laurie Garrett, in Foreign Policy, Report. (Jan 25, 2020) "How to avoid the coronavirus? Wash your hands", by Elizabeth Rosenthal, in the New York Times, Opinion (Jan 28, 2020) Parallu iperangi'I to'o napokadanna mittu'na sa' dotto': Keterangan tambahan: Tindakan pencegahan dalam bentuk komik ini sangat efektif untuk mencegah penularan penyakit umum lainnya, seperti flu dan pilek, dan harus diterapkan dalam kehidupan sehari-hari, bahkan ketika tidak ada wabah. Referensi: lnformasi dalam komik ini dibuat berdasarkan pemahaman COVID-19 hingga 28 Februari 2020, dan sebagian besar diambil dari tiga referensi ini.   https://www.nytimes.com/2020/01/28/opinion/coronavirus-prevention-tips.html https://foreignpolicy.com/2020/01/25/wuhan-coronavirus-safety-china/ https://www.businessinsider.com/how-far-sneeze-cough-germs-can-travel-2018-10 Informasi Tambahan Komik dalam bentuk PDF dapat diunduh di sini: https://gumroad.com/weimankowart  Pedoman Menyebarkan Komik Komik ini dapat dibagikan secara gratis melalui media daring, atau melalui Whatsapp dan Telegram, dan dapat diunduh secara gratis untuk dicetak dalam bentuk poster untuk penggunaan pribadi atau sebagai materi edukasi di rumah, sekolah, dan tempat kerja. Saat membagikan komik ini, ingat 3 hal berikut: 1) Dilarang mengedit gambar komik yang akan dibagikan. 2) Komik ini tidak dapat diperjualbelikan. 3) Jika dibagikan di media sosial FB, cantumkan kredit pengarang dengan menyebut @weimankowart, di IG dengan menyebut @weimankow (IG), atau mencantumkan tautan ke instagram.com/weimankow Untuk penggunaan lainnya, silakan hubungi: comicsforgood@gmail.com Saki palelean ba'tu' saki korona        ","About Coronavirus                                                                                      About Coronavirus  Diterjemahkan ke dalam Bahasa Kalumpang oleh Nikolaus. Versi bahasa Inggris dibuat oleh Paul Frank (www. sil-lead.org), versi Bahasa Indonesia oleh Nazra Lutfiana (Unicef Indonesia), Penerjemahan dalam bahasa daerah : https://suluh.org Created by Weiman Kow, instagram: weimankow    ",,
