source,translated,question,answer
"Yé maná nyɛɛ́ lí yí li kɔlɓan la KOLÓNÁVÍLUS tɔ nɛ́ KOVID-19","Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19",,
"","",,
"Ɔku ví Kamelūn anyūú Li kɔpɔ lí Bíbɛl la li yéglɛ lí lícii la li sɔ́ŋgɔ","Association Camerounaise pour ﻿la Traduction de la Bible et l'Alphabétisation",,
"","",,
"","Les informations contenues dans ce livret ﻿proviennent du site internet ﻿de l'Organisation Mondiale de la Santé (OMS). https://www.who.int/fr/home",,
"","Toutes les photos appartiennent à CABTAL, sauf ﻿p.2 à Pixabay ﻿p.6 (boucher) et p.7 (foule) à Wikimedia Commons ﻿p.7 (gens regardant la TV) à United Nations (Photo # 616869 UN Photo/Marco Dormino)  Contacts CABTAL  Web : www.cabtal.org Mail : info_cabtal@cabtal.org  Tel : (237) 699 833 535 WhatsApp : (237) 654 439 659  B.P. : 16 550 Yaoundé, Cameroun",,
"                   Mimú mí mikwɛl ","                                                  SOMMAIRE",,
"- Kolónávilus - Ɓot ɛ ŋga ɓéé lí byee - Bimunɛ bí ɔ́kɔn - Eloohan yé kolónávilus - Nɛ́ láá ɓá nyɛɛ́ yɔ li sɛ́mbɓan é ? - Yéé yá nyɛɛ́ lí ɓɔŋɓɛ kí ɔ́kɔn vú lóolé mut é ? - Enánda-biɓaŋgá bí nga léet ","- Coronavirus - Personnes vulnérables - Symptômes - Transmission du coronavirus - Comment se protéger? - Que faire en cas de contamination? - Définition des mots difficiles",,
"p.2 p.3 p.4 p.5 p.6 p.7 p.8","p.2 p.3 p.4 p.5 p.6 p.7 p.8",,
"Kolónavilus, nyɔ́ a ŋga yáŋlɛ ki nɛ́ KOVID-19, a lɛ mɔɔ́n nsɔ́ŋ á péná. Kaa ŋgele ɔsú a kɔ́tɓɛ́nɛ́ (ɛ́nyéné) á Kína á ɔ̄lɔ́ 31 mí sóŋ mbaga á m̀bú 2019. Bimunɛ byɛ́ɛ́ bí ɔ́kɔn bíg punan la bí bí ŋkɔŋɓɛ, ag la li ól lí ɓot ɓá kí ɔ byée ɓɔ la ŋguu. Kolónávílus a cāmán á bíkombo ŋgandag á ŋkɔŋ-á-sí. Ɛ́ ŋgá yílɛ ɓé ápah víŋ ɔkɔn vá sɔ́léne.","Le coronavirus, aussi appelé COVID-19, est un nouveau virus. Il a été signalé pour la première fois en Chine le 31 décembre 2019. Il a des symptômes semblables à ceux de la grippe et peut entraîner la mort dans certains cas graves. Il est répandu dans de nombreux pays dans le monde entier. L’origine de la maladie n’est pas encore connue.",,
"Mmáŋ mí ɓot","Personne âgée",,
"Ɓakɔn á m̀mím  tɔ ɓakɔn akɔn á ŋga téeŋgɛ m̀mím","Personne cardiaque ou souffrant de maladie",,
