source,translated,question,answer
"What you need to know about the CORONAVIRUS or COVID-19","Səkəŋ tə taŋ kəsəŋ a talaŋ məc tə KORONAVIRUS səku KOVID-19",,
"","",,
"","Association Camerounaise pour la Traduction de la Bible et l'Alphabétisation",,
"","",,
"","",,
"","",,
"                    SUMMARY","           TALAŊ TƏ ZLƏGAM IYI",,
"- Coronavirus  - Vulnerable people - Symptoms - Transmission of coronavirus - How to protect yourself - What to do in case of contamination? - Definition of some difficult words ","- Koronavirus - Hidi məkul kə jaŋ məc taŋ bərtiɗ - Kətəf kəsəŋ məc taŋ - Zlaŋ tə məc tə Koronavirus - Kə njar talaŋ vaŋgay? - Ŋgə məc tə kə məlah za haŋ kə ɗal vaŋgay? - Zləgam mə tuwah kə səŋ",,
"p.2 p.3 p.4 p.5 p.6 p.7   p.8","p.2 p.3 p.4 p.5 p.6  p.8 p.9",,
"Coronavirus, also known as COVID-19, is a new virus. It was first reported in China on 31 December 2019. It has flu-like symptoms and can cause death in some severe cases. It is widespread in many countries around the world. The origin of the disease is not yet known.","Koronavirus  Koronavirus waciŋ, iyi ndi yə kə Kovid-19 baha, məc lawayaŋ. Tiz taŋ a wa nə hayak tə Sinə za ŋ təra tə Nəwel, va 2019. Kətəf kəsəŋ məc tə Koronavirus a njə ŋgə məc tə kəsiɓir. Kul kə jə hidi, ŋgə mə vahi za kəsəm. Mə cakwayi za ŋ məŋ hayak bədakaytaŋ. Wa tə məc taŋ njə vaŋgay hidiyi səŋ səku.",,
"Elderly person","Məsər hidi",,
"Person with a heart condition or disease","Hidi tə bə məc tən nəf səku Hidi tə bə məc tə kəsəm",,
"Vulnerable people People of all ages can become infected with this new virus. The elderly and people with pre-existing conditions (such as asthma, diabetes, heart disease, high blood pressure) seem more likely to become seriously ill from this virus.","Hidiyi məkul kə jaŋ məc taŋ bərtiɗ  Ka vi kul kə jaŋ məc lawayaŋ taŋ. Məsər hidiyi  a bə hidiyi tə bə məc parpar iyi məna : asma, məc tə sukar, məc tən nəf, taŋsiyoŋ, ŋ hidiyi wa, məc taŋ ŋ kə ɗalaŋ tə tuwah didiya.",,
"Fever Fatigue","-Talaŋ kərap -Təɓəl",,
"Dry cough Muscle aches and pains","-Kərcah mə holhol -Kəsəm dəm bədakaytaŋ",,
"Symptoms The symptoms of a coronavirus infection are similar to those of the flu: fever, dry cough, muscle aches, fatigue. Some patients have pain, nasal congestion, runny nose, sore throat, or diarrhea. Some people, although infected, have no symptoms and feel fine. Most people recover without needing any special treatment.","Kətəf kəsəŋ məc taŋ  Kətəf kəsəŋ məc taŋ a njə məna tə kəsiɓir: talaŋ kərap, kərcah mə holhol, kəsəm dəm bədakaytaŋ, təɓəl. Hidi mə daldal məndiyi, iyi ndi zlim tuwah ŋ kəsəm tətaŋ, a ndi nak cur, cur a ndi kwar, mə ngərləm ndi dəm abə ŋvəla. Hidi məndiyi iyi bə məc taŋ ama kətəf kəsəŋ məc taŋ ɗasəku iyi ɗamɗama. Njə baytaŋ tə hidiyi ndi mbəl tə taŋ matak mənjivek mə səŋsəŋ.",,
"Person with a cough","Hidi mə ndi kərcah",,
"Transmission of coronavirus COVID-19 is transmitted by people carrying the virus. When a sick person coughs or sneezes, they expel droplets through their nose or mouth. If a person breathes in these droplets, they can become infected with the coronavirus. If a person touches an object infected with these droplets and then touches their eyes, nose or mouth, they can also become infected.","Zlaŋ tə məc tə Koronavirus  KOVID-19 a ndi zlana arə hidi lə məc tə virus za. Ŋge hidi tə bə məc taŋ a kərcah ra, seku a ɗə gwel ra, kərcah abə məzligiŋ mə ndi ndah nə ma abə cur ŋgəŋ za. Ŋge hidi kə sliɓ kərcah abə məzligiŋ tə hidi lə koronavirus tə za, ŋkə zlanaŋ taŋ. Ŋgə hidi kə mbəlem səkəŋ tə bə məc tə koronavirus za, abə duwuŋ mbeŋ kə mbəlem nje, cur seku ma ŋgəŋ, ŋkə məl taŋ.",,
"How to protect yourself","Kə njar talaŋ vaŋgay?",,
"1. Avoid touching eyes, nose, mouth.","1. Hineŋ gər kə mbəlem nje, cur abə ma səku.",,
"2. Wash your hands frequently with soap and running water. Then dry them with a clean towel.","2. Hineŋ baŋ ra abə yim mə kwarkwar abə sabuna. Abə duwuŋ taŋ hineŋ takwaɗ ra ka abə məsər rəkut tə kweɗek.",,
"3. Cough and sneeze into the crook of your arm. ","3. Hineŋ kə kərcah abə kə ɗəgwel a gədaŋ toktokos ra.",,
"4. Avoid eating raw meat and touching live animals.","4. Hineŋ gərə kə ɓam zli tə bə nje səku. Hineŋ njar talaŋ tə kineŋ abə zli damu abə tə idiyi.",,
"5. Keep at least one meter away from a person who is cou- ghing or sneezing. ","5. Hinəŋ njə gudək gudək səkəŋ tə zlak ngaz ŋta abə hidi məndi kərcah abə məndi ɗəgweliyi. ",,
"6. Avoid shaking hands. Greet each other with a nod or a verbal greeting.","6. Hinəŋ gər kə ɗe mbeli abə ra səku. Hinəŋ kə kaf ra kə ɗə mbeli seku abə ma.",,
"7. Avoid gatherings. ","7. Hinəŋ gər kə tos didiya səku.",,
"8. Restrict movement.","8. Hinəŋ gər kə tal kafkay kafkay səku.",,
"9. Keep informed and verify the source of information.","9. Hineŋ teh zləm ŋ ləbar tə məc taŋ məna iyi kə giz ra.",,
"What to do in case of contamination? If you have symptoms: - Avoid contact with other people. - Stay at home. - Call 1510 and follow the doctor's instructions. Other possible numbers:","Ŋgə məc tə kə məlah za haŋ kə ɗal vaŋgay?  Ŋgə hinəŋ kəsəŋ za hinəŋ bə məc taŋ : - Hinəŋ gər kə njə bər hidiyi səku. - Hineŋ nja kə ida tə kineŋ. - Hineŋ ɗefeŋ ma ŋ 1510 abə hineŋ zeɓ mə tə dokter iyi. Lamba par iyi baha :  ",,
"699 279 622 675 308 373 698 423 929 655 728 884 670 713 979","699 279 622 675 308 373 698 423 929 655 728 884 670 713 979",,
"699 933 725 677 429 357 699 986 740 676 466 797 670 113 761","699 933 725 677 429 357 699 986 740 676 466 797 670 113 761",,
"To date, there is no cure for COVID-19, but authorities are continuing research to find a suitable treatment. Everyone must be responsible and take the right steps to protect themselves and those around them.","Ha mənje weciŋ, mənjivek kə mbəl hidi tə bə Kovid-19 ɗasku, ama dokter iyi gər mənjivek tə ra kə lim kə mbəl hidiyi.  Ka vi mə məl bərŋgəzl ŋgəŋ kə njar talaŋ ŋgəŋ abə hidiyi bədakaytaŋ.",,
"Definition of some difficult words  Asthma: chronic lung disorder Contamination: infection Diabetes: disease that occurs when the body can't use glucose normally Flu: cough, influenza Infected: affected, touched Infection: disease Instructions: direction, information Patient: person under health care Pre-existing conditions: long-term disease Runny nose: excess nasal drainage Symptoms: signs of illness Treatment: cure, medication Virus: disease agent Vulnerable: defenseless, exposed","Zləgam mə tuwah kə səŋ   Asma: məc kə nəp abə tuwah. Zeɓ ma: zeɓ mə tə dokter iyi. Məc tə sukar: məc tə sukar didiya ŋ bəmbəz. Kwar tə cur: məc mə ndi vəl kwar tə cur. Daldal: hidi tə bə məc taŋ. Kəsiɓir: məc, kəsiɓir. Taŋsiyoŋ: məc mə ndi tak bəmbəz kə kwar kəsəm ɗamɗama. Məc: məc mə gaygay mə ndi zlaŋ didiya. Hidi mə daldal: hidi tə ɓe məc. Mə ndi vah: məc mə tak tok Virus: mə ndi vəl məc taŋ. Kukuɗ: ɓəɓəleŋ ɗasku.",,
"","",,
