source,translated,question,answer
"What you need to know about the CORONAVIRUS or COVID-19","Aju mīi mpɛ epɔŋtée á lezhɛ̄ ánɛ agɔ zīi mɛ́ tɔ́ŋɔ lɛ Kolonavilwis ká Kovid-19",,
"","",,
"","Association Camerounaise pour la Traduction de la Bible et l'Alphabétisation",,
"","",,
"","",,
"","",,
"                    SUMMARY","                      METHŪ MENU",,
"- Coronavirus  - Vulnerable people - Symptoms - Transmission of coronavirus - How to protect yourself - What to do in case of contamination? - Definition of some difficult words ","-Agɔ zīI mɛ́ tɔ́ŋɔ lɛ Kolonavilwis -Epuɔ pīi agɔ mɛ́t á gákne ŋkó ánɛ pɔ́p -Metswitɛ́ agɔ -Kolonavilwis a koó ánɛ ŋiŋ lɛ akɔ̄ ? - Ŋiŋ a gɔ lʉɔʼte agɔ mɛ́t é lɛ akɔ̄ ? -Agɔ mɛ́t á pikɛ te ŋkó ánɛ ŋiŋ ŋgaŋ á ghʉ lɛ akɔ̄ ? -Lekyakte mekem ashuŋe",,
"p.2 p.3 p.4 p.5 p.6 p.7   p.8","p.2 p.3 p.4 p.5 p.6  p.8 p.9",,
"Coronavirus, also known as COVID-19, is a new virus. It was first reported in China on 31 December 2019. It has flu-like symptoms and can cause death in some severe cases. It is widespread in many countries around the world. The origin of the disease is not yet known.","Agɔ zīI mɛ́ tɔ́ŋɔ lɛ Kolonavilwis Kolonavilwis, ká lɛ Kovid-19 á si ŋgɔ́ agɔ mmɔʼ meŋ agá acʉchʉ lɛ, tɛ ŋgɔ yīi mɛ́ zi ŋgɔ lelɔk menēk njʉ́ɔ mɛ wɛ. Mɛ́ ke zi á lejʉ́ɔ agɔ jʉɔ mɛ́t ánɛ nzoknzem aleʼé ánɛ saŋ aklísimi ánɛ ŋguʼ zīi e ke tɔɔ́k lɛ (2019), á alāʼ zīi mɛ́ tɔɔ́ŋ lɛ Shʉ́ne. Agɔ jʉɔ mɛ́t á zitē páʼ afaʼte lā, ḿbiŋ nzyɛ́tte tɛ ŋgɔ́ yīi á gɔ zwhí á ŋiŋ. Agɔ jʉɔ mɛ́t á ndáʼ ŋkó ánɛ epuɔ ánɛ melāʼ tɛ nzáne á ntē ŋgɔŋ. Mɛ́ zɛɛ́t te zhɛ́ á ajuʼ zīi agɔ jʉɔ mɛ́t á fhɔɔ éwú.",,
"Elderly person","Epuɔ pīi pɔ́ é tswhi",,
"Person with a heart condition or disease","Epuɔ pīi pɔ́ wɛɛ̄ agɔ ntē mbɔɔ emɔ̄ʼ megɔ",,
"Vulnerable people People of all ages can become infected with this new virus. The elderly and people with pre-existing conditions (such as asthma, diabetes, heart disease, high blood pressure) seem more likely to become seriously ill from this virus.","Epuɔ pīi agɔ jʉɔ mɛ́t á gákneé ŋkó ánɛ pɔ́p  Acʉchʉ zīi á yáa agɔ jʉɔ mɛ́t á gɔ kó ánɛ ŋiŋ ntsem. Táʼ epuɔ pīi pɔ́ tswhí, mbɔɔ epuɔ pīi emɔ̄ʼ megɔ é ánɛ pɔ́p, páʼ afʉʼ mbʉp, páʼ diabɛt, páʼ megɔ ntē, pá taŋsíɔŋ lā, acʉchʉ zīi á ya agɔ jʉɔ mɛ́t á gákne ŋkó ánɛ pɔ́p.",,
"Fever Fatigue","-Nnɛ̄t -Lekā",,
"Dry cough Muscle aches and pains","-Letswīk azō á letó -Ejʉʼ nnɛ̄t á lezāŋ",,
"Symptoms The symptoms of a coronavirus infection are similar to those of the flu: fever, dry cough, muscle aches, fatigue. Some patients have pain, nasal congestion, runny nose, sore throat, or diarrhea. Some people, although infected, have no symptoms and feel fine. Most people recover without needing any special treatment.","Metswitɛ́ agɔ Agɔ zīi mɛ́ tɔ́ŋɔ lɛ Kolonavilwis á ziī páʼ afaʼte lā : Nnɛ̄t á lekɔʼ á ŋiŋ, á ŋiŋ letswik, ŋké ntswík páʼa azō á letó. Ejʉʼ  nnɛ̄t á letsite, á ŋiŋ lekā.  Ejʉʼ nnɛ̄t mmɔ̄ʼ epuɔ é zaáŋ, mezhō mmɔ̄ʼ epuɔ é toó, mezhō mmɔ̄ʼ epuɔ é tsóh, agāk mmɔ̄ʼ ŋiŋ á záŋ, levem é khu mmɔ̄ʼ epuɔ. Acʉchʉ agɔ jʉɔ mɛ́t á kó ánɛ mmɔ̄ʼ epuɔ, pɔ́ piŋ mbú te mmɔ̄ʼ metsyate agɔ mɛ́t tswi, pɔ́ naŋ ŋgɔ́ áa meteté.  Agɔ jʉɔ á koó ánɛ mmɔ̄ʼ epuɔ, pɔ́ gakne ntē té gɔ́ yīi mɛ́ tswhi mbɛ́t á wɔ́p.",,
"Person with a cough","Ŋiŋ yīi a á si ntswíkɛ",,
"Transmission of coronavirus COVID-19 is transmitted by people carrying the virus. When a sick person coughs or sneezes, they expel droplets through their nose or mouth. If a person breathes in these droplets, they can become infected with the coronavirus. If a person touches an object infected with these droplets and then touches their eyes, nose or mouth, they can also become infected.","Kolonavilwis a koó ánɛ ŋiŋ lɛ akɔ̄ ?  Ŋiŋ yīi acʉchʉ agɔ jʉɔ mɛ́t ánɛ yí, a gɔ nnéŋ  agɔ jʉɔ mɛ́t ánɛ ŋiŋ. Ŋiŋ yīi agɔ jʉɔ mɛ́t ánɛ yí, á lɛ ntswík, ká ntswákne, mekī é fhó á nchu yí ŋkyɛ́t, ká mezhō á lefhō á lezhō yí ŋkyɛ́t, ŋ́gɔ́ yi é kyɛte épúp, ŋkó á nnɛ̄t ŋiŋ, agɔ jʉɔ mɛ́t á lɛ ŋkó ánɛ ŋgaŋ. Ŋ́gɔ́ yīi ŋiŋ a pfeŋɛ aju mīi mekī mɛ́t ká mezhō mɛ́t é kyɛ́t nnáŋ éwú, ḿbiŋ ndɔ̄k mbū mí mpfēŋ menēk mí, ká nchu yí, ká mezhō mí, agɔ jʉɔ mɛ́t á lɛ ŋkó ánɛ yí.",,
"How to protect yourself","Mɛ́ gɔ lʉɔʼte agɔ jʉɔ mɛ́t lɛ akɔ̄ ? ",,
"1. Avoid touching eyes, nose, mouth.","1. Páʼ á wú á lepfeŋ menēk mú, mbɔɔ mezhō mú, mbɔ nchu wú.",,
"2. Wash your hands frequently with soap and running water. Then dry them with a clean towel.","2. Sok mbū mú efʉʼ metsem mé ntshi yīi é si ncúu mbɔɔ mé asōk. Ńdɔ̄k á tɛ́wɛlɛ yīi a á si ndánɛ, tɛ́ ntsíʼne.",,
"3. Cough and sneeze into the crook of your arm. ","3. Tswíkɛ kɛ́ á letswakne á ntē atswiʼté apū jú. ",,
"4. Avoid eating raw meat and touching live animals.","4. Páʼ á wú á lepfɛt mbap mbēk mbɔɔ á lepfeŋ mena pīi é nte.",,
"5. Keep at least one meter away from a person who is cou- ghing or sneezing. ","5. Ndɛʼ o tshi mbáte á ŋiŋ yīi a á si ntswíkɛ ká ŋiŋ yīi a á si ntswáknɛ, á mbɔŋ ŋgɛ́ tɛ míta a á fakne á wɛ yí. ",,
"6. Avoid shaking hands. Greet each other with a nod or a verbal greeting.","6. Ndɛʼ o tsaʼte á ŋiŋ tɛ ntswí á apū zí. O nɔŋ ŋgɔ á tsaʼté ŋiŋ, o lɔk nchu ntsáʼte á yí, ká á wú á lekɔʼne apū, ká á wú á lemʉʼte athū.",,
"7. Avoid gatherings. ","7. Lʉɔʼte á ajʉʼ zīi epuɔ menɔŋ é wú tɛ nza.",,
"8. Restrict movement.","8. Ndɛʼ o zeŋ ŋgʉ̄ɔ á ajʉʼ efʉʼ metsem.",,
"9. Keep informed and verify the source of information.","9. Zwíʼtɛ njúʼ páʼ mɛ́ si eshúŋɔ páʼ agɔ jʉɔ mɛ́t á si nziŋɛ épúp.",,
"What to do in case of contamination? If you have symptoms: - Avoid contact with other people. - Stay at home. - Call 1510 and follow the doctor's instructions. Other possible numbers:","Agɔ jʉɔ mɛ́t á pikɛ tɛ ŋkó ánɛ ŋiŋ ŋgaŋ á ghʉ páʼ lā ? Ŋiŋ a júʼɔ mentswitɛ́ agɔ jʉɔ mɛ́t : -Á pá á yí á legɔ̄ á ajʉʼ zīi epuɔ menɔŋ é éwú. -Á náŋ á mba yí. -Á tɔ́ŋ ánɛ nzwiŋ atɔŋɔ-mvéŋ wuɔ 1510, ńjúʼ páʼ medɔkta é shúŋ á yí épúp. Emɔ̄ʼ menzwiŋ atɔŋɔ-mvéŋ mīi a gɔ tɔ́ŋ éwú emuɔ páʼa :",,
"699 279 622 675 308 373 698 423 929 655 728 884 670 713 979","699 279 622 675 308 373 698 423 929 655 728 884 670 713 979",,
"699 933 725 677 429 357 699 986 740 676 466 797 670 113 761","699 933 725 677 429 357 699 986 740 676 466 797 670 113 761",,
"To date, there is no cure for COVID-19, but authorities are continuing research to find a suitable treatment. Everyone must be responsible and take the right steps to protect themselves and those around them.","Tɛ ntshí ánɛ ayaʼa, mɛ́ zɛ́t te wɛ afhɔ á lelɔk mbɛ́t agɔ jʉɔ mɛ́t, táʼ mɛ́ ke ŋgɔ́ á si efāʼa meshhʉ̄ páʼ mɛ́ gɔ ghʉ épúp tɛ́ mbɛ́t. Tɛ mbɔ awɔ́ lɛ a pɔŋteé á lewɛ atswhī mbɔŋ, ńdɔk mba á athū nnɛ̄t zi, ńzéŋ ntswíte ŋgʉ̄ŋ zi á lelʉ̄ɔʼte agɔ jʉɔ mɛ́t.",,
