source,translated,question,answer
"Ri q'axomal nub'än ri COVI D19","Li kaqi yajel",,
"","",,
"","Xjolomil li Tzolok re Watemaal Xna'il Xjolomil li Tzolok sa' Ka'paay chi Aatinob'aal",,
"","",,
"","",,
"","",,
"","978-9929-794-28-3",,
"","",,
"¿Achike nb'än ri coronavirus chiqe?","B'ar wankeb' li yajel naxk'e li kaqi yajel",,
"Chaqi'j ojob'.","Ojb'il",,
"Man yatikïr ta najq'aj awuxla'.","Ch'a'ajkilal re musiq'ak",,
"Yalan k'atän chawij.","Tiq",,
"Yalan katän chawij.","Tiq",,
"Nuya' k'atän chuqa tew chawij.","Ke",,
"Nq'axo' ri ach'akul.","Rahil tib'elej",,
"Nq'axo' ri ajolom.","Rahil jolomej",,
"Nqa'xo' ri aqul.","Rahil sa' kuxej",,
"Man jun chik nasëq.","Ink'a' chik tat-utz'u'q",,
"Man jun nrajo' natij.","Ink'a' chik taaweek'a xsahil li tzekahemq",,
"Totojtob'enik","Il maa xa taw ru",,
"¿Achike nub'än ri coronavirus chiqe?","K'a' ru yajel naxk'e li kaqiyajel",,
"nuya' ütz qawa'in","Rahil oq",,
"nuya' k'atän chiqij","ojb'il",,
"nuya' ütz qak'aslem","rahil sa' sa'ej",,
"¿Achike yalan nub'än re coronavirus chawe'?","k'a' ru chi yajelil naxk'e li kaqi yajel",,
"ruq'axomal aqul","rahil tib'elej",,
"nuya' akikoten","wara",,
"nuya' ütz asamaj","rahil sa' u",,
"Re tzij k'o chupam re wuj re ja re wawe' xk'an wi. https://espanol.cdc.gov/coronavirus/2019-ncov/symptoms-testing/symptoms.html  (abril 2020)","",,
"Ri q'axomal nub'än ri COVI D19    Ri q'axomal nub'än ri COVI D19       ¿Achike nb'än ri coronavirus chiqe?  Chaqi'j ojob'.  Man yatikïr ta najq'aj awuxla'.  Yalan k'atän chawij.  Yalan katän chawij.  Nuya' k'atän chuqa tew chawij.  Nq'axo' ri ach'akul.  Nq'axo' ri ajolom.  Nqa'xo' ri aqul.  Man jun chik nasëq.  Man jun nrajo' natij. Totojtob'enik ¿Achike nub'än ri coronavirus chiqe? nuya' ütz qawa'in nuya' k'atän chiqij nuya' ütz qak'aslem    Totojtob'enik ¿Achike yalan nub'än re coronavirus chawe'? ruq'axomal aqul nuya' akikoten nuya' ütz asamaj     Re tzij k'o chupam re wuj re ja re wawe' xk'an wi. https://espanol.cdc.gov/coronavirus/2019-ncov/symptoms-testing/symptoms.html  (abril 2020)  ","Li kaqi yajel  Xjolomil li Tzolok re Watemaal Xna'il Xjolomil li Tzolok sa' Ka'paay chi Aatinob'aal  Li kaqi yajel     978-9929-794-28-3  B'ar wankeb' li yajel naxk'e li kaqi yajel  Ojb'il  Ch'a'ajkilal re musiq'ak  Tiq  Tiq  Ke  Rahil tib'elej  Rahil jolomej  Rahil sa' kuxej  Ink'a' chik tat-utz'u'q  Ink'a' chik taaweek'a xsahil li tzekahemq Il maa xa taw ru K'a' ru yajel naxk'e li kaqiyajel Rahil oq ojb'il rahil sa' sa'ej    Il maa xa taw ru k'a' ru chi yajelil naxk'e li kaqi yajel rahil tib'elej wara rahil sa' u       ",,
