source,translated,question,answer
"What you need to know about the CORONAVIRUS or COVID-19","Sá ɓí dālā nɛ ɛgú tɔ̂p pɔ́s ɛkpay ɛ ɓɛ́ jōō naá Kolóna ɔ, ɓɛ̀ ɓākā jōō naá Kovi-19 ɔ",,
"","",,
"","Gós ɓót ō ɗí tí ɛtil Mɛkaná mɛ́ Zɛ́mb nɛ ɛlyakɛl ɓót Ɛláŋ nɛ Ɛtil tí ilüii ɓyɔ̄ɔ̄ ɓīk",,
"","",,
"","",,
"","",,
"                    SUMMARY","Mɛkanā mák maa ɓɛ tí ɛsu lɛ ɛ́ɓɔm. Thɔk ɛ, nɔl mōt āā dála nɛ ɛcenj sinɔŋ, gu thɔk ɛ da nyɛl ɛɓɛla nɛ mɛ́ ɗyaŋ ta nyɛ̂ ji ɓót ɓa kus mɛkaná mɛték ɓāk. Min mɛ ɓót ɓa símsa nɛ ɛtil isá iték ɓak māā dála ɛɗüisaa.",,
"- Coronavirus  - Vulnerable people - Symptoms - Transmission of coronavirus - How to protect yourself - What to do in case of contamination? - Definition of some difficult words ","- Pɔs ɛ́kpay ɛ kolóna ɓɛ́ ɓákā jóó naá kovi 19 ɔ - Ɓot o ɗí nɛ khul ɛnwɔŋ ɛ́kpay ɛték ɓâk - Ɛdoŋgla pɔ́s ɛkpay ɛ́ kolóna - Mindɛm mi ɛ́kpay - Ɗɛ mót ɗí́ nɛ khul ɛkandɔɔ ɛ́kpay ê - Mot ɛ nɛ khul ɛsá ná tɛ́m ɗí ɛ́ɛ́ nwɔŋ ɛ́kpay ê - Mɛtián mɛ mɛ́kɛ́l mɛ aɗiáɗiá ",,
"p.2 p.3 p.4 p.5 p.6 p.7   p.8","p.2  p.3 p.4 p.5 p.6 p.8  p.9 ",,
"Coronavirus, also known as COVID-19, is a new virus. It was first reported in China on 31 December 2019. It has flu-like symptoms and can cause death in some severe cases. It is widespread in many countries around the world. The origin of the disease is not yet known.","Pɔs ɛ́kpay ɛ kolóna ɓɛ́ ɓákā jóó naá kovi 19 ɔkɛ, ɛ myenj pɔ́s ɛkpay. Ɓa nyɛl ɛmɛt mot nɛ pɔ́s ɛkpay ték ɓɛ Sîn tí ɛlú mɛkám mɛlɛ̄l nɛ ŋgwát mɛ ŋgɔ́n mɛsil mɛ mbú 2019. Ɛkpay ɛtēk lí mɛ̄t mot ɗɛ̌ kɔ́s. Li nɛ khul ɛkend mót ti ɓīl ítɛ́m ɓɛ ɛsüee. Ɛkpay ɛ ték líí dalǎ thund ókanda tí sî nyɛ̂s. Ɓot ɓāā gu gú ɓɛ ɛ́kpay ɛ ték ɛ ɗüis ê. ",,
"Elderly person","Otōmbá",,
"Person with a heart condition or disease","Mot ɗi nɛ ɛkpay ɛ te tí lyém, gu thɔ́k ɗí nɛ līl ɛ́kpay ê",,
