source,translated,question,answer
"What you need to know about the CORONAVIRUS or COVID-19","Jəhay mala away kur səniya hayaŋ ta KORONAVIRɄS mala mbay KOVID–19",,
"","",,
"","Association Camerounaise pour la Traduction de la Bible et l'Alphabétisation",,
"","",,
"","",,
"","",,
"                    SUMMARY","                          YAŊ TA MA",,
"- Coronavirus  - Vulnerable people - Symptoms - Transmission of coronavirus - How to protect yourself - What to do in case of contamination? - Definition of some difficult words "," -Koronavirʉs                            - Nday mala matakwa a wala ce ha de bay - Jəhay mata ŋgərda matakwa vəda ta və ta ndə         - Mazəv nday ta koronavirʉs - Nda ɗal və ɗama?  - Nda gay ɗama mala ka mazəva ma? - Maŋgərda ma hayaŋ ta ma mata cən bay",,
"p.2 p.3 p.4 p.5 p.6 p.7   p.8","p.2 p.3  p.4 p.5 p.6 p.8 p.9",,
"Coronavirus, also known as COVID-19, is a new virus. It was first reported in China on 31 December 2019. It has flu-like symptoms and can cause death in some severe cases. It is widespread in many countries around the world. The origin of the disease is not yet known.","Koronavirʉs  Koronavirʉs, nda  zaliya zacacək KOVID-19, aɗa matakwa mawaya. A hənkeke maleləme taɗa ta shinə ha mewen 31 ta kiya ta mazlam 2019. Aɗa va jəhay ta maŋgərda vəda nde, aɗa maməta nda madama, a zlaha da kəɗa ndə mala ka gay taɗa mahwal hwala. Ka kəzl taɗa mata wudəm a ndəvbay hayaŋ ta wuyak. Nda sən jəhay mala matakwa ɗa a dək vəda tapa bay.",,
"Elderly person","Nday mahala",,
"Person with a heart condition or disease","Nday ma va matakwa mala a hec ta wut ta rəv mala mbay nday mata saw zay ta matakwa",,
"Vulnerable people People of all ages can become infected with this new virus. The elderly and people with pre-existing conditions (such as asthma, diabetes, heart disease, high blood pressure) seem more likely to become seriously ill from this virus.","Nday mala matakwa a wala ce ha de bay Mapay ta ndəmagəda cucəm ma ha yaŋ ta wuyak. Ko wudede, matakwa mawaya nana ɗa a zlaha da jawa ce. Nday ta matakwa va nday mata saw zay ta matakwa ŋgəɗhay (nda matakwa ta ndə mala a shef va wuɗay, matakwa ta sukwar, matakwa mala a hec ta wut ta rəv, matakwa ta membəz mala a hway va wuɗay ta vəɗ ta membəz) a zlaha da kalda ka həda, mala aɗa mahwal hwala ma məta nda matakwa nana.",,
"Fever Fatigue","- Kokwa ha və - Metəɓəle  ",,
"Dry cough Muscle aches and pains","- Ɗəsla mata kwal way - Mehec mata slaw ta və",,
"Symptoms The symptoms of a coronavirus infection are similar to those of the flu: fever, dry cough, muscle aches, fatigue. Some patients have pain, nasal congestion, runny nose, sore throat, or diarrhea. Some people, although infected, have no symptoms and feel fine. Most people recover without needing any special treatment.","Jəhay mata ŋgərda matakwa hay vəda ta və ta ndə Jəhay mata ŋgərda matakwa hay ta koronavirʉs mala a zəv nday nda madama: kokwa maha və, ɗəsla mata kwal way, mehec mata slaw ta və, metətəle. Nday ta matakwa ŋgəɗhay a haca ce ta slaw ta və, hətəŋ makwala, hətəŋ a gay yoyoya, a hec ta maŋgurləm mala mbay huɗ mehede. Nday ŋgəɗhay, matakwa ka zəva ce, ama ko jəŋgəɗ mata ŋgərda vəda mbay, ecə manja ta ce. Ŋgəɗhay ecə ka mbəl ta ce ko mala ecə ka ŋgat mejəf bay.",,
"Person with a cough","Ndə mata caw ɗəsla",,
"Transmission of coronavirus COVID-19 is transmitted by people carrying the virus. When a sick person coughs or sneezes, they expel droplets through their nose or mouth. If a person breathes in these droplets, they can become infected with the coronavirus. If a person touches an object infected with these droplets and then touches their eyes, nose or mouth, they can also become infected.","Mazəv nday ta koronavirʉs  KOVID–19 a zəv nday vaŋ ta nday mala slesləɗ ta matakwa ta və ta ce. Mala ndə ta matakwa a caw ɗəsla mala mbay a caw ɗəshew, madama a dək vaŋ ta hətəŋ, mayaya vaŋ ta maa. Mala ndə ŋgəɗe ka zək madama mala mbay ɗəsla taɗa sa, matakwa ta koronavirʉs a zlaha da zəvana. Mala ndə ŋgəɗe a ɓəla jəhay mala matakwa hapa, a zlaha da zəviya mala ka ɓəl de, hətəŋ va maa.",,
"How to protect yourself","Nda ɗal və ɗama?",,
"1. Avoid touching eyes, nose, mouth.","1. Maɓəl de, hətəŋ va maa mbay.",,
"2. Wash your hands frequently with soap and running water. Then dry them with a clean towel.","2. Mapan haa təmtəm va yim ma heshuwe va sabəlu. Ha dəɓa taɗa matakwaliya va maslaga mapana taɗa.",,
"3. Cough and sneeze into the crook of your arm. ","3. Macaw ɗəsla va ɗəshew mata maŋgəlɓəc ta haa.",,
"4. Avoid eating raw meat and touching live animals.","4. Wa ɗalava ha mandaw slaw ma va de va ma ɓəl jəhay ta majəgənə.",,
"5. Keep at least one meter away from a person who is cou- ghing or sneezing. ","5. Manjay dərəŋ va ndə mata caw ɗəsla mala mbay ɗəslew, wa njay a gana gəɗa gəɗa maləv shək məta ta rəva ta kur. ",,
"6. Avoid shaking hands. Greet each other with a nod or a verbal greeting.","6. Maɗal və ha mazləɓ haa. Wa vaw mbalay va yaŋ mala mbay va megweɗe. ",,
"7. Avoid gatherings. ","7. Maɗal və ha maɓəc va.",,
"8. Restrict movement.","8. Maɗal və ha maŋgway.",,
"9. Keep informed and verify the source of information.","9. Ma paw zləmay ha jəhay mata gay, wa cən ma hayaŋ taɗa teɗeɗe.",,
"What to do in case of contamination? If you have symptoms: - Avoid contact with other people. - Stay at home. - Call 1510 and follow the doctor's instructions. Other possible numbers:","Nda gay ɗama mala ka mazəva ma?  Mala jəhay ta maŋgərda matakwa vəda ta və ta kur nde: - Wa ɗala va ha madərəzlva va nday ŋgəɗhay. - Wa njay tunəm. - Wa zal lemeru nana: 1510, kur da cən jəhay mala ndə ta mejəf a də gwaɗa kur. Lemeru ŋgəɗhay nde zacacək:",,
"699 279 622 675 308 373 698 423 929 655 728 884 670 713 979","699 279 622 675 308 373 698 423 929 655 728 884 670 713 979",,
"699 933 725 677 429 357 699 986 740 676 466 797 670 113 761","699 933 725 677 429 357 699 986 740 676 466 797 670 113 761",,
"To date, there is no cure for COVID-19, but authorities are continuing research to find a suitable treatment. Everyone must be responsible and take the right steps to protect themselves and those around them.","Ha pacəna, nday ka ŋgat mejəf ta mambəl nday ta matakwa ta KOVID-19 ɗa kogwa bay, ama nday ta ŋgomna ecə də hama hama ta ma tuw mejəf ta matakwa ɗa, kowawa da paw de ta və taɗa va nday ma ha sləm taɗa.",,
"Definition of some difficult words  Asthma: chronic lung disorder Contamination: infection Diabetes: disease that occurs when the body can't use glucose normally Flu: cough, influenza Infected: affected, touched Infection: disease Instructions: direction, information Patient: person under health care Pre-existing conditions: long-term disease Runny nose: excess nasal drainage Symptoms: signs of illness Treatment: cure, medication Virus: disease agent Vulnerable: defenseless, exposed","Maŋgərda ma hayaŋ ta ma mata cən bay:    - Asəm: Matakwa mala a ndrəha meshefe. - Ma cəp cəvəɗ: Ma cəp cəvəɗ ta jəhay magwaɗa taɗa ta həda. - Diyabet: Matakwa ta səkwar mala elehe ta membəz. - Madama: Matakwa. - Ipertansiyoŋ: Membəz mala a hway va wuɗay. - Matakwa: Matakwa mata jaw nday ha sləm ma məta. - Mandəra: A zlaha, mandəra. - Jəhay: Jəhay mata ŋgərda matakwa vəda ta ndə. - Mejəf: Zlazlər. - Virʉs: Slesləɗ ta matakwa, matakwa.",,
"","",,
"What you need to know about the CORONAVIRUS or COVID-19    What you need to know about the CORONAVIRUS or COVID-19                           SUMMARY - Coronavirus  - Vulnerable people - Symptoms - Transmission of coronavirus - How to protect yourself - What to do in case of contamination? - Definition of some difficult words     p.2 p.3 p.4 p.5 p.6 p.7   p.8 Coronavirus, also known as COVID-19, is a new virus. It was first reported in China on 31 December 2019. It has flu-like symptoms and can cause death in some severe cases. It is widespread in many countries around the world. The origin of the disease is not yet known.   Elderly person  Person with a heart condition or disease Vulnerable people People of all ages can become infected with this new virus. The elderly and people with pre-existing conditions (such as asthma, diabetes, heart disease, high blood pressure) seem more likely to become seriously ill from this virus.   Fever Fatigue  Dry cough Muscle aches and pains Symptoms The symptoms of a coronavirus infection are similar to those of the flu: fever, dry cough, muscle aches, fatigue. Some patients have pain, nasal congestion, runny nose, sore throat, or diarrhea. Some people, although infected, have no symptoms and feel fine. Most people recover without needing any special treatment.  Person with a cough Transmission of coronavirus COVID-19 is transmitted by people carrying the virus. When a sick person coughs or sneezes, they expel droplets through their nose or mouth. If a person breathes in these droplets, they can become infected with the coronavirus. If a person touches an object infected with these droplets and then touches their eyes, nose or mouth, they can also become infected.     How to protect yourself 1. Avoid touching eyes, nose, mouth.  2. Wash your hands frequently with soap and running water. Then dry them with a clean towel.  3. Cough and sneeze into the crook of your arm.   4. Avoid eating raw meat and touching live animals.     5. Keep at least one meter away from a person who is cou- ghing or sneezing.   6. Avoid shaking hands. Greet each other with a nod or a verbal greeting.  7. Avoid gatherings.   8. Restrict movement.  9. Keep informed and verify the source of information. What to do in case of contamination? If you have symptoms: - Avoid contact with other people. - Stay at home. - Call 1510 and follow the doctor's instructions. Other possible numbers:  699 279 622 675 308 373 698 423 929 655 728 884 670 713 979  699 933 725 677 429 357 699 986 740 676 466 797 670 113 761  To date, there is no cure for COVID-19, but authorities are continuing research to find a suitable treatment. Everyone must be responsible and take the right steps to protect themselves and those around them. Definition of some difficult words  Asthma: chronic lung disorder Contamination: infection Diabetes: disease that occurs when the body can't use glucose normally Flu: cough, influenza Infected: affected, touched Infection: disease Instructions: direction, information Patient: person under health care Pre-existing conditions: long-term disease Runny nose: excess nasal drainage Symptoms: signs of illness Treatment: cure, medication Virus: disease agent Vulnerable: defenseless, exposed  ","Jəhay mala away kur səniya hayaŋ ta KORONAVIRɄS mala mbay KOVID–19  Association Camerounaise pour la Traduction de la Bible et l'Alphabétisation  Jəhay mala away kur səniya hayaŋ ta KORONAVIRɄS mala mbay KOVID–19                                 YAŊ TA MA  -Koronavirʉs                            - Nday mala matakwa a wala ce ha de bay - Jəhay mata ŋgərda matakwa vəda ta və ta ndə         - Mazəv nday ta koronavirʉs - Nda ɗal və ɗama?  - Nda gay ɗama mala ka mazəva ma? - Maŋgərda ma hayaŋ ta ma mata cən bay    p.2 p.3  p.4 p.5 p.6 p.8 p.9 Koronavirʉs  Koronavirʉs, nda  zaliya zacacək KOVID-19, aɗa matakwa mawaya. A hənkeke maleləme taɗa ta shinə ha mewen 31 ta kiya ta mazlam 2019. Aɗa va jəhay ta maŋgərda vəda nde, aɗa maməta nda madama, a zlaha da kəɗa ndə mala ka gay taɗa mahwal hwala. Ka kəzl taɗa mata wudəm a ndəvbay hayaŋ ta wuyak. Nda sən jəhay mala matakwa ɗa a dək vəda tapa bay.   Nday mahala  Nday ma va matakwa mala a hec ta wut ta rəv mala mbay nday mata saw zay ta matakwa Nday mala matakwa a wala ce ha de bay Mapay ta ndəmagəda cucəm ma ha yaŋ ta wuyak. Ko wudede, matakwa mawaya nana ɗa a zlaha da jawa ce. Nday ta matakwa va nday mata saw zay ta matakwa ŋgəɗhay (nda matakwa ta ndə mala a shef va wuɗay, matakwa ta sukwar, matakwa mala a hec ta wut ta rəv, matakwa ta membəz mala a hway va wuɗay ta vəɗ ta membəz) a zlaha da kalda ka həda, mala aɗa mahwal hwala ma məta nda matakwa nana.   - Kokwa ha və - Metəɓəle    - Ɗəsla mata kwal way - Mehec mata slaw ta və Jəhay mata ŋgərda matakwa hay vəda ta və ta ndə Jəhay mata ŋgərda matakwa hay ta koronavirʉs mala a zəv nday nda madama: kokwa maha və, ɗəsla mata kwal way, mehec mata slaw ta və, metətəle. Nday ta matakwa ŋgəɗhay a haca ce ta slaw ta və, hətəŋ makwala, hətəŋ a gay yoyoya, a hec ta maŋgurləm mala mbay huɗ mehede. Nday ŋgəɗhay, matakwa ka zəva ce, ama ko jəŋgəɗ mata ŋgərda vəda mbay, ecə manja ta ce. Ŋgəɗhay ecə ka mbəl ta ce ko mala ecə ka ŋgat mejəf bay.  Ndə mata caw ɗəsla Mazəv nday ta koronavirʉs  KOVID–19 a zəv nday vaŋ ta nday mala slesləɗ ta matakwa ta və ta ce. Mala ndə ta matakwa a caw ɗəsla mala mbay a caw ɗəshew, madama a dək vaŋ ta hətəŋ, mayaya vaŋ ta maa. Mala ndə ŋgəɗe ka zək madama mala mbay ɗəsla taɗa sa, matakwa ta koronavirʉs a zlaha da zəvana. Mala ndə ŋgəɗe a ɓəla jəhay mala matakwa hapa, a zlaha da zəviya mala ka ɓəl de, hətəŋ va maa.     Nda ɗal və ɗama? 1. Maɓəl de, hətəŋ va maa mbay.  2. Mapan haa təmtəm va yim ma heshuwe va sabəlu. Ha dəɓa taɗa matakwaliya va maslaga mapana taɗa.  3. Macaw ɗəsla va ɗəshew mata maŋgəlɓəc ta haa.  4. Wa ɗalava ha mandaw slaw ma va de va ma ɓəl jəhay ta majəgənə.     5. Manjay dərəŋ va ndə mata caw ɗəsla mala mbay ɗəslew, wa njay a gana gəɗa gəɗa maləv shək məta ta rəva ta kur.   6. Maɗal və ha mazləɓ haa. Wa vaw mbalay va yaŋ mala mbay va megweɗe.   7. Maɗal və ha maɓəc va.  8. Maɗal və ha maŋgway.  9. Ma paw zləmay ha jəhay mata gay, wa cən ma hayaŋ taɗa teɗeɗe. Nda gay ɗama mala ka mazəva ma?  Mala jəhay ta maŋgərda matakwa vəda ta və ta kur nde: - Wa ɗala va ha madərəzlva va nday ŋgəɗhay. - Wa njay tunəm. - Wa zal lemeru nana: 1510, kur da cən jəhay mala ndə ta mejəf a də gwaɗa kur. Lemeru ŋgəɗhay nde zacacək:  699 279 622 675 308 373 698 423 929 655 728 884 670 713 979  699 933 725 677 429 357 699 986 740 676 466 797 670 113 761  Ha pacəna, nday ka ŋgat mejəf ta mambəl nday ta matakwa ta KOVID-19 ɗa kogwa bay, ama nday ta ŋgomna ecə də hama hama ta ma tuw mejəf ta matakwa ɗa, kowawa da paw de ta və taɗa va nday ma ha sləm taɗa. Maŋgərda ma hayaŋ ta ma mata cən bay:    - Asəm: Matakwa mala a ndrəha meshefe. - Ma cəp cəvəɗ: Ma cəp cəvəɗ ta jəhay magwaɗa taɗa ta həda. - Diyabet: Matakwa ta səkwar mala elehe ta membəz. - Madama: Matakwa. - Ipertansiyoŋ: Membəz mala a hway va wuɗay. - Matakwa: Matakwa mata jaw nday ha sləm ma məta. - Mandəra: A zlaha, mandəra. - Jəhay: Jəhay mata ŋgərda matakwa vəda ta ndə. - Mejəf: Zlazlər. - Virʉs: Slesləɗ ta matakwa, matakwa.  ",,
