source,translated,question,answer
"Olumbe lwa Korona","Ni Kaini Buoros Altoil Corona",,
"","",,
"","",,
"","Ni MRES deri le molot fe buoros altoil Corona ou wbet-bet kein wan na man hra ydain.",,
"","giet ",,
"","towadio ",,
"","sifuon ",,
"","yloit yse ",,
"","na hra wdain",,
"","na wkaini ",,
"","Buoros ou wbet-bet kein wain fe giet lit-lat ei ",,
"","Ntiek nhenti kat ou kniet lak, se bo nen nbot-bot deri. ",,
"","1",,
"","2m-0,5m",,
"","Atsyeee!",,
"","Mde hra nen nhot na mre wto wdeye, wsiede, wkaini, ofo :",,
"","Hnak masker man ou. Mto masker mlakti wgiet om, bo wsiede afe wdeye yik deri mabri ati, mabe wleliti na man hra yitaren ei. ",,
"","2",,
"","Nai fe na   *srooot*",,
"","AFE, ",,
"","Bo na okom mkaini dait, msiok krek deri masker mabe mleliti om.",,
"","Na oko wkaini wale wak wabri, mahin whok whakta latiot.  Mahin ni kaini om mbet kein whok wata man kdie na man ei. ",,
"","Ma bot ma ntiek nehinti kat na marok, fe hra nan nnok dait latiot na man hra wkain ni kaini oko. ",,
"","finggien ",,
"","na hra wkaini dait ",,
"","ni slon ",,
"","tombol lift ",,
"","tisu ",,
"","met ",,
"","hp laptop ",,
"","mak fot masker msibiele ",,
"","bol wlin ",,
"","maus komputer ",,
"","pulpen ",,
"","slon hrede ",,
"","wna ",,
"","Na wkaini ou wgiet lit-lat ei bo ybat-bat yin:",,
"","bo la nan nkaini fot ni kaini okom.",,
"","sifuon na wat afe, ",,
"","nsifuon afe, ",,
"","De hra nen nokot ni mrem mahin ni eke, ofo giet lit-lat ei bo yse fot nen nna om, fo bo nlak oli nnam mak:",,
"","Mto nen naisi buoros ou wdain ofo, nware ni bol ei yidien sabun afe, yidien pemutih. ",,
"","Buoros ni kaini oko, waheit wase wak ni, wase semfe dait. Wase deri kaide tali mres (24 jam) wak ni man om, ofo wdain.",,
"","Sabun ",,
"","ni kakniet mahot le mkei.",,
"","Mde, nsiwain wata ",,
"","Nware nnai yidien sabun kaide hra ko.",,
"","Na sia ",,
"","Mres:  Nokot amot nsifuon. Nto nokot ofo, nware nnai yidien sabun sba se nokot. ",,
"","Mde hra nen nmenyanyi “Panjang Umurnya” mau lak. ",,
"","nna kdi ei ",,
"","kaide 20 detik ",,
"","nna tofo lalaka ei ",,
"","Nware nna toin sbiele ",,
"","Faf fware fnai ybot-bot yde sie? ",,
"","Nto nokot ofo, nteit rioro amot.  Nware tamli wata nnai yidien sabun. ",,
"","Yei, nnok deri nokot dait masker msibiele om. ",,
"","batet giet lit-lat",,
"","Fe hra nto nsiok lis-lis masker, nware dait, ofo sidiorok ei yfori kaide yrok yik masker mabri. ",,
"","Lak: Mde hra nfe masker kertas om mdahan ofo, nbirikat.  Nnok deri nsiok dait masker mak ngiet ago mewer mahin tali mres. Masker hra not om, nware sba ofo nsiok oli. ",,
"","Nkain wat-wat sendok. ",,
"","wet ",,
"","Tono ",,
"","Teme ",,
"","Nkain wat-wat handok. ",,
"","Tolik: Yei, nsiok sisi dait dan, afe finggien, sendok, handok yidien met. Nkain lok dait. ",,
"","Se bo nna tofo ei ydahan dait, ybot deri. ",,
"","Hat : Nkotiek hrede afe nlak ti hrede madien nna sia afe, madien nkbek. ",,
"","BOL",,
"","mto nain nse wi wat, nhok oli nak bol",,
"","Sba se nat ni eit",,
"","Nware nnai yidien sabun...",,
"","Mahot,",,
"","Sabun",,
"","Naliek si nen se bo nbot-bot deri! ",,
"","Baca tips-tips lainnya pada artikel-artikel di atas!",,
"",""This animation shows how far your sneeze can actually travel" by Chia Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020)",,
"",""The Wuhan Virus: How to stay safe", by Laurie Garrett, in Foreign Policy, Report. (Jan25, 2020)",,
"",""How to avoid the coronavirus? Wash your hands", Elizabeth Rosenthal, in New York Times, Opinion. (Jan 28, 2020)",,
"","Nto ndihar info wat Salo Ingris:",,
"","Keterangan tambahan: Tindakan pencegahan dalam bentuk komik ini sangat efektif untuk mencegah penularan penyakit umum lainnya, seperti flu dan pilek, dan harus diterapkan dalam kehidupan sehari-hari, bahkan ketika tidak ada wabah. Referensi: lnformasi dalam komik ini dibuat berdasarkan pemahaman COVID-19 hingga 28 Februari 2020, dan sebagian besar diambil dari tiga referensi ini. https://www.nytimes.com/2020/01/28/opinion/coronavirus-prevention-tips. htmlhttps://foreignpolicy.com/2020/01/25/wuhan-coronavirus-safety-china/   https://www.businessinsider.com/how-far-sneeze-cough-germs-can-travel-2018-10 Informasi Tambahan Komik dalam bentuk PDF dapat diunduh di sini:  https://gumroad.com/weimankowart Pedoman Menyebarkan Komik Komik ini dapat dibagikan secara gratis melalui media daring, atau melalui Whatsapp dan Telegram, dan dapat diunduh secara gratis untuk dicetak dalam bentuk poster untuk penggunaan pribadi atau sebagai materi edukasi di rumah, sekolah, dan tempat kerja.. Saat membagikan komik ini, ingat 3 hal berikut:  1) Dilarang mengedit gambar komik yang akan dibagikan.  2) Komik ini tidak dapat diperjualbelikan.  3) Jika dibagikan di media sosial FB, cantumkan kredit pengarang dengan menyebut @weimankowart, di IG dengan menyebut @weimankow (IG), atau mencantumkan tautan ke instagram.com/weimankow  Untuk penggunaan lainnya, silakan hubungi: comicsforgood@gmail.com",,
"","",,
"","",,
"","",,
