source,translated,question,answer
"Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19","Ənyʉ̀ a wu diʼi kɨ biʼi kwaʼa ghenə a və dzàŋ nə̀ kolonavalus lə ko COVID-19",,
"","",,
"","",,
"","",,
"","",,
"","",,
"                                                  SOMMAIRE","         Tʉ nyʉ̀ a və diʼi a ŋwàʼlə ghen",,
"- Coronavirus - Personnes vulnérables - Symptômes - Transmission du coronavirus - Comment se protéger? - Que faire en cas de contamination? - Définition des mots difficiles","- Kolonavalus - Nkyi viʼi a kwaʼa ghen ə zi ghə ghaʼ vəwenə - Nchwi shisə - Ji kolona dyàŋə fa tsu - Ji tuʼmə nə̀ wenə wu fa tsu - Kolona koo wɛ̀ é wɛ nɛɛy ghɛ? ",,
"p.2 p.3 p.4 p.5 p.6 p.7 p.8","p.2 p.3  p.4 p.5 p.6 p.8 ",,
"Le coronavirus, aussi appelé COVID-19, est un nouveau virus. Il a été signalé pour la première fois en Chine le 31 décembre 2019. Il a des symptômes semblables à ceux de la grippe et peut entraîner la mort dans certains cas graves. Il est répandu dans de nombreux pays dans le monde entier. L’origine de la maladie n’est pas encore connue.","Kwaʼa kolonavalus a və dzaŋ nə̀ COVID_19, adiʼi kwaʼa fighə a və nzìtə yen a loʼo China a  mətsi nju mùʼ a mewumə ntaʼa saŋ shwayn a ngwʉʼʉ  2019. Nchwisə kwaʼa sense diʼi a ji bʉ alì mu ghə zì ghə zhwi a zhʉ̀ a ghə tosə. Ghə dyaŋtə li a təloʼ no təghoʼo a mbi shèn. Və ko tɨmə kɨ kefo a kə ku kwaʼa ghenə.",,
"Personne âgée","Kəlyɨŋ kə wiʼ",,
"Personne cardiaque ou souffrant de maladie","Wiʼ a ghə kiʼi tyɨm ə zafə ghə",,
"Personnes vulnérables Les personnes de tous âges, y compris les enfants, peuvent être infectées par ce nouveau virus. Les personnes âgées et les personnes souffrant de maladies préexistantes (comme l’asthme, le diabète, les maladies cardiaques, l’hypertension artérielle) semblent plus susceptibles de tomber gravement malades à cause de ce virus.","Nkyi viʼi a kwaʼa ghen ə zi ghə ghaʼ vəwenə  Kwaʼa fighə ghenə ghaʼa viʼ və tokəvə, nə̀ mbvoʼo wiʼ nə vwondyə. Viʼi a və sə diʼ a kəlyɨŋ bènə̀ viʼi a və sə ki təkwaʼa a tə sə zhuŋsə vəwenə diʼi nə̀ kəkesə kəto kə, dabetis tyɨm ə zafə ghə bènə̀ məlyuŋ mə kuʼu mə̀. Alen viʼi kwaʼa ghen zi ghə zhuŋsə vəwenə no nanto. ",,
"- Fièvre - Fatigue","Fibà nə kətʉ kəlɨmləkə Wenə̀ zhwemə ghe",,
"- Toux sèche - Douleurs musculaires","Kekesə ke zɨmkə Zhwuŋ wenə zafə ghə",,
"Les symptômes Les symptômes d'une infection au coronavirus ressemblent à ceux de la grippe : fièvre, toux sèche, douleurs musculaires, fatigue. Certains patients ont des douleurs, une congestion nasale, un écoulement nasal, des maux de gorge ou une diarrhée. Certaines personnes, bien qu’infectées, ne présentent aucun symptôme et se sentent bien. La plupart des personnes guérissent sans avoir besoin de traitement particulier.","Nchwi shisə  Ncwisə kwaʼa kolna sensə diʼi to nə̀ əbʉ, fiba, kəkesə kə zɨmkə əzhuŋ wenə zafə ghə bènə̀ wenə zhwemə ghə. A viʼi vətsevə a kwaʼa ghenə ghaʼ li vəwenə vəwenə zhʉ kezaf, alwi vewenə be shwinkə. alwi vəwenə be dyanə, təbèm tə vəwenə tə be tsuʼu. Ali adʼi a viʼi vətsenəvə ghə ko diʼi a vəwenə a təwen. Vəwenə diʼ to nkàyn ghə ghaʼa  viʼi vətsenəvə vəwenə nè to ko ndiʼi vəwene kɨ li.",,
"Personne qui tousse","Wiʼ a ghə kesə̀",,
"Transmission du coronavirus Le COVID-19 est transmis par des personnes porteuses du virus. Quand un malade tousse ou éternue, il expulse des gouttelettes par le nez ou la bouche. Si une personne respire ces gouttelettes, elle peut être contaminée par le coronavirus. Si une personne touche un objet infecté par ces gouttelettes et si elle se touche ensuite les yeux, le nez ou la bouche, elle peut aussi être contaminée.","Ji kolona dyàŋə fa tsu  Ghə dyàŋə fa viʼi a və sə kiʼ kwaʼa ghenə. Adiʼ a zhʉ a wiʼ a ghə kiʼi kwaʼa ghenə chom ko kesə ghe sakə ə kwen a wu chʉ̀ mu ghe mu dyàŋ. Sətsen wiʼ kum kefo a kə yi sakə tsu ə bə̀ kum chʉ̀ wen ko a wen alwi ko ashɨ ghə dyàŋ. ",,
"Comment se protéger ?","Ji tuʼmə nə̀ wenə wu fa tsu",,
"1. Eviter de se toucher les yeux, le nez, la bouche.","1. Kə a nzaŋsə kumsə alwi wu nə ashɨ wu benə̀ chʉ wu.",,
"2. Se laver souvent les mains à l'eau courante et au savon. Ensuite les sécher avec une serviette propre.","2. Nshʉ avu ghu no menzhʉ̀ ntsèm nə̀ kəki kə nə mu mə wetəmə bè tsèʼe nə ndisə laynə sə.",,
"3. Tousser et éternuer dans le creux de son bras.","3. Wu nkə chom wu chiʼtə ə chʉ wu nə nges ə kwoŋ wu.",,
"4. Eviter de manger de la viande crue et de toucher des animaux vivants.","4. Kə a mpfiʼi nyàm a və ko pfə̀ a nkàyn. Kə a ndemə nə nyamse a sə jèʼe.",,
"5. Garder une distance d'au moins un mètre avec une personne qui tousse ou qui éternue.","5. Nku kə zaʼ fa wiʼ a ghə kəsə be chomə ə zaʼa a ntam ə mpfen. ",,
"6. Eviter de se serrer la main. Se saluer par un signe de tête ou une salutation verbale.","6. Kə be a ntoŋtə wiʼ nə̀ kəvu kə. Ənəsə tò kəvu ko wu toŋtə tò nə̀ chʉ. ",,
"7. Eviter les rassemblements.","7. Kə bè a ndʉ̀ a shi  kəzhùŋ.",,
"8. Limiter ses déplacements.","8. Kə be a njèʼe nanto. ",,
"9. Se tenir informé et vérifier la source de ses informations.","9. Sə tsen wu zhʉ kənyʉ̀ wu tuʼtə kyitə no a nkàyn. ",,
"Que faire en cas de contamination ? Si vous présentez des symptômes : - Evitez les contacts avec d'autres personnes. - Restez à domicile. - Appelez le 1510 et suivez les consignes des médecins. Autres numéros possibles :","Adiʼ gho a wu zi wù nè a zhʉ kawaʼa ghenə ghaʼ li wù a?  -Kə be mboʼsə viʼi -Əŋwʉʼ tò a ngə̀ŋ. -Dzaŋə numba ghèn 1510 andi docta shəʼtə kənyʉ̀ wu a nè:",,
"699 279 622 675 308 373 698 423 929 655 728 884 670 713 979","699 279 622 675 308 373 698 423 929 655 728 884 670 713 979 ",,
"699 933 725 677 429 357 699 986 740 676 466 797 670 113 761","699 933 725 677 429 357 699 986 740 676 466 797 670 113 761",,
"A ce jour, il n'existe aucun médicament capable de guérir du COVID-19 mais les autorités continuent les recherches pour trouver un traitement adapté. Chacun doit être responsable et adopter les bons gestes pour se protéger et protéger son entourage.","Əzaʼa fa luwen və ko təmə zi və chʉʼ kolona ali ə tʉtʉ bo kəŋə la və və le zi və kiʼi kəfʉ kyi lo.  No ndo diʼi tuʼmə la ghə nè nyʉ̀ vyi a və ziʼi a ŋwàʼlə̀ a shèn. ",,
"Définition des mots difficiles  Asthme : maladie respiratoire chronique Consignes : ordres, recommandations Diabète : maladie qui se caractérise par un taux de sucre trop élevé dans le sang Ecoulement nasal : avoir le nez qui coule Etre contaminé : être atteint par la maladie Grippe : maladie, rhume Hypertension : augmentation anormale de la pression du sang sur la paroi des artères Infecté : atteint par la maladie Infection : maladie, épidémie Patient : malade Persistant : permanent, constant, continu Susceptible : capable, sensible Symptômes : signes, marques de la maladie Traitement : remède, médicaments Virus : agent causant la maladie Vulnérable : faible, à risque","",,
"","",,
"Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19    Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19                                                         SOMMAIRE - Coronavirus - Personnes vulnérables - Symptômes - Transmission du coronavirus - Comment se protéger? - Que faire en cas de contamination? - Définition des mots difficiles    p.2 p.3 p.4 p.5 p.6 p.7 p.8 Le coronavirus, aussi appelé COVID-19, est un nouveau virus. Il a été signalé pour la première fois en Chine le 31 décembre 2019. Il a des symptômes semblables à ceux de la grippe et peut entraîner la mort dans certains cas graves. Il est répandu dans de nombreux pays dans le monde entier. L’origine de la maladie n’est pas encore connue.   Personne âgée  Personne cardiaque ou souffrant de maladie Personnes vulnérables Les personnes de tous âges, y compris les enfants, peuvent être infectées par ce nouveau virus. Les personnes âgées et les personnes souffrant de maladies préexistantes (comme l’asthme, le diabète, les maladies cardiaques, l’hypertension artérielle) semblent plus susceptibles de tomber gravement malades à cause de ce virus.   - Fièvre - Fatigue  - Toux sèche - Douleurs musculaires Les symptômes Les symptômes d'une infection au coronavirus ressemblent à ceux de la grippe : fièvre, toux sèche, douleurs musculaires, fatigue. Certains patients ont des douleurs, une congestion nasale, un écoulement nasal, des maux de gorge ou une diarrhée. Certaines personnes, bien qu’infectées, ne présentent aucun symptôme et se sentent bien. La plupart des personnes guérissent sans avoir besoin de traitement particulier.  Personne qui tousse Transmission du coronavirus Le COVID-19 est transmis par des personnes porteuses du virus. Quand un malade tousse ou éternue, il expulse des gouttelettes par le nez ou la bouche. Si une personne respire ces gouttelettes, elle peut être contaminée par le coronavirus. Si une personne touche un objet infecté par ces gouttelettes et si elle se touche ensuite les yeux, le nez ou la bouche, elle peut aussi être contaminée.     Comment se protéger ? 1. Eviter de se toucher les yeux, le nez, la bouche.  2. Se laver souvent les mains à l'eau courante et au savon. Ensuite les sécher avec une serviette propre.  3. Tousser et éternuer dans le creux de son bras.  4. Eviter de manger de la viande crue et de toucher des animaux vivants.     5. Garder une distance d'au moins un mètre avec une personne qui tousse ou qui éternue.  6. Eviter de se serrer la main. Se saluer par un signe de tête ou une salutation verbale.  7. Eviter les rassemblements.  8. Limiter ses déplacements.  9. Se tenir informé et vérifier la source de ses informations. Que faire en cas de contamination ? Si vous présentez des symptômes : - Evitez les contacts avec d'autres personnes. - Restez à domicile. - Appelez le 1510 et suivez les consignes des médecins. Autres numéros possibles :  699 279 622 675 308 373 698 423 929 655 728 884 670 713 979  699 933 725 677 429 357 699 986 740 676 466 797 670 113 761  A ce jour, il n'existe aucun médicament capable de guérir du COVID-19 mais les autorités continuent les recherches pour trouver un traitement adapté. Chacun doit être responsable et adopter les bons gestes pour se protéger et protéger son entourage. Définition des mots difficiles  Asthme : maladie respiratoire chronique Consignes : ordres, recommandations Diabète : maladie qui se caractérise par un taux de sucre trop élevé dans le sang Ecoulement nasal : avoir le nez qui coule Etre contaminé : être atteint par la maladie Grippe : maladie, rhume Hypertension : augmentation anormale de la pression du sang sur la paroi des artères Infecté : atteint par la maladie Infection : maladie, épidémie Patient : malade Persistant : permanent, constant, continu Susceptible : capable, sensible Symptômes : signes, marques de la maladie Traitement : remède, médicaments Virus : agent causant la maladie Vulnérable : faible, à risque  ","Ənyʉ̀ a wu diʼi kɨ biʼi kwaʼa ghenə a və dzàŋ nə̀ kolonavalus lə ko COVID-19    Ənyʉ̀ a wu diʼi kɨ biʼi kwaʼa ghenə a və dzàŋ nə̀ kolonavalus lə ko COVID-19                Tʉ nyʉ̀ a və diʼi a ŋwàʼlə ghen - Kolonavalus - Nkyi viʼi a kwaʼa ghen ə zi ghə ghaʼ vəwenə - Nchwi shisə - Ji kolona dyàŋə fa tsu - Ji tuʼmə nə̀ wenə wu fa tsu - Kolona koo wɛ̀ é wɛ nɛɛy ghɛ?     p.2 p.3  p.4 p.5 p.6 p.8  Kwaʼa kolonavalus a və dzaŋ nə̀ COVID_19, adiʼi kwaʼa fighə a və nzìtə yen a loʼo China a  mətsi nju mùʼ a mewumə ntaʼa saŋ shwayn a ngwʉʼʉ  2019. Nchwisə kwaʼa sense diʼi a ji bʉ alì mu ghə zì ghə zhwi a zhʉ̀ a ghə tosə. Ghə dyaŋtə li a təloʼ no təghoʼo a mbi shèn. Və ko tɨmə kɨ kefo a kə ku kwaʼa ghenə.   Kəlyɨŋ kə wiʼ  Wiʼ a ghə kiʼi tyɨm ə zafə ghə Nkyi viʼi a kwaʼa ghen ə zi ghə ghaʼ vəwenə  Kwaʼa fighə ghenə ghaʼa viʼ və tokəvə, nə̀ mbvoʼo wiʼ nə vwondyə. Viʼi a və sə diʼ a kəlyɨŋ bènə̀ viʼi a və sə ki təkwaʼa a tə sə zhuŋsə vəwenə diʼi nə̀ kəkesə kəto kə, dabetis tyɨm ə zafə ghə bènə̀ məlyuŋ mə kuʼu mə̀. Alen viʼi kwaʼa ghen zi ghə zhuŋsə vəwenə no nanto.    Fibà nə kətʉ kəlɨmləkə Wenə̀ zhwemə ghe  Kekesə ke zɨmkə Zhwuŋ wenə zafə ghə Nchwi shisə  Ncwisə kwaʼa kolna sensə diʼi to nə̀ əbʉ, fiba, kəkesə kə zɨmkə əzhuŋ wenə zafə ghə bènə̀ wenə zhwemə ghə. A viʼi vətsevə a kwaʼa ghenə ghaʼ li vəwenə vəwenə zhʉ kezaf, alwi vewenə be shwinkə. alwi vəwenə be dyanə, təbèm tə vəwenə tə be tsuʼu. Ali adʼi a viʼi vətsenəvə ghə ko diʼi a vəwenə a təwen. Vəwenə diʼ to nkàyn ghə ghaʼa  viʼi vətsenəvə vəwenə nè to ko ndiʼi vəwene kɨ li.  Wiʼ a ghə kesə̀ Ji kolona dyàŋə fa tsu  Ghə dyàŋə fa viʼi a və sə kiʼ kwaʼa ghenə. Adiʼ a zhʉ a wiʼ a ghə kiʼi kwaʼa ghenə chom ko kesə ghe sakə ə kwen a wu chʉ̀ mu ghe mu dyàŋ. Sətsen wiʼ kum kefo a kə yi sakə tsu ə bə̀ kum chʉ̀ wen ko a wen alwi ko ashɨ ghə dyàŋ.      Ji tuʼmə nə̀ wenə wu fa tsu 1. Kə a nzaŋsə kumsə alwi wu nə ashɨ wu benə̀ chʉ wu.  2. Nshʉ avu ghu no menzhʉ̀ ntsèm nə̀ kəki kə nə mu mə wetəmə bè tsèʼe nə ndisə laynə sə.  3. Wu nkə chom wu chiʼtə ə chʉ wu nə nges ə kwoŋ wu.  4. Kə a mpfiʼi nyàm a və ko pfə̀ a nkàyn. Kə a ndemə nə nyamse a sə jèʼe.     5. Nku kə zaʼ fa wiʼ a ghə kəsə be chomə ə zaʼa a ntam ə mpfen.   6. Kə be a ntoŋtə wiʼ nə̀ kəvu kə. Ənəsə tò kəvu ko wu toŋtə tò nə̀ chʉ.   7. Kə bè a ndʉ̀ a shi  kəzhùŋ.  8. Kə be a njèʼe nanto.   9. Sə tsen wu zhʉ kənyʉ̀ wu tuʼtə kyitə no a nkàyn.  Adiʼ gho a wu zi wù nè a zhʉ kawaʼa ghenə ghaʼ li wù a?  -Kə be mboʼsə viʼi -Əŋwʉʼ tò a ngə̀ŋ. -Dzaŋə numba ghèn 1510 andi docta shəʼtə kənyʉ̀ wu a nè:  699 279 622 675 308 373 698 423 929 655 728 884 670 713 979   699 933 725 677 429 357 699 986 740 676 466 797 670 113 761  Əzaʼa fa luwen və ko təmə zi və chʉʼ kolona ali ə tʉtʉ bo kəŋə la və və le zi və kiʼi kəfʉ kyi lo.  No ndo diʼi tuʼmə la ghə nè nyʉ̀ vyi a və ziʼi a ŋwàʼlə̀ a shèn.    ",,
