source,translated,question,answer
"Sobre el Coronavirus","Amang’ana aga Coronavirus",,
"","",,
"","Kirio eking’ana ekilala kieng’ene ekia osugaane omanye ku kiomo Coronavirus ",,
"","EILANZIA",,
"","No omunwa ogwa",,
"","Enyindo",,
"","Amiiso  ",,
"","Gatonyere ku",,
"","Omuntu omulamu",,
"","Omuntu omulwire",,
"","Enyende eno eilanzia ne entone/ amatone ezia amate aga",,
"","Weera ale. Owuliire owua emiita iwiri  wuuza okukuta ale kugere amatone amakate-kaate aga amate gareke okukutuukako",,
"","1",,
"","emiita iwiri",,
"","Eeethia!",,
"","Kutio no owuine omuntu  na akolola/nari omulwire/aisiamula mbwe:",,
"","Wa-ee ekintu ekisanikra enyindo no omunwa. Awantu waesa okukolola namba okuisiamula mu ekintu ekio ni ngawaesa  okulanzizia awandi owulwire owuo yaaya.",,
"","2",,
"","Otioo",,
"","NAMBA,",,
"","Andi omuntu ono ngari omulwire yaaya, ni airinda kugere atatuukra owulwire",,
"","Awantu awalwire waesa okuwula ne ewilago ewilagana mbwe wari no owulwire, ni wakiaesa okulanzia owulwire",,
"","Owukirre wiona, ne ekintu ekilootu no omuntu aweere ale no omuganda ogwa awantu, aeniki ngoesa waamanya omuntu omulwire agati yaawu ao.",,
"","Ewiti ewiogi ewia okuriira",,
"","Omuntu omulamu  ",,
"","Emikanda egia mu egaare",,
"","Ewintu ewisinyiriziwua kugere  elifiti eginga awantu eniine namba eike",,
"","Etiisiu",,
"","Ewikombe",,
"","Ewintu ewia ewidijitaali",,
"","Enze eya ekintu ekisanikra enyindo no omunwa",,
"","Ewintu ewiambwako no oniina ku egoroofa",,
"","Emaosi eya ekompiuta",,
"","Ekalamu",,
"","Echabi eya olwigi",,
"","Amakono gaawu",,
"","Kukawa kutio, enyinga zindi amate aga omulwire gaesa okutoonya ku ewintu windi kiomo….",,
"","No owulwire wuno wuuza wuawamba mwona",,
"","Namba ekieni ekia omwina waao",,
"","Oeye amiiso gaao",,
"","No oizukirre oambe ku ewintu wino nikuemao oambe ekieni kiao,",,
"","Kandi engira endala endootu eya oesa okumala nayo enyende zino ni, no ozioziizie ne esabuuni, ekintu ekifumia ikwe namba amanzi agazoganiiwue na amalwa",,
"","Enyende zino ziesa okuwa endamu  ku enyinga ezisugire",,
"","Esabuuni",,
"","Engira zino",,
"","Ekio nikio ekigera ni kuri kulootu okulonda",,
"","Isaawa ne esabuuni paka ano",,
"","Enkumbo",,
"","Ota-amba ku ekieni kiao. (Namba ekieni ekia omwina waao.) Ni, ni kuri mbwe paka owiambeko, ni sooka oisaawe geeza ino ne esabuuni",,
"","okuemba olwembo olwa ‘Happy Birthday” kawiri kutoola esekendi amakumi awiri ago",,
"","Okuozia mu enkumu",,
"","Ku esekendi amakumi awiri",,
"","Okuozia agati eya ewiala",,
"","No okuozia enze eya amakono gaao",,
"","okuisaawa geeza ino no okukolaki?",,
"","Ni no okiambireko, no omwoyo gwao gutainyaasia yaaya. Ni toola esabuuni oisaawe nayo.",,
"","Lwona ni kuesekana ota-amba enze eya ekintu ekisanikra enyindo no omunwa ekio.",,
"","Amatone/entone",,
"","No oiwooye ekintu ekio ku amiire amangi, enyende zimenya munsi yakio",,
"","No omiire okukola ne ekintu ekisanikra enyindo no omunwa, kirigize ale. Kola ni kilala owuire ki owuire.",,
"","Muiwule ne ekijiiko ekia okuiwula ewiokuria",,
"","Omwana",,
"","Ise",,
"","Ng’ina",,
"","Omuntu ki omuntu awe ne etawulo yaae",,
"","Mutasangirizia ewiokuria, endaawo, ewinyweero no etawulo ezia okuieya",,
"","Namba okagezaania owufwana wutie, ne enkumbo yaao ngeesa yatuuka ku ekieni kiao yaaya. ",,
"","Nikuesekana igulao kandi oigaleo ekiriango ne enkumbo namba ni iwega riao.",,
"","namba,no ori engo",,
"","no oema enze aa owerenga,",,
"","No okiari okuria,",,
"","Weerako no oisaawa ne esabuuni…",,
"","Owutuukre,",,
"","Omuntu ki omuntu airinde!",,
"","Soma amang’ana agajojerwe gano kugere owe no okumanya okungi.",,
"","“This animation shows how far your sneeze can actually travel” by Chia Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020)",,
"","“The Wuhan Virus: How to stay safe”, by Laurie Garrett, in Foreign policy, Report.  (Jan 25, 2020)",,
"","“How to avoid the coronavirus? Wash your hands”. By Elizabeth Rosenthal, in the New York Times, opinion.  (Jan 28,2020)",,
"","Asi aa oesa okutuukra amang’ana agagamba-gamba ku owurezi",,
"","Amang’ana gandi: Amang’ana agagamba-gamba ku okurinda  owueru gatunzia awantu ku kiomo wakairinda kugere wareke okuambwa na amalwire agafwana ni iseeka ne embeyo efumuta omuwiri, kandi awantu wasugaane wakole ewintu wino owuire ki owuire namba no owulwire owuilanzia wuwulao. Aa okatuukra  amang’ana gano: Amang’ana gano gajojerwe nikulondokana no  okumanya okwa  omuntu yawanga nakwo ku COVID19 nawuno kutuuka etariki 28/2/2020. Yagatuukira na agatoola mu https://www.nytimes.com/2020/01/28/opinion/coronavirus-prevention- tips.htmlhttps://foreignpolicy.com/2020/01/25/wuhan-coronavirus-safety-china/ https://www.businessinsider.com/how-far-sneeze-cough-germs-can-travel-2018-10 Amang’ana gandi: Amang’ana gano gajojerwe mu engira eya gataesa okugalusiwua yaaya (A PDF. Gaituukrana wusa mu: https://gumroad.com/weimankowart  Engira eya okusangirizia ewilagirizio: Awantu wasugaane  watumire awandi woona amang’ana gano ni kuwitira ku engira eya ewidijitaali kiomo Whatsapp ni telegram lwona oesa okugatuukra waagafumia wusa ki emiloome egia okugerera nagio awantu mu emigizi, esikuuli na aa awantu wakola emirimo. Enyinga ezia oigerera na awandi ni ingirizia amang’ana asatu gano. 1) Otasonga namba ofumie eking’na-uking’ana ekiri mu amang’ana gano. 2) Otakola na amang’ana gano mu engira eya okutuukira amasendi. 3) Enyinga ezia osoma ni tondowola omulongi owa FB no omumanyisia ne @weimankowart ni  mu IG no omumanyisia ne @weimankow, namba no oesana engira eya instagram com/weimankow.Ni wirio ewintu windi ewia oagala okukola, ni tuma okusawa kwao ku comicsforgood@gmail.com ",,
"","",,
"","",,
"","",,
