source,translated,question,answer
"कोरोना बीमारी हू वसो","कोरोना वायरस से बचें",,
"","",,
"","",,
"","",,
"आपडेआत पाणी नी हाबू हू दाडा ने बे सयार फेरा तुओ नी सैनीटायजर हुँ हाथ माहळी माहळी ने साप करो।","अपने हाथों को नियमित रूप से साबुन और पानी से देर तक धोएं, हैंड सैनिटाइजर का उपयोग करें। ",,
"आपडे नी बिजा ने विसमा 2 मीटर दुरी बनावी राको।","अपने और दूसरों के बीच, 2 मीटर के दूरी बनाए रखें। ",,
"खासी या सीक आवे ते आपडे मोडु नी नकुरू खुद ने कोणी या रूमाल हू टाकी राको।","जब आप खांसते या छींकते हैं तो अपने मुंह और नाक को अपने रूमाल से या अपनी कोहनी से ढक लें। उपयोग किए गए रूमाल का निपटान तुरंत करें या उसे अच्छे से धुलें। ",,
"आक, नकुरू नी मुडाय आत अडाडवा हू वसीनी रो। ","आंख, नाक और मुंह को छूने से बचें। ",,
"कोरोना नी बारामा नवी-नवी जाणकारी लितअ रो, आपडे स्वास्त सेवा परदाता हू आलजी गई सला ने पाळण करो। ","COVID-19 के नई जानकारियों के विषय में सूचित रहें। अपने स्वास्थ्य सेवा प्रदाता द्वारा दी गई सलाह का पालन करें। ",,
"हर वळा घेर मा रो जेरे लगण आपडे कनी घेर सुडवा ने खास वजा नही वे। ","हमेशा घर में रहें, जब तक कि आपके पास घर से बाहर जाने का कोई महत्वपूर्ण कारण न हो। ",,
"कोरोना बीमारी हू वसो    कोरोना बीमारी हू वसो      आपडेआत पाणी नी हाबू हू दाडा ने बे सयार फेरा तुओ नी सैनीटायजर हुँ हाथ माहळी माहळी ने साप करो। आपडे नी बिजा ने विसमा 2 मीटर दुरी बनावी राको। खासी या सीक आवे ते आपडे मोडु नी नकुरू खुद ने कोणी या रूमाल हू टाकी राको। आक, नकुरू नी मुडाय आत अडाडवा हू वसीनी रो।  कोरोना नी बारामा नवी-नवी जाणकारी लितअ रो, आपडे स्वास्त सेवा परदाता हू आलजी गई सला ने पाळण करो।  हर वळा घेर मा रो जेरे लगण आपडे कनी घेर सुडवा ने खास वजा नही वे।   ","कोरोना वायरस से बचें    कोरोना वायरस से बचें      अपने हाथों को नियमित रूप से साबुन और पानी से देर तक धोएं, हैंड सैनिटाइजर का उपयोग करें।  अपने और दूसरों के बीच, 2 मीटर के दूरी बनाए रखें।  जब आप खांसते या छींकते हैं तो अपने मुंह और नाक को अपने रूमाल से या अपनी कोहनी से ढक लें। उपयोग किए गए रूमाल का निपटान तुरंत करें या उसे अच्छे से धुलें।  आंख, नाक और मुंह को छूने से बचें।  COVID-19 के नई जानकारियों के विषय में सूचित रहें। अपने स्वास्थ्य सेवा प्रदाता द्वारा दी गई सलाह का पालन करें।  हमेशा घर में रहें, जब तक कि आपके पास घर से बाहर जाने का कोई महत्वपूर्ण कारण न हो।   ",,
