source,translated,question,answer
"Xa̱ꞌá kue̱ꞌe̱ ña̱ naní "Coronavirus"","Sobre el coronavirus",,
"","",,
"​​​ ​","",,
"","",,
"Iin ña̱ꞌa kúú ña̱ xíninúꞌu﻿kuntaa ini‑ún ña̱ na̱xa ku̱va ntíku̱n míí kue̱ꞌe̱ ña̱ naní﻿CORONAVIRUS yóꞌo﻿iinka na̱ yuví","Solo hay UNA cosa que tienes que entender sobre cómo se contagia el",,
" ​","CORONAVIRUS",,
"yuꞌú‑yó","boca",,
"xi̱tín‑yó","nariz",,
"nu̱ú‑yó","ojos",,
"Nu̱ú kíꞌvi‑ña̱ kúú","Entran a tus",,
"Na̱ va̱ꞌa","Persona Sana",,
"Na̱ kúꞌvi̱","Persona Enferma",,
"Míí kue̱ꞌe̱ yóꞌo﻿ntíku̱n‑ña̱ iinka‑na̱ xíꞌin﻿﻿tiá sǐꞌi‑na̱.","El virus se﻿contagia cuando estas﻿gotas de saliva",,
"Xíka koo‑ún.﻿Ku̱va u̱vi̱ á nta̱a̱ u̱ꞌu̱n metro koo‑ún ña̱ ná xäa̱ tiá sǐꞌi‑na̱ nu̱ú‑ún.","Mantener tu distancia.﻿Calcula entre 2 a 5 metros para evitar contacto con las gotas de saliva.",,
"1","1",,
"2 - 5 m","2 - 5m",,
"¡Achís!","¡Achís!",,
"Átu xíni‑ún iin na̱ kátá su̱kún, á na̱ káxán, á na̱ kúꞌvi̱, kuvi:","Si ves a alguien que tose, estornuda, o está enfermo, puedes:",,
"Taxi iin ña̱ ntási yuꞌú ntaꞌá‑na̱.﻿Saá, ra kuvi katá su̱kún‑na̱ á kaxán‑na̱,﻿ra ïyo nti̱ku̱n kue̱ꞌe̱ iinka‑na̱.","Darle un cubrebocas.﻿Así, la persona puede toser o estornudar sin poner en riesgo a los demás.",,
"2","2",,
"¡¡Tixa̱ꞌvi‑ún!!","¡¡¡Gracias!!!",,
"Saá tu ña̱ kuvi kasa‑ún kúú‑ña̱:","Tambien puedes:",,
"Sana ñá yóꞌo kökúꞌvi̱ ví‑ñá, suu ntiáa‑ñá mií‑ñá ña̱ ná ntïku̱n‑ña̱‑ñá","Quizá ella no esté enferma y solamente se está protegiendo.",,
"Na̱ yuví na̱ xa̱ íyo míí kue̱ꞌe̱ ikán iín kuvi﻿könáꞌa̱ ví‑na̱ ﻿ña̱ kúꞌvi̱‑na̱, suu kuvi sánti̱ku̱n‑na̱‑ña̱ iinka na̱ yuví.","Las personas que ya tienen contagio pueden no presentar síntomas, per aún así, te pueden﻿transmitir﻿el virus.",,
"Ña̱ va̱ꞌa ka kúú‑ña̱ ná küꞌu̱n‑ún nu̱ú íyo kua̱ꞌá na̱ yuví, chi xïni‑ún ntáa kúú na̱ kúꞌvi̱.","En general, conviene evitar lugares con mucha gente, porque no sabe quén podría estar enfermo.",,
"nu̱ú﻿kuchára","palillos/﻿cubiertos",,
"na̱ va̱ꞌa","persona sana",,
"so̱ꞌo ña̱ꞌa","agarraderas",,
"íki ‌saꞌmá","botones",,
"paíto","pañuelos",,
"váso","vasos",,
"nu̱ú celular,﻿á computadora","dispositivos digitales",,
"sa̱tá﻿ña̱ ntási yu̱ꞌú‑na̱","hasta en el exterior del cubrebocas",,
"nu̱ú tíin ntiaa‑na̱","pasamanos",,
"ña̱ tíin‑na̱﻿tá kéꞌé‑na̱ computadora","ratón",,
"lápi","lapiceros",,
"nu̱ú tíin‑na̱ xúná‑na̱ yéꞌe","perillas",,
"ntaꞌá‑na̱","las manos",,
"Sava ra, míí tiá sǐꞌi iin na̱ yuví kúꞌvi̱ kuvi koo‑rá:","A veces, la saliva de una persona enferma puede entrar en contacto con:",,
"ntiꞌi‑na̱ kuvi kiꞌin míí kue̱ꞌe̱ yóꞌo.","todos podrían enfermarse.",,
"á nu̱ú na̱ táꞌan‑ún","o la de tus seres queridos",,
"á ntuchí nu̱ú‑ún","o frotas los ojos,",,
"Átu kökíꞌin‑ún kuénta ra keꞌé‑ún ntáa ña̱ꞌa yóꞌo ra tá nti̱ꞌi kéꞌé‑ún nu̱ú‑ún,","Si tocas cualquiera de estas cosas sin querer y después te tocas la cara,",,
"Ntakatia ña̱ꞌa xíꞌin na̱má, klóro, á alcohol, ra ntiꞌi xa̱ꞌá‑ña̱.","Lavarlos con jabón, cloro, o alcohol medicinal es la única forma de eliminarlos.",,
"Míí kue̱ꞌe̱ yóꞌo kuvi koo‑ña̱ nta̱a̱ u̱vi̱ ki̱í nu̱ú ña̱ꞌa.","Los virus pueden durar hasta 48 horas en objetos.",,
"na̱má","jabón",,
"ña̱ kasa‑ún","precauciones",,
