source,translated,question,answer
"Способы избежать распространения COVID-19","Ways To Avoid The Spread Of COVID-19",,
"","",,
"World Health Organization﻿Всемирная организация здравоохранения ","",,
"﻿Дарья Давидовская SIL LEAD","",,
"Дарья Давидовская","",,
"Written in Bisaya by Alec P. Estalilla, Northern Mindanao","",,
"Всегда мойте руки с мылом и водой в течение 20 секунд.","",,
"Не дотрагивайтесь до лица особенно до глаз, носа, рта или ушей!","",,
"Носите маску, если вы болеете.","",,
"Не забывайте протирать ваш телефон, дверные ручки, столы и другие предметы.","",,
"Усиливайте вашу имунную систему с помощью фруктов, овощей и витаминов.","",,
"Избегайте нахождения в толпе! Держитесь на расстоянии одного метра от других людей.","",,
"Не паникуйте, покупая продукты в магазинах.","",,
"Всегда читайте и следите за последней информацией, чтобы избежать фальшивых новостей, которые создают панику. ","",,
"Способы избежать распространения COVID-19    Способы избежать распространения COVID-19 World Health Organization﻿Всемирная организация здравоохранения  ﻿Дарья Давидовская SIL LEAD Дарья Давидовская Written in Bisaya by Alec P. Estalilla, Northern Mindanao  Всегда мойте руки с мылом и водой в течение 20 секунд. Не дотрагивайтесь до лица особенно до глаз, носа, рта или ушей! Носите маску, если вы болеете. Не забывайте протирать ваш телефон, дверные ручки, столы и другие предметы. Усиливайте вашу имунную систему с помощью фруктов, овощей и витаминов. Избегайте нахождения в толпе! Держитесь на расстоянии одного метра от других людей. Не паникуйте, покупая продукты в магазинах. Всегда читайте и следите за последней информацией, чтобы избежать фальшивых новостей, которые создают панику.   ","Ways To Avoid The Spread Of COVID-19    Ways To Avoid The Spread Of COVID-19               ",,
