source,translated,question,answer
"Sobre el Coronavirus","Koˬroˬ naˬ vaiˇ rasˆ gaˇ kawˆ",,
"","",,
"","",,
"","Koˬ roˬ naˬ vaiˇ rasˆ gaˇ kawˆ-ahˇ taꞈ leˇ-awˇ ghoˆ shaw htaˬ phaˬ-ehˇ gheh-eu meh.",,
"","Nyawˬ-iˇ-eu",,
"","Qhaˬ meh",,
"","Naˇ mehˇ",,
"","Myaˆ nuiˆ",,
"","Ghawˇ mawˇ laꞈ qhoeˇ heu gaˇ neh uˇ-iˇ-eu meh.",,
"","Jawˇ saˇ doˆ -eu tsawˇ haˬ",,
"","Naˇ-eu tsawˇ haˬ",,
"","Aˇ dzuiꞈ heu deuˬ qhaˇ iˇ keuˆ gaˇ naˇ gawˇ nyawˬ-iˇ-eu meh.",,
"","Tsawˇ haˬ nyiˬ ghaˬ yaw khaˬ htiˬ lmˇ dzehˬ ni khaˬ gaˇ jawˇ-eu-aˬ, aˇ dzuiꞈ deuˬ maˬ bi teuˆ shehˬ laˇ ni yahˇ nya meh.",,
"","1",,
"","Htiˬ lmˇ dzehˬ ni",,
"","Haˇ cheuˬ....",,
"","Qhoeˇ miˇ neh uˬ tsoeˬ tsoeˬ-eu, haˇ cheuˬ cheuˬ-eu, naˇ-eu tsawˇ haˬ deuˬ mawˇ naˇ",,
"","Aˬ yawꞈ maꞈ-ahˇ mehˬ tsahˬ biꞈ nehˬ-awˬ. Qhoeˇ laꞈ qhoeˇ aˬ yawꞈ maꞈ uˬ tsoeˬ tsoeˬ, haˇ cheuˬ cheuˬ-eu laꞈ qhoeˇ dawˬ pheh jawˇ-eu tsawˇ haˬ deuˬ-ahˇ maˬ bi nyawˬ-iˇ ni yahˇ nya meh.",,
"","2",,
"","Guiˬ lahˬ huiˬ miˇ-a. ",,
"","Maˬ ngeuˇ naˇ",,
"","Aˬ yawꞈ maˬ naˇ luꞈ qawꞈ naˇ gawˇ aˬ yawꞈ-ahˇ maˬ bi nyawˬ laˇ phaˬ-ehˇ yahˇ-eu phaˬ lawˇ.",,
"","Naˇ gawˇ aˇ mawˇ uˇ luꞈ qawꞈ naˇ gawˇ aˇ ghehˇ maˬ ya mawˇ ni pyeuꞈ nya meh. Ehˇ qawꞈ naˇ gawˇ qhoeˇ aˬ chawˬ-ahˇ phaˇ nyawˬ-iˇ nya meh.",,
"","Yehˬ chehˬ chehˬ-awˇ ya ehˇ leꞈ naˇ, tsawˇ haˬ aˇ maꞈ jawˇ gaˇ maˬ iˇ ni yahˇ-awˬ. Aˬ jeˬ miˇ neh ehˇ naˇ aˬ geu ghaˬ naˇ luꞈ-eu aˬ dui maˬ siˬ nya-a.",,
"","  Yu daˇ",,
"","Jawˇ saˇ doˆ-eu tsawˇ haˬ",,
"","Miˬ dzaˬ laˆ lawˬ-ahˇ tcoꞈ-eu aˇ caˆ",,
"","Daˇ dzm daˆ leˆ-eu naˬ baꞈ htoeˬ duˬ",,
"","Siˆ-eu seuˬ ghaˬ (tiˇ shuˇ)",,
"","Iˇ cuꞈ qhmˬ maˬ",,
"","Caˆ kheu kha deuˬ",,
"","Mehˬ tsahˬ laꞈ nyiˇ phaw",,
"","Daˇ dzm aˬ laꞈ nyehꞈ htehˬ duˬ",,
"","Maoˆ(s)",,
"","Sahˬ duˇ",,
"","Laˇ ghoˆ phah duˬ",,
"","Aˬ laꞈ",,
"","Ehˇ qawꞈ naˇ-eu tsawˇ haˬ htiˬ ghaˬ-euˬ duˬ qhaˬ mˇ myawˬ nui deuˬ-ahˇ lehꞈ-iˇ nya-eu meh.",,
"","Naw maꞈ yawˬ ghaˬ na luꞈ naˇ gawˇ nyawˬ leˇ nya meh.",,
"","(maˬ) nawˇ gaˬ-eu ghaˬ-euˬ myaˆ phyawˬ-ahˇ htoeˬ naˇ",,
"","Myaˆ nuiˇ-ahˇ jeˬ-eu",,
"","Mˇ myawˬ qhoeˇ deuˬ-ahˇ maˬ yehꞈ maˇ yehꞈ-ehˇ htoeˬ tuˆ-awˇ nawˬ-euˬ myaˆ phyawˬ-ahˇ phaˇ htoeˬ naˇ",,
