source,translated,question,answer
"ORIGEN DE CORONAVIRUS","",,
"","",,
"","LENGUA DE SEÑAS COLOMBIA: SEBASTIAN NUÑEZ FILMACIÓN: KELLY ROJAS EDITOR: SEBASTIAN NUÑEZ  SUBTITULACIÓN: KELLY ROJAS ILUSTRADORAS: SANDRA LÓPEZ Y KELLY ROJAS ASESORA: PATTI JONES",,
"","ASOCIACIÓN CRISTIANA MANOS EN ACCIÓN",,
"A final del año 2019, la Organización Mundial de la Salud (OMS) recibió reportes de presencia de neumonía, de origen desconocido, en la ciudad de Wuhan, en China. ","",,
"Rápidamente, las autoridades de este país identificaron la causa como una nueva cepa de coronavirus. ","",,
"La enfermedad ha ido expandiéndose hacia otros continentes como Asia, Europa y América. ","",,
"El mercado de Wuhan","",,
"Posiblemente utilizó un animal vendido en el mercado de mariscos de Wuhan, en China,en el cual se vende al mayor pescados, mariscos y animales vivos.  ","",,
"El informe creyó diferentes escenarios como posibles orígenes del virus","",,
"El primero fue que el virus se originó en algún animal, muy probablemente un murciélago o pangolines y de este se diseminó directamente al ser humano.  ","",,
"Luego pasó a un animal intermedio aún no identificado, y de allí al ser humano. Se especula que el animal intermedio pudo haber sido el pangolín.","",,
"El tercero es que el virus se haya introducido a través de alimentos fríos.","",,
"Identifico cuatro hipótesis principales sobre cómo se introdujo el virus en la población: ","",,
"Transmisión directa de animal a humano. ","",,
"Transmisión a través de un huésped animal intermedio (de animal a animal y luego a humanos). ","",,
" Transmisión por medio de algún alimento congelado de la cadena de frío. ","",,
"Posible fuga de un laboratorio.","",,
"ORIGEN DE CORONAVIRUS    ORIGEN DE CORONAVIRUS       A final del año 2019, la Organización Mundial de la Salud (OMS) recibió reportes de presencia de neumonía, de origen desconocido, en la ciudad de Wuhan, en China.  Rápidamente, las autoridades de este país identificaron la causa como una nueva cepa de coronavirus.  La enfermedad ha ido expandiéndose hacia otros continentes como Asia, Europa y América.  El mercado de Wuhan  Posiblemente utilizó un animal vendido en el mercado de mariscos de Wuhan, en China,en el cual se vende al mayor pescados, mariscos y animales vivos.   El informe creyó diferentes escenarios como posibles orígenes del virus El primero fue que el virus se originó en algún animal, muy probablemente un murciélago o pangolines y de este se diseminó directamente al ser humano.   Luego pasó a un animal intermedio aún no identificado, y de allí al ser humano. Se especula que el animal intermedio pudo haber sido el pangolín. El tercero es que el virus se haya introducido a través de alimentos fríos. Identifico cuatro hipótesis principales sobre cómo se introdujo el virus en la población:  Transmisión directa de animal a humano.  Transmisión a través de un huésped animal intermedio (de animal a animal y luego a humanos).   Transmisión por medio de algún alimento congelado de la cadena de frío.  Posible fuga de un laboratorio.  ","     LENGUA DE SEÑAS COLOMBIA: SEBASTIAN NUÑEZ FILMACIÓN: KELLY ROJAS EDITOR: SEBASTIAN NUÑEZ  SUBTITULACIÓN: KELLY ROJAS ILUSTRADORAS: SANDRA LÓPEZ Y KELLY ROJAS ASESORA: PATTI JONES  ASOCIACIÓN CRISTIANA MANOS EN ACCIÓN                    ",,
