source,translated,question,answer
"Sobre el Coronavirus","TENTANG VIRUS KORONA",,
"","",,
"","",,
"","Cuma ada satu hal tu ngoni musti mangarti tentang bagimana virus korona",,
"","bajangke pa orang laeng.  ",,
"","Mulu ",,
"","Idong ",,
"","Mata",,
"","Maso ka dalam ",,
""," Tu orang sehat",,
"","Tu orang saki ",,
"","Ini tasebar pa orang waktu ada virus ",,
"","Bajaga jarak. Ngoni nyanda mo takana akang tu virus kalu ngoni bajaga jarak barang 2 meter.",,
"","1",,
"","2",,
"","Hachi! ",,
"","So itu, waktu ngoni lia ada  orang bakokehe/bahachi ngoni musti:",,
"","Kase akang masker pa dorang. Dorang bole mo bakokehe di dalam masker for mo jaga tu orang-orang laeng yang ada di dekat pa dia.",,
"","Makase banya * batarek ingus * ",,
"","ATO ",,
"","Ni orang stou nyanda saki mar dia cuma mo jaga de pe diri.",,
"","Bole jadi ada orang yang so takena tu virus mar nyanda ada tanda apa-apa. Dorang bole mo se jangke pa orang laeng ",,
"","Lebe bae bajao jo dari tampa-tampa rame lantaran ngana nintau sapa tu da samantara saki di situ",,
"","Alat-alat makang ",,
"","Orang sehat ",,
"","Tampa pegang kreta ",,
"","Tombol lift ",,
"","Tisyu ",,
"","Glas ",,
"","Barang-barang elektronik ",,
"","Tangga pe tampa pegang ",,
"","Mause ",,
"","Polpen ",,
"","Tampa pegang pintu ",,
"","Dorang pe tangan ",,
"","Biar lei bagitu, lengkali orang saki pe luda bole mo tatempel di :",,
"","ngoni samua bole mo saki.",,
"","Ato kore tu orang yang ngoni sayang pe muka ",,
"","Kuca-kuca tu ngoni pe mata ",,
"","Kalu ngoni nyanda sengaja da sontong sala satu jo dari tu barang-barang itu, kong abis itu kore tu ngoni pe muka, ",,
"","Cuma ada satu cara paling gampang for mo kase mati ni virus. Ngoni musti cuci tu barang-barang itu pake sabong, pemutih ato alkohol.",,
"","Ni virus bole mo batahang di barang-barang slama bebrapa jam,",,
"","Sabong ",,
"","Cara supaya nyanda mo tajangke ni virus",,
"","So itu, lebe bae tare ngoni iko ini ",,
"","cuci deng sabong sampe sini ",,
"","Tangan pe siku ",,
"","JANG KORE NGONI PE MUKA  (ATO TU ORANG LAENG PE MUKA). Kalu memang musti mo kore, tu tangan musti cuci “enteru” dulu pake sabong.",,
"","De pe lama sama deng da manyanyi lagu "Slamat hari jadi" dua kali ",,
"","Kuku-kuku pe bagean bawah ",,
