source,translated,question,answer
"Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19","ƐNYƗŊ ƐNƐ ƆBHƆŊƆ BƐRƗŊƗ Ɛ̌TI KORÓNÁ VAYRƆS NYƐN ƐNI NƐCHAK BƐ KOVID–19",,
"","",,
"","Cameroon Association for Bible Translation and Literacy",,
"","",,
"","",,
"","                              BATI KƐPƗ",,
"","- Korónávayrɔs - Bo abhɛn bakway bɛbhɔŋ nɛme ɛnɛn ayak - Bɛrɨŋ ɛbhɛ́n bɛ́tɔŋ bɛ mmu abhɔŋ nɛme ɛnɛn - Ɛnyǔ bo abhɛn babhɔŋ nɔ bákway bɛcharɛ batɨ - Ɛnyu ɔ́kway bɛkɛm mmʉɛt bɛ ɔkɛ bhɔŋ nɔ - Ɛnyɨŋɨ́ mmu abhɔ́ŋɔ́ bɛkʉ mbák nɛme ɛnɛn nɛkɛm yi ",,
"","p.2 p.3   p.4  p.5  p.6  p.8 ",,
"","Korónávayrɔs  Korónávayrɔs anɛ bábhɨŋɨ nkwɔ bɛ KOVID – 19, chí nɛme nɛkɔ. Nɛ́bho chi ɛtɔk China ndu 31 Disɛ́mba, 2019. Nɛ́chyɛ mbʉɛp nɛ nɛkway bɛway mbɔk bho mbak nɛ́taŋ. Nɛ́naŋ nɛtaka ndǔ bɛyǎ bɛtɔk famɨk. Bo bábhɨkɨ re rɨŋɨ ɛnyǔ nɛme ɛnɛn nɛbhoo. ",,
"","Baséansi",,
"","Mmu anɛ ábhɔ́ŋɔ́ nɛměntɨ nɛ yɛ̌chi nɛme mbɔŋ antɨ",,
"","Bo abhɛn bakway bɛbhɔŋ nɛme ɛnɛn ayak   Yɛ̌ntɨkɨ mmu ǎkway bɛbhɔŋ nɛme nɛkɔ ɛnɛn. Kɛ ɛ́chí mbɔ bhɛ baséansi nɛ bo abhɛn manaŋ babhɔŋɔ mame achak mbɔ ɛ̌yú, nɛměngaŋ, nɛměntɨ nɛ nɛmě manoŋ-bɛko bákway bɛbhɔŋ nɛme ɛnɛn nɛ nɛ́ntaŋ bɔ amʉɛt. ",,
"","-Mbʉɛ́p -Nɛserǐmʉɛt",,
"","-Ɛwɔ́sí ɛkwáká -Mmuʉɛt bɛsay nɛ bɛbe",,
"","Bɛrɨŋ ɛbhɛn bɛ́tɔŋ bɛ mmu abhɔŋ nɛme ɛnɛn   Bɛrɨŋ ɛbhɛn bɛ́tɔŋ bɛ mmu abhɔŋ korónávayrɔs chi mbɔ ɛbhɛn: mbʉɛ́p ataŋataŋ, ɛwɔ́sí ɛkwaka nɛ bɛbě mmʉɛ́t nkɛm nɛ mmʉɛ́t bɛseri. Bo abhɛn bábhɔŋɔ neme ɛnɛn bághok bɛbe, nɛ manyuɛn bɛchok manyɛp amfuaka, nɛ ɛfʉɛrɛ́ ngoŋo, nɛ yɛ̌chi njwɛt. Mbɔk bho bábhɔŋ nɛme ɛnɛn kɛ bɛrɨŋ ɛbhɛn bɛpu bhak.  Bɛyǎ bho abhɛn babhɔ́ŋɔ́ nɔ bátaŋ ɛnɛ bábhɨ́kɨ́ sɔt ɛsáyrí babhe.",,
"","Mmu anɛ ábhɔ́ŋɔ́ ɛkwaka",,
"","Ɛnyǔ bo abhɛn babhɔŋ nɔ bákway bɛcharɛ batɨ  KOVID – 19 Bo abhɛn bábhɔ́ŋɔ́ vayrɔs nɛ kɛ bácharɛ bo bachak. Mmu anɛ áme nɔ, ǎfɛrɛ nɔ́ anyu ndu ɛkwaka, amfɛrɛ manywɛ́n ndu bɛ́chɨ́kɨ́. Nɛ mbák bo bachak bachi kɛkwɔt korónávayrɔs ǎfʉɛt bɔ amʉɛt ndu báfɛrɛ ɛ̌yu. Mbák mmu atɔk ɛnyɨŋ ɛnɛ kɛrokó batyɛ nɛ bɛ́hɨ́kɨ́ bɛkwɛnɛ arɛ, kɛ ansɔt nkúbhɛ́ awɔ wu antɔk yɛ̌chi nyɛ́sɛ́ ɛni, yɛ̌ nywɛn ɛni, nɛ yɛ̌ nyu ywi, ǎkway nkwɔ bɛ́bhɔŋ nɛme ɛnɛ́n.",,
"","Ɛnyu ɔ́kway bɛkɛm mmʉɛt bɛ ɔkɛ bhɔŋ nɔ",,
"","1. Kɛ́tɔk amɨ́k, kɛ́tɔk nnyuɛ́n nɛ kɛ́tɔk nnyu ywɛ. ",,
"","2. Sǒ amɔ́ ywɛ ndɔŋ nɛ ndɔŋ nɛ ɛ́sɔ́p nɛ manyɛp amɛn ɔ́nɔ́kɔ́sí amɔ arɛ, nɛ ɔ́ntɛsɛ amɔ́ nɛ táwáy anɛ achi pɛpɛp.",,
"","3. Kwaká ɛkwaka nɛ chɨkɨ bɛ́chɨ́kɨ́ amɛm nɛŋɔk-áwɔ. ",,
"","4. Kɛ́ nyiɛ nnya mbɨk nɛ kɛ́tɔk nnya ɛnɛ́ amɨk. Kɛ mbák ɔtɔk nnya ɛnɛ amɨk mbɔ mmú, soó amɔ́ yɛ témté nɛ ɛsɔp nɛ manyɛp amɛn ásɛp wɔ amɔ.",,
"","5. Fap mmʉɛ́t ɔ́mbak mbɔ mɛ́ta amɔt nɛ mmu anɛ ákwáká ɛkwaka nɛ yɛ̌chí anɛ áchɨkɨ bɛ́chɨ́kɨ́. ",,
"","6. Kɛ́ kaka mmu nɛ awɔ. Kaká bho chi nɛ ntí mɛ́mɔ́kɔ, nɛ ɛyɔŋɔ́-nyu. ",,
"","7. Kɛ́bhak ndǔ nchɛmnti-bho.",,
