source,translated,question,answer
"What you need to know about the CORONAVIRUS or COVID-19","Jə masa akwar da səna da yaŋ KAWRAWNAVIRUS daha aabay KAWVID-19",,
"","",,
"","Association Camerounaise pour la Traduction de la Bible et l'Alphabétisation",,
"","",,
"","",,
"","",,
"                    SUMMARY","                YAŊ TA MA ANA HAY",,
"- Coronavirus  - Vulnerable people - Symptoms - Transmission of coronavirus - How to protect yourself - What to do in case of contamination? - Definition of some difficult words ","- Kawrawnavirus - Ndah masa kawrawnavirus ana a zlafa metəhezeceŋ - Jene hay te meɗel mehecey ana - Mezev ta kawrawnavirus - Anda da lalkakwa vaw tandakwa sə, memey? - Anda da ŋgakwa gwagumaw daha andakwa eve mehecey ana cay? - Maŋguzad ma da yaŋ ma hay mazləla",,
"p.2 p.3 p.4 p.5 p.6 p.7   p.8","p.2  p.3 p.4 p.5   p.6  p.8 p.9 ",,
"Coronavirus, also known as COVID-19, is a new virus. It was first reported in China on 31 December 2019. It has flu-like symptoms and can cause death in some severe cases. It is widespread in many countries around the world. The origin of the disease is not yet known.","Kawrawnavirus  Kawrawnavirus sə, aca zaliya saya KAWVID-19, aŋga mawzarɗay waya. E zlerek macaaca ana dapa vavara ta Sinuwa hay da hwaɗ ta manah 31 ta kiya ta Mafaɗ 2019. Jə masa e ŋguzdek vaw kad a vəda ndana hay da səniya anjəkar aŋga ana sə, ara madama, a zlafa mahwad nda kad pa maməc masa e teh bay. Aŋga makwakwaca mabay dapa vavara fakwanay. Mehecey ana masa e zlerekey sə, ndana a səniya bay heley.",,
"Elderly person","Nda masa aŋga ava mavay cay",,
"Person with a heart condition or disease","Nda masa rav tata e ŋgel zef zef daha aabay nda masa mehecey ana a tərda bay",,
"Vulnerable people People of all ages can become infected with this new virus. The elderly and people with pre-existing conditions (such as asthma, diabetes, heart disease, high blood pressure) seem more likely to become seriously ill from this virus.","Ndah masa kawrawnavirus ana a zlafa metəhezeceŋ Kwa nda masa aŋga ava mavay wula wula fakwanay sə, mehecey waya ana nesey a zlafa matəhaziya. Ndah masa ac ava mavay va ndah eve mehecey hay masa ac ava aŋga dapa vaw dəga zleezle (madama ta rav, mehecey ta sukar, mehecey masa a ŋgal rav, mehecey masa a ŋgal rav a ɓərazla nda) aca zlafa meteɗ zef kad pe mehecey mahwalhwala ana masa a lal nda mafay ta mazarɗay ana nesey.",,
"Fever Fatigue","-Map kwakwaw fa vaw -Meyəvey",,
"Dry cough Muscle aches and pains","-Majajahw uway -Mefətes hay ece hec zef zef",,
"Symptoms The symptoms of a coronavirus infection are similar to those of the flu: fever, dry cough, muscle aches, fatigue. Some patients have pain, nasal congestion, runny nose, sore throat, or diarrhea. Some people, although infected, have no symptoms and feel fine. Most people recover without needing any special treatment.","Jene hay te meɗel mehecey ana Jene hay masa anda ɗalakwa fa ndah masa ac eve mehecey ana sə, jeŋ ana hay ac ara madama: Map kwakwaw fa vaw, majajahw uway, mefətes hay ece hec zef zef, meyəvey. Ndah kwabay hay dərziya vaw e hececeŋ, madazl həteŋ, hətaŋ e gejə jajaja, maŋgwarlam e hecey, mehed da hwaɗ. Ndah dərziya kwa ac eve mehecey ana amaa mehecey ana e sən vere ec aabay, ac manjaha werwer. Ndah dərziya ece mbəl dapa mehecey ana, amaa kwa ac ka ŋgat menjev mekele aabay.",,
"Person with a cough","Nda masa a jajahw uway",,
"Transmission of coronavirus COVID-19 is transmitted by people carrying the virus. When a sick person coughs or sneezes, they expel droplets through their nose or mouth. If a person breathes in these droplets, they can become infected with the coronavirus. If a person touches an object infected with these droplets and then touches their eyes, nose or mouth, they can also become infected.","Mezev ta kawrawnavirus Kawvid-19 e zəvek sə, jaka pa ndah masa ac ava mazarɗay ana ɓa. Daha nda gwabay a jajahw uway, a ŋgə weɗcew, e cəhek slesleɓ jaka pa hətaŋ daha aabay jaka pə ma. Daha ndana a səɗak slesleɓ ana kad hwaɗ, a zlafa maŋgat kawrawnavirus ana cay. Daha ndana e jejəhwek jene masa mehecey ana fətiya ɓa cay jaka pe slesleɓ ana hay va daha a ɓəla ndey hay, hətaŋ daha aabay ɗaf ta ma sə, a zlafa mazəvafa mehecey ana cay.",,
"How to protect yourself","Anda da lalkakwa vaw tandakwa sə, memey?",,
"1. Avoid touching eyes, nose, mouth.","1. Maŋgəlana vaw ta maɓəla ndey, hətaŋ, ɗaf ta ma.",,
"2. Wash your hands frequently with soap and running water. Then dry them with a clean towel.","2. Mapana ha cəɗem cəɗem ava yam mambəla ana va savaŋw. Ava dəɓa ana, matəkwaɗa ava rəkwat mambəla ana.",,
"3. Cough and sneeze into the crook of your arm. ","3. Majajahw uway va meŋgə weɗcew a hwaɗ ta maandalakw ta ha.",,
"4. Avoid eating raw meat and touching live animals.","4. Maŋgəlana vaw mandə slaw dendeɓek va mapafa ha gənaw hay masa ec eve ndey.",,
"5. Keep at least one meter away from a person who is cou- ghing or sneezing. ","5. Manjah da cak ta nda masa a jajahw uway daha aabay e ŋgə weɗcew sə, a lada walaŋ dapa taɓa de ŋgə aabay aabay meeter amta. ",,
"6. Avoid shaking hands. Greet each other with a nod or a verbal greeting.","6. Magərda megweɗ fa vaw ava macam ha. A lada megweɗ fa vaw sə, ava madərazl yaŋ daha aabay ava ma war.",,
"7. Avoid gatherings. ","7. Magərda makwas vaw hay.",,
"8. Restrict movement.","8. Magərda maŋgway hay masa taambəla.",,
"9. Keep informed and verify the source of information.","9. Manjah dapa macak zləmay va macəna slaslalay ta ma hay masa ndana hay ta gwaɗiya.",,
"What to do in case of contamination? If you have symptoms: - Avoid contact with other people. - Stay at home. - Call 1510 and follow the doctor's instructions. Other possible numbers:","Anda da ŋgakwa gwagumaw daha andakwa eve mehecey ana cay? Daha akwar eve meɗeley ana hay nesey: - Magərda madərazl vaw ava ndah mekele. - Manjah da wunam. - Mazal numerew nesey 1510 va macak zləmay fa ma hay masa daɓətar ta gwaɗakwar. Numerew hay mekele kana ɓa saya:",,
"699 279 622 675 308 373 698 423 929 655 728 884 670 713 979","699 279 622 675 308 373 698 423 929 655 728 884 670 713 979",,
"699 933 725 677 429 357 699 986 740 676 466 797 670 113 761","699 933 725 677 429 357 699 986 740 676 466 797 670 113 761",,
"To date, there is no cure for COVID-19, but authorities are continuing research to find a suitable treatment. Everyone must be responsible and take the right steps to protect themselves and those around them.","Ta pəsna nesey sə, menjev masa ta mambəl mehecey ta KAWVID-19 sə, aabay heley amaa ndah ta gwaməna hay aca yah wewer hay mekele mekele ta mambəl ndana hay ava aŋga.Kwa waawa da njah bay ta yaŋ tata va mayah wewer hay mambəla ana ta majal vaw tata va ndah da cak tata.",,
"Definition of some difficult words  Asthma: chronic lung disorder Contamination: infection Diabetes: disease that occurs when the body can't use glucose normally Flu: cough, influenza Infected: affected, touched Infection: disease Instructions: direction, information Patient: person under health care Pre-existing conditions: long-term disease Runny nose: excess nasal drainage Symptoms: signs of illness Treatment: cure, medication Virus: disease agent Vulnerable: defenseless, exposed","Maŋguzad ma da yaŋ ma hay mazləla   Mehecey te bef: mehecey te mesfen masa a kəɗa nda. Diyabet : mehecey ta sukar masa aŋga gaa dapa bembez. Madama ta hətaŋ: hətaŋ masa e gejə jajaja Maŋgat mehecey: nda masa mehecey ana ka zəvafa mehecey. Madama: mehecey, madama. Meɓerzley: bembez ka ɗahata elehey dapa dəmbazl te bembez ana a zlafa mahway sabay. Nda masa aŋga eve mehecey: nda masa mehecey ana ka təhaza avəda. Mezəvey: mehecey, mehecey masa e zəvey kad fa ndana hay gaa. Nda gwabay: nda masa aŋga mambəla ana aabay. Manjah gaa: cəɗem cəɗem, a yaŋ a yaŋ, e dey fəma fəma. E ŋgey: a zlafa, e səney. Meɗeley: meɗel te mehecey ana. Membəley: mambas mehecey, menjev hay. ",,
"","",,
