source,translated,question,answer
Sobre el Coronavirus,STOP VIRUS KORONA,,
,,,
,Tim Penerjemah Bahasa Wambon,,
,,,
,VIRUS KORONAne andagamondik komegegen eptage sanggomo katkenaktak,,
,etomat,,
,Bonopka,,
,Kalitka,,
,Kelopka,,
,Hinbalino kap,,
,Yayuno kap ,,
,Walokge matomalo topka Viruse moto komegemat ,,
,Wambemo kamgenakna. Kamge 2 metetkenaknandik,,
,1,,
,2m,,
,     Ahi !!!,,
,Golo kapwe apyokgup,,
,Egeptaga masketle nandakna. Emanunano egepwe hiwagilokdik goyo apyokdik ewe masket topka si halono sinimo manggopwe lawontakdoe.,,
,2,,
,Nombono kapwe epmo yayune bumdik,,
,Viruskola lawatbono kapwe tepwe lapbesanmono katkenagetoendik,,
,Langkap dagit talokge awopdik yayunggup dimopwe gogopwe amokgolo,,
,Bilin sendok,,
,Mobil talokgo  geleman,,
,Tombot,,
,Tisu,,
,Okdim,,
,Elektolonik ambat,,
,Masket mote besan nemet talok,,
,Halik talok lapdiman,,
,Mous,,
,Bolpen,,
,Aptop geleman,,
,Ego bisit,,
,Emandik,,
,Gogopwe viruskola lawono yayunmonamat.,,
,koyo gup sinimo manggopko kelopkalit lawatkegele,,
,koyo kelopwe lawo hopkotmat,,
,Manggopdoeka imakeman ewe baunbelo dako ga kelopkalitle lawat,,
,Matetbaline ewo imakeman ambatle sabungga goyo baikilin okga ogopnundik goyo,,
,Viruse imakeman ambat talokga bageno satkelopwe 24kupke motomgemoge.,,
,Nombemanyepmo viruse halongganuntak.,,
,Ewoptagolo,,
,Sabungga ogokmonagano nombephalogen.,,
,Bisit munggup,,
,Ga kelopkalitle laphetkoget. (Awopko kelopkalitkup laphetkoget.),,
,Kelat topwo na walip kolamo nege.”,,
,Tutnum topwo na walip kolamo nege,,
,Nombono bemsekge lio nanggatka ga bisitle ogoknu!,,
,        “Ou…,,
,Bisit talon kakmontopkup,,
,Ogoknuno kogeno 20 detik gentak,,
,Bisit muktopkup ogoknuntak.,,
,Bisit atat mimbanggup,,
,Ga bisitle andagambetik ogokmono bokge tembetkemat?,,
,Lawatkegele,,
,Masket mote besan talokge ga bisitka lawoget.,,
,Masketle ugumgegeno motomgetkegele viruse ephalo bage komegemat.,,
,Ga masketle bokgupkegele sanun ka. Masketle ugumgeno satle dominuk laphaloget.,,
,Sendokge egepkup-egepkup,,
,Amit,,
,Bap,,
,Nayop,,
,Handokge egepkup-egepkup,,
,Andemopkup,,
,Bisit munggupkane ga kelopkalitle lawogetoe,,
,Lapkitmomatkegele,,
,Ap etomalo topka,,
,Andemop enogeno topka,,
,Ga bisitle alipkup satkup sabungga ogopnu.,,
,Batgotop,,
,WAMBEMBETIK HINBALINGGA NAMBO! ,,
,Kitanggutlo lukge tulepon halongga hetago katkenak.,,
,This animation shows how far your sneeze can actually travel by Chia Yi Hou and Andrea Schmitz,,
,The Wuhan Virus: How to stay safe,,
,How to Avoid the Corona Virus? Wash your hands,,
,Virus Korona singino luk ewe nombono buku-buku talokga detbo:,,
,Kitanggutlo takbukman: Buku komik nombone yayun kitanggutla asinggup hiwagilokgup wambemomopsigindik. Gupwe yayune tembetik,,
,,,
,,,
,,,
,,,
Sobre el Coronavirus                                                                                         Sobre el Coronavirus        ,STOP VIRUS KORONA  Tim Penerjemah Bahasa Wambon  VIRUS KORONAne andagamondik komegegen eptage sanggomo katkenaktak  etomat Bonopka Kalitka Kelopka Hinbalino kap Yayuno kap  Walokge matomalo topka Viruse moto komegemat  Wambemo kamgenakna. Kamge 2 metetkenaknandik,,
