source,translated,question,answer
Covid-19ကို ရှောင်ရှားခြင်း , Covid-19ကို ရှောင်ရှားခြင်း,,
,,,
,,,
,,,
,,,
,,,
,မျက်စိ၊ နှာခေါင်းနှင့် ပါးစပ်ကို မထိပါနှင့်။,,
,နှာချေ၊ ချောင်းဆိုးတဲ့အခါ သင့်နှာခေါင်းနဲ့ ပါးစပ်ကို တံတောင်ဆစ် (သို့) တစ်ရှူးနဲ့အုပ်ထားပါ။ ပြီးလျှင် ယင်းတစ်ရှူးကို ချက်ချင်းအမှိုက်ပုံးထဲ ထည့်ပါ။,,
,လူတစ်ယောက်နဲ့တစ်ယောက် အနည်းဆုံး ၂မီတာအကွာတွင် နေပါ။,,
,နေမကောင်းဖြစ်လျှင် အိမ်တွင်နေပါ။ ချောင်းဆိုးခြင်း၊ အသက်ရှူရခက်ခြင်းနှင့် အဖျားရှိနေပါက နီးစပ်ရာ ဆေးရုံ ဆေးခန်းသို့ အမြန်ဆုံး သွားရောက် ပြသပါ။ ,,
,COVID-19 နှင့်ပတ်သက်၍ နောက်ဆုံးရသတင်း အချက်အလက်များကို ရယူပါ။ ကျန်းမာရေးဝန်ကြီးဌာနမှ အခါအားလျော်စွာထုတ်ပြန်ထားသည့် အကြံပြုချက်များကို ကောင်းစွာ လိုက်နာပါ။,,
Covid-19ကို ရှောင်ရှားခြင်း     Covid-19ကို ရှောင်ရှားခြင်း               , Covid-19ကို ရှောင်ရှားခြင်း     Covid-19ကို ရှောင်ရှားခြင်း        မျက်စိ၊ နှာခေါင်းနှင့် ပါးစပ်ကို မထိပါနှင့်။ နှာချေ၊ ချောင်းဆိုးတဲ့အခါ သင့်နှာခေါင်းနဲ့ ပါးစပ်ကို တံတောင်ဆစ် (သို့) တစ်ရှူးနဲ့အုပ်ထားပါ။ ပြီးလျှင် ယင်းတစ်ရှူးကို ချက်ချင်းအမှိုက်ပုံးထဲ ထည့်ပါ။ လူတစ်ယောက်နဲ့တစ်ယောက် အနည်းဆုံး ၂မီတာအကွာတွင် နေပါ။ နေမကောင်းဖြစ်လျှင် အိမ်တွင်နေပါ။ ချောင်းဆိုးခြင်း၊ အသက်ရှူရခက်ခြင်းနှင့် အဖျားရှိနေပါက နီးစပ်ရာ ဆေးရုံ ဆေးခန်းသို့ အမြန်ဆုံး သွားရောက် ပြသပါ။  COVID-19 နှင့်ပတ်သက်၍ နောက်ဆုံးရသတင်း အချက်အလက်များကို ရယူပါ။ ကျန်းမာရေးဝန်ကြီးဌာနမှ အခါအားလျော်စွာထုတ်ပြန်ထားသည့် အကြံပြုချက်များကို ကောင်းစွာ လိုက်နာပါ။  ,,
