source,translated,question,answer
What you need to know about the CORONAVIRUS or COVID-19,Ale aməgəsaka aməsəre nəvá kə koronavəyrəws aka Koronavəyrəws bəyɗu kovəyd-19,,
,,,
,Association Camerounaise pour la Traduction de la Bible et l'Alphabétisation,,
,,,
,,,
,,,
                    SUMMARY,                      MA TOFL GA,,
- Coronavirus  - Vulnerable people - Symptoms - Transmission of coronavirus - How to protect yourself - What to do in case of contamination? - Definition of some difficult words ,-Koronavəyrəws -Ndam məsəye avəya ahay -Məwere ahay -Məjəve anga koronavəyrəws -Məjəgorakəvá va ná memey? -Asa ajəvan avá ana məze ná məgəye na ahàŋ ná memey? -Məpəseke ma ahay məgəye gar ahayga  ,,
p.2 p.3 p.4 p.5 p.6 p.7   p.8,p.2 p.3 p.4 p.5 p.6  p.8 p.9,,
Coronavirus, also known as COVID-19,,
Elderly person,Məze aməgarəvá məvəye,,
Person with a heart condition or disease,Məze aməgarəvá cəje a ɓərav bəyɗəw aməsəye avəya nə cəje,,
Vulnerable people People of all ages can become infected with this new virus. The elderly and people with pre-existing conditions (such as asthma, diabetes,,
Fever Fatigue,-məbiye oko kavaka -məyeɗe,,
Dry cough Muscle aches and pains,-məɓəsle sasəfəlak ga -alməwere aməkəɗe hərva,,
Symptoms The symptoms of a coronavirus infection are similar to those of the flu: fever, dry cough,,
Person with a cough,Məze amanday aməɓəsle,,
Transmission of coronavirus COVID-19 is transmitted by people carrying the virus. When a sick person coughs or sneezes, they expel droplets through their nose or mouth. If a person breathes in these droplets,,
How to protect yourself,Məjəgorakəvá va ná memey?,,
1. Avoid touching eyes, nose,,
2. Wash your hands frequently with soap and running water. Then dry them with a clean towel.,2. Məbele ahar wapaka wapaka ná,,
3. Cough and sneeze into the crook of your arm. ,3. Asa asok aməɓəsle ná,,
4. Avoid eating raw meat and touching live animals.,4. Məgye endeɓ amepeɗe sese jaslay ga  nə məlamata ana gənəw ahay nele ahay ga.,,
5. Keep at least one meter away from a person who is cou- ghing or sneezing. ,5. Məgəye welen nə məze amanday aməɓəsle nə məgəɓekwe ná,,
6. Avoid shaking hands. Greet each other with a nod or a verbal greeting.,6. Məgəye endeɓ ana məgəse ahar. Məjəye ma nə mekete ahar bəyɗəw nə ma.,,
7. Avoid gatherings. ,7. Məgəye endeɓ nə məhele ahay deseŋdeseŋ.,,
8. Restrict movement.,8. Məgulakəva mətele ahay.,,
9. Keep informed and verify the source of information.,9. Məcehe ma nata məwənjele na  slam a ma ahay ndana aməlala ná.,,
What to do in case of contamination? If you have symptoms: - Avoid contact with other people. - Stay at home. - Call 1510 and follow the doctor's instructions. Other possible numbers:,Asa ajəvan avá ana məze ná məgəye na ahàŋ ná memey? Asa məwere ahaŋ ahay təngazlava kə ləkwəye ná: - Gom anan endeɓ aməjepe nə meze enen ahay. - Hənjom ná a mogom. - Torom anan ma ana lamba 1510 nata dəbom anan guzo ana ma anga dokter ahay. Lamba ahay terre ahayga ehe kəleŋ:,,
699 279 622 675 308 373 698 423 929 655 728 884 670 713 979,699 279 622 675 308 373 698 423 929 655 728 884 670 713 979 ,,
699 933 725 677 429 357 699 986 740 676 466 797 670 113 761,699 933 725 677 429 357 699 986 740 676 466 797 670 113 761,,
To date, there is no cure for COVID-19,,
Definition of some difficult words  Asthma: chronic lung disorder Contamination: infection Diabetes: disease that occurs when the body can't use glucose normally Flu: cough, influenza Infected: affected,,
,,,
What you need to know about the CORONAVIRUS or COVID-19    What you need to know about the CORONAVIRUS or COVID-19                           SUMMARY - Coronavirus  - Vulnerable people - Symptoms - Transmission of coronavirus - How to protect yourself - What to do in case of contamination? - Definition of some difficult words     p.2 p.3 p.4 p.5 p.6 p.7   p.8 Coronavirus, also known as COVID-19,,
