source,translated,question,answer
O Leleno Virusu Korona,About Coronavirus,,
,,,
,,,
Amea paghalulu kakumonie nakee maimpae virusu korona ana  nopikalele,,,
Bhobha,,,
Ngo'o ,,,
Mata,,,
Nopisua i lalono,,,
Mia mantaha,,,
Mia kopanaki,,,
Virusu iaana nopikalele nopilala i  tampisano ilu,,,
Pikombelai. Ciabhe naghumatoso tampisano ilu sumano cumianda-anda i kambelai ghua meteghe.,,,
1,,,
0,5 m - 2 m,,
Tamiaciho ‘Haaachi’,,,
Jari, ane cumita mia nakokudha/namiaciho/ nakopananaki,,
Dhawuisie maskere. Jari moia namimbali namiaciho atawa nakokudha ilalono maskereno dhiaaso napasalamati mia I lepe-lepeno. ,,,
2,,,
Tarima kasi “SROOT”,,,
Atawa,,,
Itaano kabilanga mia iaana cia nakopanaki. Hawite nopajaga kuluno.,,,
Ane mia nokovirusumo agaa cia nacikoni, hawali nopimbali nopolimba panakino (imia agaano ‘orang lain’).,,
Kaumelasano hake, kolie kapoghompu-ghompu hulanomo cia takumonie Inde-indeeno kopanakino.,,
Maataa,,,
Kauntaano kereta,,,
Kaisono lifu,,,
Tisu,,,
Tonde,,,
Paghewano digitala,,,
Mohake italikuno maskere,,,
Kauntaano ea,,,
Mousu,,,
Pena,,,
Limano bhobha,,,
Limano moia,,,
Hawali, agaa iluno mia kopanaki nopimbali nopika i...,,
Siambalimbalisimiu cukakopanaki,,,
Atawa hulano mia tatangkuno mai isoo ,,,
Cugigisimo matamu,,,
Mohake cia cukamaghadhami cukaghumuncu  bara-bara longkee pooliwange cukaghumuncumo hulamiu.,,,
Ame-meano Lala dhiaso tamikawulu virusu iaana towanuiisie sabo, pemutih,,
Virusu iaana nodhadhi padhai ghua pulu pato jamu i wiwino bara-bara.,,,
Sabo,,,
lala niumelaaso doghi.,,,
Longkeenomo, umelano pali tahumokoloe,,
Wanuiisie sabo padhai kanakee,,,
Mina i palano lima padha i siku,,,
Kolie mughuncu hulamu(atawa hulano mia). Ane ciamo nacitaghai, wanuiepo pangulu limamiu kapakeisie sabo.,,
Kabilanga topilaguaso “Lakadhandio” ghua mpalinga,,,
I woghuno kunusu,,,
I lalono 20 deti,,,
I lapitano wunga lima,,,
Towanui toghukuno  lima,,,
Maimpae towaanui lima sampe nomongkilo?,,,
Ane nocidhingkumo, kolie katokinda. Kawanuie maghimba limamiu kapakeisie sabo.,,
Kolie kaghuncu talikuno maskere.,,,
Tampisano ilu,,,
Bakteri iaana nokoana-ana i lalono maskere ane topakee nomelengo pali.,,,
Kakabhiemo maskeremiu ane nojahanamo. Kolie kapake maskere nakolabhimo aalo.,,,
Kapake kasidhuno pikughi,,,
Ana/ ungkaka ,,,
Ama,,,
Ina,,,
Kapake handu amia-amia,,,
Kolie kapikabhawaaso kamaa, maataa,,
Cia cumooli cughumuncu hulamu cupakeisie sikumu.. sobaepo.,,,
Ane namimbali, cukamambe atawa cukahomompo bhobha kapakeiisie siku atawa bhobhose.,,
I kaana,,,
Kamina i kaghamaea,,,
Mina ciapo cukamaa,,,
Pikaneaisiie wanuie limamu kapakeisie sabo,,,
Pupusiano,,,
Kajaganie kamantaha- (miu kalian’)!,,,
Kabacae kopomba agaano dhoghi i wawo,,,
This animation shows how far your sneeze can actually travel by Chia Yi Hou and Andrea Schmitz, in Business Insider (Jan 21,,
The Wuhan Virus: How to stay safe, by Laurie Garrett,,
How to avoid the coronavirus? Wash your hands, by Elizabeth Rosenthal,,
Kapoomba Dhiaaso Tamantahaaso:,,,
Keterangan tambahan: Tindakan pencegahan dalam bentuk komik ini sangat efektif untuk mencegah penularan penyakit umum lainnya, seperti flu dan pilek,,
,Diterjemahkan dalam Bahasa Ciacia oleh La Yani Konisi,,
,Versi bahasa Inggris dibuat oleh Paul Frank (www. sil-lead.org),,
,Created by Weiman Kow,,
O Leleno Virusu Korona    Amea paghalulu kakumonie nakee maimpae virusu korona ana  nopikalele  Bhobha Ngo'o  Mata Nopisua i lalono Mia mantaha Mia kopanaki Virusu iaana nopikalele nopilala i  tampisano ilu Pikombelai. Ciabhe naghumatoso tampisano ilu sumano cumianda-anda i kambelai ghua meteghe. 1 0,5 m - 2 m Tamiaciho ‘Haaachi’ Jari,,
