source,translated,question,answer
Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19,Anwɔ̀ɔ yə ghò teʼe mɨ̀ zaà a nɔ àghɔɔ yə adzwì abè bə̀ tɔg̀ɔ̀ ni CORONAVIRUS kə̀ ni COVID-19,,
,,,
,Cameroon Association for Bible Translation and Literacy,,
,,,
,,,
,,,
                                                  SOMMAIRE,                      MƗ̀ TSÈTÌ MƗ̀NWƆƆ ,,
- Coronavirus - Personnes vulnérables - Symptômes - Transmission du coronavirus - Comment se protéger? - Que faire en cas de contamination? - Définition des mots difficiles,- Àghɔɔ wu (coronavirus) - Bə̀bəə kaʼa àghɔɔ wù azàŋsi ngàga a wə̀ - Bɨ̀ məndum mɨ zà ngə̀ àghɔ wù dzwi a nò ŋwè - Loʼowə̀ bu àghɔɔ wù a lèm - Ìloʼo mɨ̀ tòʼònì ni ìno yò - Ànwɔɔ yə̀ fu ghò gè tə̀fu àghɔɔ wù a gàgà ghò ,,
p.2 p.3 p.4 p.5 p.6 p.7 p.8,p.2  p.3  p.4  p.5 p.6  p.8 ,,
Le coronavirus, aussi appelé COVID-19,,
Personne âgée,Bɨ̀təŋkaŋ bə̀,,
Personne cardiaque ou souffrant de maladie,Ŋwè wə tə aghɔɔnə nʼaghɔɔ ntim,,
Personnes vulnérables Les personnes de tous âges, y compris les enfants,,
- Fièvre - Fatigue,-nò ŋimni no -nikɔɔ,,
- Toux sèche - Douleurs musculaires,-àkwe zhubɨ̀li -zàŋnì no,,
Les symptômes Les symptômes d'une infection au coronavirus ressemblent à ceux de la grippe : fièvre, toux sèche,,
Personne qui tousse,Ŋwè wə teʼe akwe,,
Transmission du coronavirus Le COVID-19 est transmis par des personnes porteuses du virus. Quand un malade tousse ou éternue, il expulse des gouttelettes par le nez ou la bouche. Si une personne respire ces gouttelettes,,
Comment se protéger ?,IloꞋo mɨ̀ toꞋònì ni ìnò yò,,
1. Eviter de se toucher les yeux, le nez,,
2. Se laver souvent les mains à l'eau courante et au savon. Ensuite les sécher avec une serviette propre.,2. Suu mbwɔ moo àmbò tsàm ni nìki,,
3. Tousser et éternuer dans le creux de son bras.,3. Kə nkwe,,
4. Eviter de manger de la viande crue et de toucher des animaux vivants.,4. Kɨ̀ inɔɔ yə̀ bɨ lɔɔ i kɨ ni ne mbi ni mphɔ,,
5. Garder une distance d'au moins un mètre avec une personne qui tousse ou qui éternue.,5. Kɨ ni ntim nkumtə̀ ŋwè wə̀ tə̀ a kwee mbəgə njiinə. ,,
6. Eviter de se serrer la main. Se saluer par un signe de tête ou une salutation verbale.,6. Kɨ bə̀ ni mbwo nchyatə̀ nə̂ʼətə atu kə fɨ achyatə ntsoo. ,,
7. Eviter les rassemblements.,7. Bə kə’ ntseetə ghaʼtə.,,
8. Limiter ses déplacements.,8. Binni kɨ tibɔ̀gɔ ngii.,,
9. Se tenir informé et vérifier la source de ses informations.,9. Bə̀ lɔɔsə atu a no mɨ̀nwɔ me mɨ chəə,,
Que faire en cas de contamination ? Si vous présentez des symptômes : - Evitez les contacts avec d'autres personnes. - Restez à domicile. - Appelez le 1510 et suivez les consignes des médecins. Autres numéros possibles :,Ànɔɔyə fu gho gè təfu àghɔɔ wù a gàga gho  Tefu gho teʼe ləŋsi ghɔɔ dze: -         Kəʼə nibee bə̀ nkumtə -         Kə nee ndyə -         Tɔgɔ 1510 i nkwè ǹtəə a mbuu docta kə gho tɔŋ mɨndeŋ me a noo.,,
699 279 622 675 308 373 698 423 929 655 728 884 670 713 979,699 279 622 675 308 373 698 423 929 655 728 884 670 713 979,,
699 933 725 677 429 357 699 986 740 676 466 797 670 113 761,699 933 725 677 429 357 699 986 740 676 466 797 670 113 761,,
A ce jour, il n'existe aucun médicament capable de guérir du COVID-19 mais les autorités continuent les recherches pour trouver un traitement adapté. Chacun doit être responsable et adopter les bons gestes pour se protéger et protéger son entourage.,,
Définition des mots difficiles  Asthme : maladie respiratoire chronique Consignes : ordres, recommandations Diabète : maladie qui se caractérise par un taux de sucre trop élevé dans le sang Ecoulement nasal : avoir le nez qui coule Etre contaminé : être atteint par la maladie Grippe : maladie,,
,,,
Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19    Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19                                                         SOMMAIRE - Coronavirus - Personnes vulnérables - Symptômes - Transmission du coronavirus - Comment se protéger? - Que faire en cas de contamination? - Définition des mots difficiles    p.2 p.3 p.4 p.5 p.6 p.7 p.8 Le coronavirus, aussi appelé COVID-19,,
