source,translated,question,answer
Penngissangngiqi naia nioaang Virus Corona,About Coronavirus,,
,,,
,,,
Mesade de neiq pepahangngi umba noa caranan virus corona mellele. ,,,
Sua,,,
Pudung,,,
Mata,,,
Mettama laling,,,
To magassing,,,
To masaki,,,
Indediq virus mellele moaq diang to tibarassi,,,
Dako sikadukku beka pano tau. Moaq meloq tau amang Annaq uqde tau naroa elunna pano sola muaq tibarassi, dako sikdukku beka pano,,
1,,,
2m - 0,5m,,
Haaachii!!,,,
Aka deneiq namu babe muaq mangita tau to seqdeng, to tibarassi:,,
BENGNGI PANO MASKER. Jari mala kasiq tibarassi/Seqdeng laling di maskerna annaq malai mappasalamaq rupa tau.,,,
2,,,
Tarima kasih “SROOT”,,,
Mala tobande,,,
Uqde kapang masaski/mapiqdi indo tau. Napaparoa kalettuneiq kalaena annaq uqde naroa indeqe piqdiq.,,,
Akaq indo to naleleimi inde piqdiq, uqde leqbaq tiqi nadiang nita pano makkuallaq-allaq dibatang kalaena. Aka deneiq memmanya-manya tau akaq indo pano tonaleleimi inde piqdi,,
Aka deneiq, dako pano di tomaroaq,,
Andeang,,,
To Magassing,,,
Pettuqgalanganna kereta,,,
Pepesseqna lif,,,
Palluqluq/ Tissu,,,
Kaca/gallas,,,
Pareba digital,,,
Annaq disulihanna masker,,,
Pettuqgalangan endeq,,,
Mos,,,
Polopeng,,,
Ahona baqba,,,
Tajena,,,
Moa umba noa, akaq mala toi elunna sola mendekkeq pano ...,,
Namasaki/namapiqdiq nasakkoaq,,,
Anna rupanna pano rupa tau to musikadukkuang,,,
Mupojoqi matammu,,,
Muaq uqde mutumbanga mangatti indo pano barang-barang, annaq muatti bumi rupammu kalaemu.,,
Mesa kale deneiq mala nipogau annaq mala malai indeq pidiq, anna mala mate inde pambaha piqdi. akami indoqo,,
Indediq piqdiq nakulle tuho pano dinahang sambengi sangallo (24 jam) pano diahona barang-barang.,,,
Sabung,,,
aka nipogauq annaq malai malai inde piqdiq.,,,
Akade neiq pengissangngi mating,,,
Baseiqi, mappake tau sabung tandaq dinde.,,
Sikkung,,,
Da muroa pano rupammua.(Anna rupanna pano/lako rupa tau.) Muaq uqderangngia namala uqde nanipogauq, yaq nibasei kalemi tajeta ingga mapaccinna,,
Sitteng masaena muaq makkelong tau “Happy Birthday” pendeqdua.,,,
Kanikimmu,,,
Paling masaemi muaq 20 detik,,,
Allaqna pano kareme tajemu,,,
Basei ahona tajemu,,,
Umba noa cara mambasei taje annaq mala mapaccing sisiqda?,,,
Muaq muroari palakang, dako tappa rabang. Aka deneiq tappa pano mi tau nibasei tajetaq anna nipakeang toi sabung.,,
Da muroai ahona (Sulihanna) maskermu,,,
Merassiqi uhai elu,,,
Akaq inde piqdi mala menjari maiqdi illaing di masker muaq masae beka nipake.,,,
Tibei maskermu muaq sarupuqmi musaqding. Da mulewaqi sangallo mupake maskermu.,,,
Mappake seruq dokkaju tau,,,
Anaq,,,
Ambe,,,
Indo,,,
Handuqta toi kitaq nipake,,,
Dako passolai ande, andeang,,
Akaq de mala naniroa rupatta muaq sikkung kalaetaq. Pogauqmi ...,,,
Muaq malai, muaq mambokaqi tau baqba,,
Sapo,,,
Wattuttaq messohong di sapo,,,
Uru naummandetaq,,,
Semat basei tajetaq mappake sabung...,,,
Paccappuranna,,,
Mala arattau sehaq asang!,,,
Mambaca tau artikel annaq cara-carana anna detau naroa piqdiq.,,,
This animation shows how far your sneeze can actually travel by Chia Yi Hou and Andrea Schmitz, in Business Insider (Jan 21,,
The Wuhan Virus: How to stay safe, by Laurie Garrett,,
How to avoid the coronavirus? Wash your hands, by Elizabeth Rosenthal,,
Muaq mangitai tau kabar, yaq meringgimi tau aka naoa to maqjama di kesehatang:,,
Keterangan tambahan: Tindakan pencegahan dalam bentuk komik ini sangat efektif untuk mencegah penularan penyakit umum lainnya, seperti flu dan pilek,,
,Diterjemahkan ke dalam Bahasa Ulumanda' oleh Busra Basir Mr,,
,Versi bahasa Inggris dibuat oleh Paul Frank (www. sil-lead.org),,
,Created by Weiman Kow,,
Penngissangngiqi naia nioaang Virus Corona    Mesade de neiq pepahangngi umba noa caranan virus corona mellele.   Sua Pudung Mata Mettama laling To magassing To masaki Indediq virus mellele moaq diang to tibarassi Dako sikadukku beka pano tau. Moaq meloq tau amang Annaq uqde tau naroa elunna pano sola muaq tibarassi, dako sikdukku beka pano,,
