source,translated,question,answer
Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19,Yə̌ ɛ́yə́ sí lɔ́líní ɛ bî  tɛ́ngɛnɛ KORÓNAVAYRUSƏ tɔ̂ COVID-19,,
,,,
,Cameroon Association for Bible Translation and Literacy,,
,,,
,,,
,           MATƆTI MÁ MBYÁ,,
,- Korónvayrɔsə - Baʼ ábə́ nyambɛ̌ a tingání ɛ wáli - Biyəmblan  - Likutan lí kɛ́n ɛ koróna - Yə̌ ɛ́yə́ sí lɔ́líní ɛ bwə nána nyambɛ̂ a nínán a si kután sə́ - Yə̌ sí tíngání ɛ bwə njí nyambɛ̂ anín a kutání sə́? ,,
,p.2 p.3 p.4 p.5  p.6   p.8 ,,
,Korónavarusə tɔ̂ COVID-19,,
,Batína,,
,Mɔ awə̌ a wɔ́ŋí nyambɛ̂ a nlə́m,,
,Baʼ ábə́ nyambɛ̂ anin a tíngání ɛ wáli  Kɛ́n ɛ kɔ́nə́ ɛ nínán ɛ tingání ɛ kutan baʼ bá kɔ́l ɛsə́sə̌n. Batína na baʼ ábə́ bá mə̌ ɛ́ wɔ́ŋ biyəmblan bí nyambɛ̂ (ngə nyambɛ̂ a pəmi,,
,-Ɛfi -Wukɔmbakɔm (nyǔ ɛ̌ ləŋ wə á tin),,
,-Ɛkwɛ́sí ɛ́ kínjyə na wuwa wú maka má nyǔ,,
,Biyəmblan  Biyəmblan bí kɛ́n ɛ Koróna bí dí mulinlin ngə bí ngɔ́nkɛlɛ: Nkfulu,,
,Mɔ a wə̌ á wɔŋí ɛkwɛ́sí,,
,Likutan lí kɛ́n ɛ koróna Baʼ ábə́ bá wúŋí COVID-19,,
,Yə̌ ɛ́yə́ sí lɔ́líní ɛ bwə nána nyambɛ̂ a nínán a si kután sə́,,
,1. Sí si nyɔtí mî,,
,2. Sí wû makɛ́ má sə ɛtî tɛ́ na sɔ́pí na madí ámə́ má sáŋí. Ti sí fyákú mɔ́ ná táwili ɛyə̌ ɛ sáŋí.,,
,3. Sí Kfwɛ́sí,,
,4. Sí si dyá nyam ɛ pínyə́; sí si nyɔti ka pə́ nyam ɛ́yə́ ɛ dí wə́ á lungɛ́. Ndé njí sí nyɔ́tí yɔ́,,
,5. Sí si wútán mɔ awə̌ ǎ kwɛ́si tɔ awə̌ ǎ shə́mu. ,,
,6. Sì si sambán pə́ baꞌ na makɛ́. ,,
,7. Sí si kə̌ á fə́ limuti lí díní.,,
,8. Sí máku miyə́ngə́.,,
,9. Sí wánan á li kwisí ndúm tɛngɛnɛ yə̌ ɛ́yə́ ɛ́ bwəlan,,
,Yə̌ sí tíngání ɛ bwə njí nyambɛ̂ anín a kutání sə́? Njí sí wɔ́ŋí Biyəmblan bî:   - Sí si wɔ́kɔ́n á nyǔ na baʼ bápə́pə̌.   - Sí dyɛ̂ á mandáʼ má sə.   - Sí bəŋ nsɔŋgí n tɛlɛfónə 1510,,
,699 279 622 675 308 373 698 423 929 655 728 884 670 713 979,,
,699 933 725 677 429 357 699 986 740 676 466 797 670 113 761,,
,Kə́ŋ ti wúyə́ bwə̌ bú shiyǎ á bə́ bú tíngání ɛ́ ma nyambɛ̂ a CÓVID-19,,
,,,
,,,
Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19    Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19                                                               ,Yə̌ ɛ́yə́ sí lɔ́líní ɛ bî  tɛ́ngɛnɛ KORÓNAVAYRUSƏ tɔ̂ COVID-19  Cameroon Association for Bible Translation and Literacy  Yə̌ ɛ́yə́ sí lɔ́líní ɛ bî  tɛ́ngɛnɛ KORÓNAVAYRUSƏ tɔ̂ COVID-19                  MATƆTI MÁ MBYÁ - Korónvayrɔsə - Baʼ ábə́ nyambɛ̌ a tingání ɛ wáli - Biyəmblan  - Likutan lí kɛ́n ɛ koróna - Yə̌ ɛ́yə́ sí lɔ́líní ɛ bwə nána nyambɛ̂ a nínán a si kután sə́ - Yə̌ sí tíngání ɛ bwə njí nyambɛ̂ anín a kutání sə́?     p.2 p.3 p.4 p.5  p.6   p.8  Korónavarusə tɔ̂ COVID-19,,
