source,translated,question,answer
Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19,Ɛtsulu Yɔ Korona Varos Əne Wɔhəbhərə Kɔkərə,,
,,,
,Cameroon Association for Bible Translation and Literacy,,
,,,
,,,
,                       Mɛrəŋgə Mə Minu,,
,- Koronavaros - Mɔŋgulu ənə əmamə ɔwusu uhuŋgu - Emənə yɔ Koronə - Efəghə ənə Korunu owuŋgunə otə - Efəghə ənə kɛnyini wokə ɔhu ɔvu əhə ɔgunu nɛni - Ɔgə ənə wɔhəbhərə kɛnyini korona uhuŋgu uvu ,,
,p.2 p.3 p.4 p.5   p.6  p.8 ,,
,Koronavaros  Koronavaros mɛbiri otsə (KOVID_19),,
,Oŋgulu wɔtəbanə,,
,Oŋgul ənə ɔfughuru nə otəmə ,,
,Mɔŋgulu ənə əmamə mawusu ɛki Koronavaros  Varos woyi nɛni əmamə uhuŋgu di əsamu wuneli ɔyunu,,
,-Ɔhu ozunwanə -Mɔburwanə,,
,-Kanəŋgərə -Kɔyu aghəŋgə akənanə,,
,Emənə yi ɔgunu Wɔ Koronavaros  Emənə yi ɔgunu wɔ Koronavaros ezhi ekpə di emənə yi kɔyu,,
,Oŋgulu ənə ɔhəbhərə kɔyu,,
,Efeghə ənə koronavaros owuŋguŋə otə  Amu mɔŋgulu ənə mahəbhərə koronavaros motumburu agəbhə ɔhə kə mɔŋgulu mɔnɔbə. Oŋgulu ənə ɔhəbhərə koronavaros ôkishi kɔyu mə ôtishi ɛtishi (ôkpishi ɛkpish),,
,Efəghə ənə Kɛnyini Wokə Ɔhu Ɔvu Əhə Ɔgunu Nɛni,,
,1. Tɛchi ɔŋguŋə oshi ɛzhi,,
,2. Tsəbhə osu abu ɛzhi kɔtsəbhə ɔsu otə kusu tokpi tikwiku. Ɔhini wushiŋgi otə kebhi kiburu kebhinjyanə. ,,
,3. Kishí kɔyu nə wokpishí ɛkpishi əsotə kə etsə yɔbu. ,,
,4. Di okpə wuri ɛnyimi yɛku nə di okpə wochi ɛnyimi ənə ebərə eemu. Ŋgə wuchɛchini,,
,5. Mu,,
,6. Wutotumuŋə ɔbu ɔhə kə mɔŋgulu. Wupinyini mɔŋgulu otə kə esəŋgə ɔbu mə wupinyini okpə mɔŋgulu otə kə ɛyəbhə ɔdzu.,,
,7. Wutamu ɔŋguŋə ɛvyotə kitu.,,
,8. Wutɔwuŋgu obughuŋə.,,
,9. Wokiri okərə ɛtsulu ənə itumburu nə koronavaros. Nə wɔtəmbə ɔwulu ənə ɛtsulu ɛzhini ilu ɔhu.,,
,Ɔgə ənə wɔhəbhərə kɛnyini korona uhuŋgu uvu.  Wodi emənə yɔ Koronavaros:   - Tɛchi ɔŋgunə mɔŋgulu   - Mu kitumbu-itumbu   - Biri 1510 wonyini ɔgə ənə dutu ɔkərə ɔbə.  Ɔhumbu yi mitighiri yɔkərə:  ,,
,699 279 622 675 308 373 698 423 929 655 728 884 670 713 979,,
,699 933 725 677 429 357 699 986 740 676 466 797 670 113 761,,
,Kənɔtsə iwunu mənəhɔkiri efəghə ənə kafərə KOVID_19,,
,,,
,,,
Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19    Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19                                                               ,Ɛtsulu Yɔ Korona Varos Əne Wɔhəbhərə Kɔkərə  Cameroon Association for Bible Translation and Literacy  Ɛtsulu Yɔ Korona Varos Əne Wɔhəbhərə Kɔkərə                              Mɛrəŋgə Mə Minu - Koronavaros - Mɔŋgulu ənə əmamə ɔwusu uhuŋgu - Emənə yɔ Koronə - Efəghə ənə Korunu owuŋgunə otə - Efəghə ənə kɛnyini wokə ɔhu ɔvu əhə ɔgunu nɛni - Ɔgə ənə wɔhəbhərə kɛnyini korona uhuŋgu uvu     p.2 p.3 p.4 p.5   p.6  p.8  Koronavaros  Koronavaros mɛbiri otsə (KOVID_19),,
