source,translated,question,answer
Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19,Àghɨa à bɔ ndɨ àa ko ane ànəa kòlonavȩlùs kò KOVIK-19,,
,,,
,Cameroon Association for Bible Translation and Literacy,,
,,,
,,,
,,,
                                                  SOMMAIRE,              ÀGhƗA ÀA ÈBÊM LA ,,
- Coronavirus - Personnes vulnérables - Symptômes - Transmission du coronavirus - Comment se protéger? - Que faire en cas de contamination? - Définition des mots difficiles,- Kòlona vȩlùs - Bòt betsiʼa a ba̧ awɔb la - Àghɨa  àa nyɨ̀ʼta nê wòt bɔ la - Ndɨ àa ngȩ̀ȩ̀nà la - Ndɨ betsiʼa à bààbe awê la - Àghɨa àa ghɨ̌,,
p.2 p.3 p.4 p.5 p.6 p.7 p.8,p.2 p.3 p.4 p.5 p.6 p.8 ,,
Le coronavirus, aussi appelé COVID-19,,
Personne âgée,Bɔjuŋ,,
Personne cardiaque ou souffrant de maladie,Wòt ta bɔ àghɔ̧ a èntɨ̧ɨ̧ vi la,,
Personnes vulnérables Les personnes de tous âges, y compris les enfants,,
- Fièvre - Fatigue,- Sɔ̧̀ɔ̧̀nà - Èka̧a̧,,
- Toux sèche - Douleurs musculaires,- Àkɔɔ yuube,,
Les symptômes Les symptômes d'une infection au coronavirus ressemblent à ceux de la grippe : fièvre, toux sèche,,
Personne qui tousse,Wòt tà bɔ àkɔɔ la,,
Transmission du coronavirus Le COVID-19 est transmis par des personnes porteuses du virus. Quand un malade tousse ou éternue, il expulse des gouttelettes par le nez ou la bouche. Si une personne respire ces gouttelettes,,
Comment se protéger ?,Ndɨ betsiʼa à bààbe awi la,,
1. Eviter de se toucher les yeux, le nez,,
2. Se laver souvent les mains à l'eau courante et au savon. Ensuite les sécher avec une serviette propre.,2.     Me shùù èbu bê àfɨ̀ʼ àgème nè èshu bɔ̂ mèleb nàa ntsèà la.,,
3. Tousser et éternuer dans le creux de son bras.,3.     Me kɔɔ mè ntsèèna ànget jùŋàbu yê.,,
4. Eviter de manger de la viande crue et de toucher des animaux vivants.,4.     Ka me kwele nyà̧ kà bɔ la̧ ntsɔ̧ kò mbà̧à̧ta anyà̧ èpfə la leʼ. À bà̧à̧tâ,,
5. Garder une distance d'au moins un mètre avec une personne qui tousse ou qui éternue.,5.     Zəʼtè àwê a mbɨ̧ wòt tàa nkɔ̀ɔ mè ntsèènà la mbɔŋe ane èmaʼà wemɔ̀ʼ. ,,
6. Eviter de se serrer la main. Se saluer par un signe de tête ou une salutation verbale.,6.     À ka me zì àbu ntsàʼtà wòt. Me ntsàʼte wû ane ètsə̂,,
7. Eviter les rassemblements.,7.     Ka me ghǎ adzìʼi èbù̧ù̧tè.,,
8. Limiter ses déplacements.,8.     Ka me gha̧a̧ nyaŋ. ,,
9. Se tenir informé et vérifier la source de ses informations.,9.     Nyɔʼta meko mènə̀ nàa ntsèà la nè àdziʼa èdzə̀à la.,,
Que faire en cas de contamination ? Si vous présentez des symptômes : - Evitez les contacts avec d'autres personnes. - Restez à domicile. - Appelez le 1510 et suivez les consignes des médecins. Autres numéros possibles :,Àghɨa àa ghɨ̌,,
699 279 622 675 308 373 698 423 929 655 728 884 670 713 979,699 279 622 675 308 373 698 423 929 655 728 884 670 713 979,,
699 933 725 677 429 357 699 986 740 676 466 797 670 113 761,699 933 725 677 429 357 699 986 740 676 466 797 670 113 761,,
A ce jour, il n'existe aucun médicament capable de guérir du COVID-19 mais les autorités continuent les recherches pour trouver un traitement adapté. Chacun doit être responsable et adopter les bons gestes pour se protéger et protéger son entourage.,,
Définition des mots difficiles  Asthme : maladie respiratoire chronique Consignes : ordres, recommandations Diabète : maladie qui se caractérise par un taux de sucre trop élevé dans le sang Ecoulement nasal : avoir le nez qui coule Etre contaminé : être atteint par la maladie Grippe : maladie,,
,,,
Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19    Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19                                                         SOMMAIRE - Coronavirus - Personnes vulnérables - Symptômes - Transmission du coronavirus - Comment se protéger? - Que faire en cas de contamination? - Définition des mots difficiles    p.2 p.3 p.4 p.5 p.6 p.7 p.8 Le coronavirus, aussi appelé COVID-19,,
