source,translated,question,answer
Olumbe lwa Korona,Tutge kapore Korona,,
,,,
,,,
,Diha WUWE lara badatadayi tutna kapore Korona bana pala ta diha ata-diha ata ,,
,ta baana,,
,ta karruna,,
,ta matana,,
,we tarumna ata kalawara bana tamawe ,,
,Ata ai kalawara,,
,Ata kalawara ,,
,Kapore Korona napala wali ta,,
,Hamarau wikna. Kailam yanau we tarumna bamudedewu,,
,1,,
,0,,
,Ihoo!!,,
,Nyi bamuetayi ata kalawara katagge,,
,YID MASKER. Tanam badatagge waleka badaihoraka kana engage lar tamasker illa napala we ta ata heka. ,,
,2,,
,Wai limmagu ,,
,WALEKA,,
,Noto hege nade ata walena kalawara’ma. Tanyiduwe karawa dahenage tauna.,,
,Ata behayanna bena kapore dadi ai kamang tadkana,,
,Kahada baningu kada hadikorauge tauda wal ta ata buta,,
,hatauwai haya ,,
,ata ai kalawara ,,
,hanaro ta kareta ,,
,tombol lif ,,
,tisu,,
,koba we pa enu ,,
,komputer/hp ,,
,pan masker ,,
,ta nauta ,,
,maus,,
,pena,,
,bina,,
,Limmada,,
,Tanyiduwe,,
,tangami engam yanakahami kapore Korona.,,
,waleka mata ata olem ta uma,,
,bamkoheyi matam ,,
,Nyi ai wuk kamuge bamunarodi rattu tangadi kadana,,
,Wuwe lara kahadda yannana kadahilpa walta kapore Korona balidaka bahayi limmada waina habo,,
,Kapore Korona natahna kahha diki dokabul pata jam ta pan tangngadi hadau. ,,
,Habo,,
,Oro bataudage dau dahage dokge rade pata pahilpa dangngada. ,,
,Baha waina habo kahha nehe.,,
,Hima’la,,
,Ilam jojawe matam (mono mata ata wadeka).,,
,Natujawe badagaileni “dikin lado rahidadi” haduni. ,,
,ta kabu kukku ,,
,kahha dokabullu detik ,,
,ta ka­­panga karak limma ,,
,Bahayi kabedo limma ,,
,Aga linna dawe hada baha limma kana murahai? ,,
,Bajojawe,,
,Ilam jojawe pan’ge masker. ,,
,Ne we tarum ,,
,Kapore naha ana lar tamasker bana mojage bada waige. ,,
,Baitage maskerumu bana matkage. Ila waikana masker reh walta wu lado. ,,
,Waina hodeka rubba ,,
,Lakawa,,
,Ama,,
,Inya,,
,Waina kaba hahopwai dauda. ,,
,Ilam dudana haya,,
,Wale nadadimawe bammu jojawe matamu waina hima’la daumu,,
,Bana da’kawe,,
,Umma,,
,Be bamhagawu aimu tamahou ta umma ,,
,Aim yahowu ,,
,Baha hakitad limmamu waina habo… ,,
,Habewai,,
,Hamatarakige ilam kalawara! ,,
,Habo ,,
,Bacayi hatak wadeka hatulha radde dete! ,,
,This animation shows how far your sneeze can actually travel by Chia Yi Hou and Andrea Schmitz,,
,The Wuhan Virus: How to stay safe,,
,How to avoid the coronavirus? Wash your hands,,
,Hatulha kahadabaningna tutge hatak medis: ,,
,Keterangan tambahan: Tindakan pencegahan dalam bentuk komik ini sangat efektif untuk mencegah penularan penyakit umum lainnya,,
,,,
,,,
,,,
,,,
Olumbe lwa Korona                                                                                      Olumbe lwa Korona        ,Tutge kapore Korona    Diha WUWE lara badatadayi tutna kapore Korona bana pala ta diha ata-diha ata   ta baana ta karruna ta matana we tarumna ata kalawara bana tamawe  Ata ai kalawara Ata kalawara  Kapore Korona napala wali ta,,
