source,translated,question,answer
Ce que vous devez savoir sur le CORONAVIRUS ou COVID-19,Kɨ́ ɓɨɠəsɛ́ kɨyíi mɨ́ fɨlwœ́ fɨ́ lə́ kolónavilʉ́s (KOVID-19),,
,,,
,Ntáŋzeéŋ wɨ́ ɓúŋ ɓə́ Kaməlún mɨ́súwɨ́ lɨɠάsɨ ɗɨ́ jyɛ Beŋ,,
,,,
,,,
,,,
                    SUMMARY,Mətwœ́ mə́ jyɛ mɨ́ mə́lɨ́ mɨ́ káata anə́,,
- Coronavirus  - Vulnerable people - Symptoms - Transmission of coronavirus - How to protect yourself - What to do in case of contamination? - Definition of some difficult words ,-Kolónavilʉ́s                                    -Ɓúŋ ɓə́ kɛɛ ɗeéʼ                  -Láléeŋ nə́ fɨlwœ́ fɨ fə́əlɨ́seŋ -Láléeŋ nə́ fɨlwœ́ fɨ́ fə́əshyáleŋ -Láléeŋ nə́ múŋ alɨ lə́ aɗə́ fɨlwœ́ fɨ́ -Láléeŋ nə́ múŋ alɨ́ lə́ akɨ ɗɨɨ́ fɨlwœ́ fɨ́ fɨ́shyá má nyɨ́ -Lɨfasɨ ɗɨ́ míí mɨ́ mə́ɗéekí lɨwóʼ  ,,
p.2 p.3 p.4 p.5 p.6 p.7   p.8,p.2 p.3 p.4 p.5 p.6 p.8  p.9,,
Coronavirus, also known as COVID-19,,
Elderly person,Kɨtuʼ kɨ́ múŋ,,
Person with a heart condition or disease,Múŋ anə́ áalwœ́ mɨ́ nlœ́ŋ,,
Vulnerable people People of all ages can become infected with this new virus. The elderly and people with pre-existing conditions (such as asthma, diabetes,,
Fever Fatigue,Lɨtwɛŋ Lɨfwɛ́ŋ,,
Dry cough Muscle aches and pains,Kɨkwə́sɨ Nyɔ́ nkə́ŋdeékíŋ,,
Symptoms The symptoms of a coronavirus infection are similar to those of the flu: fever, dry cough,,
Person with a cough,Múŋ anə́ áakwə́sɨ,,
Transmission of coronavirus COVID-19 is transmitted by people carrying the virus. When a sick person coughs or sneezes, they expel droplets through their nose or mouth. If a person breathes in these droplets,,
How to protect yourself,Láléeŋ nə́ múŋ alɨ lə́ aɗə́ fɨlwœ́ fɨ́,,
1. Avoid touching eyes, nose,,
2. Wash your hands frequently with soap and running water. Then dry them with a clean towel.,2. Wɨsɨ́ ɓyααʼ ɓɔ́ lə́ shɨ́shœ́ camiŋ kɨ cœŋ mɨ́ mənɨ́ mɨ́ məə́gαα,,
3. Cough and sneeze into the crook of your arm. ,3. A wəə́ŋkwɛ́ŋ lə́ wɨ́kwə́sɨ́,,
4. Avoid eating raw meat and touching live animals.,4. Kuúɗɨ́ ɓíŋ ɓɨ́ cɨ́ŋcœ́ŋ,,
5. Keep at least one meter away from a person who is cou- ghing or sneezing. ,5. Kuúkwə́ lɨkɛ́ŋ lɨ múŋ anə́ áakwə́sɨ,,
6. Avoid shaking hands. Greet each other with a nod or a verbal greeting.,6. Kuútosɨ́ múŋ lɨ cααʼ,,
7. Avoid gatherings. ,7. Wɨɗə́ə kwɔ wɨ́ gunɨ.,,
8. Restrict movement.,8. Ɓɨlwə mɨ́ ɓəníá ɓə́ɓiíŋ.,,
9. Keep informed and verify the source of information.,9. Ɓɨlyáŋ məlée lə́ ɓɨ́wóo ɓɨɓɛ́ŋ ɓɨ ɓəətóleŋ mɨ́ fɨlwœ́ fɨ́,,
What to do in case of contamination? If you have symptoms: - Avoid contact with other people. - Stay at home. - Call 1510 and follow the doctor's instructions. Other possible numbers:,Láléeŋ nə́ múŋ alɨ́ lə́ akɨ ɗɨɨ́ fɨlwœ́ fɨ́ fɨ́shyá má nyɨ́ Á wɨɠyɛ́ lə́ wɨtɨ́ lɨ fɨlwœ́ fiŋ: - Wɨɗə́ ɓúŋ ɓə́mbóo. - Wɨlwə́ mɨ niá. - Wɨɓɨ́lα 1510 mɨ́ nɗɨ́ wɨ́ ɓɔɔ́ŋ,,
699 279 622 675 308 373 698 423 929 655 728 884 670 713 979,699 279 622 675 308 373 698 423 929 655 728 884 670 713 979,,
699 933 725 677 429 357 699 986 740 676 466 797 670 113 761,699 933 725 677 429 357 699 986 740 676 466 797 670 113 761,,
To date, there is no cure for COVID-19,,
Definition of some difficult words  Asthma: chronic lung disorder Contamination: infection Diabetes: disease that occurs when the body can't use glucose normally Flu: cough, influenza Infected: affected,,
,,,
Ce que vous devez savoir sur le CORONAVIRUS ou COVID-19    Ce que vous devez savoir sur le CORONAVIRUS ou COVID-19                           SUMMARY - Coronavirus  - Vulnerable people - Symptoms - Transmission of coronavirus - How to protect yourself - What to do in case of contamination? - Definition of some difficult words     p.2 p.3 p.4 p.5 p.6 p.7   p.8 Coronavirus, also known as COVID-19,,
